content	timeStamp	tweetId	userId	topic	swn3_negative_words	sentiStrength_pos	afinn_positive_words	afinn_positiveness	swn3_neutral_words	afinn_negative_words	afinn_negativeness	label	lex_positive_words	swn3_negativeness	swn3_positive_words	swn3_positiveness	lex_negative_words	supervised_polarity	sentiStrength_neg
@apple needs to hurry up and release #iTunesMatch	2011-10-18 21:33:28	126410591949697024	noUser	apple	1	1	0	0	0	0	0	negative	0	-0.0234375	3	0.3974032402038574	0	neutral	-1
@Apple how fun wouldn't it be if it was possible to integrate  ( soon to be named ) with notifications?	2011-10-18 21:31:42	126410146703351808	noUser	apple	2	2	1	4	3	0	0	neutral	1	-0.328125	3	0.406494140625	0	positive	-1
Interesting read on war b/w @Apple &amp; @Samsung- http://t.co/Vt9d24Yi -using latter, agree lack of innovation, but better specs at same price!	2011-10-18 21:31:03	126409984836763648	noUser	apple	2	2	4	6	4	2	-4	neutral	4	-0.01953125	8	1.317108154296875	2	neutral	-3
Why is  #Siri always down @apple	2011-10-18 21:29:54	126409696553861121	noUser	apple	1	1	0	0	1	0	0	negative	0	-0.0625	1	0.0436720997095108	1	negative	-1
I just need to exchange a cord at the apple store why do I have to wait for a genius? @apple	2011-10-18 21:26:36	126408864387182593	noUser	apple	10	1	0	0	4	0	0	negative	2	-0.6986379623413086	2	0.547607421875	0	negative	-1
@apple AirDrop #fail - Immediate &quot;declined your request.&quot; every time	2011-10-18 21:23:22	126408052525105153	noUser	apple	1	1	0	0	2	1	-2	negative	0	-0.3321533203125	2	0.068603515625	1	neutral	-2
RT @adamnash: The takeaway from the @Apple earnings call?  Even Apple needs a new iPhone release every 12 months to stay competitive. cc: @hblodget	2011-10-18 21:23:00	126407959495442432	noUser	apple	2	1	1	2	5	0	0	neutral	2	-0.24991464894173987	7	0.5934329032897949	0	neutral	-1
good article about why @apple fucked it all up with lion and their future. http://t.co/zNDP9Vr6 #fb	2011-10-18 21:22:14	126407767132078082	noUser	apple	0	2	1	3	4	1	-4	negative	1	0.0	5	1.1116964239627123	0	neutral	-3
The takeaway from the @Apple earnings call?  Even Apple needs a new iPhone release every 12 months to stay competitive. cc: @hblodget	2011-10-18 21:21:52	126407672521162753	noUser	apple	2	1	1	2	5	0	0	neutral	2	-0.24991464894173987	7	0.5934329032897949	0	neutral	-1
Today's headline: @apple reports lower 4Q earnings. Headline in 3 months: @Apple reports record Q1 earnings.	2011-10-18 21:21:13	126407511531192320	noUser	apple	1	1	0	0	4	0	0	neutral	0	-0.01953125	4	0.328216552734375	0	neutral	-2
Win an @Apple iPod Touch from @Mommy_gaga, get the @Pampers Hello World Baby Memories App! http://t.co/XVcch6Os #PampersHelloApps&quot;	2011-10-18 21:14:52	126405911697817600	noUser	apple	3	2	1	4	2	0	0	neutral	0	-0.21240234375	3	0.1826362358260667	0	positive	-1
@apple expanded the app store to more than 20 new countries in the december quarter	2011-10-18 21:14:31	126405821482532864	noUser	apple	0	1	0	0	6	0	0	neutral	0	0.0	2	0.0760345458984375	0	neutral	-1
RT @radlerc: Yellowgate? Some iPhone 4S Users Complain of Yellow Tint to Screen http://t.co/uaqrxTNk @apple @iphone4s	2011-10-18 21:12:51	126405405667627008	noUser	apple	2	1	0	0	1	1	-2	negative	0	-0.357421875	2	0.376953125	1	positive	-2
Yellowgate? Some iPhone 4S Users Complain of Yellow Tint to Screen http://t.co/uaqrxTNk @apple @iphone4s	2011-10-18 21:11:59	126405185630253056	noUser	apple	2	1	0	0	1	1	-2	negative	0	-0.357421875	2	0.376953125	1	positive	-2
@Apple will be rolling out iPhone 4S to more than 20 more countries by the end of the month.	2011-10-18 21:11:53	126405160934178816	noUser	apple	3	1	0	0	5	0	0	neutral	1	-0.2680091857910156	2	0.0040283203125	0	neutral	-1
The one #iphone feature still missing since @apple first showed it.. Contacts pictures on the contacts list! Simple yet 5 major updates miss	2011-10-18 21:11:24	126405040809312256	noUser	apple	4	2	0	0	3	2	-4	negative	1	-0.9077739715576172	6	0.2635383605957031	1	negative	-2
@Apple will be adding more carrier support to the iPhone 4S (just announced)	2011-10-18 21:09:33	126404574230740992	noUser	apple	0	2	1	2	3	0	0	positive	3	0.0	4	0.3402099609375	0	neutral	-1
Is it JUST a coincidence that @Apple named their virtual assistant after Tom and Katie's robot daughter?	2011-10-18 21:05:24	126403530838913024	noUser	apple	1	1	0	0	6	0	0	neutral	1	-0.0625	3	0.328857421875	0	neutral	-1
Hilarious @youtube video - guy does a duet with @apple 's Siri. Pretty much sums up the love affair! http://t.co/8ExbnQjY	2011-10-18 21:02:20	126402758403305474	noUser	apple	4	3	3	6	2	0	0	positive	3	-0.421875	4	0.773193359375	0	positive	-1
Good or Bad results for @Apple ? Depends on who you ask apparently http://t.co/yDH8ffxE	2011-10-18 20:58:51	126401882766839811	noUser	apple	1	2	1	3	2	1	-3	neutral	1	-0.2861785888671875	4	1.1790792364627123	1	neutral	-2
Asked siri is she dreams of electric sleep. Was disappointed that she didn't have a snippy answer.  Missed opportunity @apple	2011-10-18 20:53:55	126400637930979329	noUser	apple	7	1	2	3	0	2	-4	negative	2	-1.3659086227416992	1	0.5	1	negative	-2
Interesting times when increasing your revenue from $20B to $28B in a recession is considered a disappointment. @apple	2011-10-18 20:53:20	126400491067416576	noUser	apple	3	2	1	2	4	2	-4	neutral	1	-0.5	3	0.75	2	neutral	-2
@RIM you made it too easy for me to switch to @Apple iPhone. See ya!	2011-10-18 20:40:10	126397179614068736	noUser	apple	1	2	1	1	3	0	0	positive	1	-0.0625	3	0.23683226108551025	1	positive	-1
I just realized that the reason I got into twitter was ios5 thanks @apple	2011-10-18 20:34:00	126395626979196928	noUser	apple	2	2	1	2	2	0	0	positive	2	-0.0625	3	0.352783203125	0	neutral	-1
I'm a current @Blackberry user, little bit disappointed with it! Should I move to @Android or @Apple @iphone	2011-10-18 20:30:50	126394830791254016	noUser	apple	6	2	0	0	4	1	-2	positive	0	-1.00927734375	1	0.004149436950683594	2	neutral	-2
People are waiting in line @apple for phones at 1:30 on a Tuesday! Don't you people have Jobs(no pun intended?)???	2011-10-18 20:30:42	126394795802370049	noUser	apple	4	2	0	0	8	0	0	neutral	0	-0.4369192123413086	3	0.15625000371437636	0	negative	-1
@paulens It surprises me that @Apple throws up an error alert about authorizing, and there's no &quot;Authorize this computer&quot; button.	2011-10-18 20:30:14	126394680903614465	noUser	apple	3	1	0	0	4	3	-4	negative	0	-0.341796875	3	0.0693359375	1	negative	-1
@Lisa_Marie1987 shhhh. the evil sith lords @apple may hear you ha!	2011-10-18 20:26:25	126393717421645825	noUser	apple	1	3	1	2	3	1	-3	negative	0	-0.3046875	0	0.0	1	positive	-3
@Apple Would much rather get outta this having a ( see pic ) and have fun with this &quot; Have your friends choose music&quot; http://t.co/7IiHbr4J	2011-10-18 20:25:21	126393452324855808	noUser	apple	5	2	1	4	2	0	0	neutral	2	-0.5301570892333984	3	0.28870070072298404	0	positive	-1
FUCK YOU @apple DIE IN A FUCKING BLAZE INFERNO.	2011-10-18 20:24:22	126393204550537216	noUser	apple	3	1	0	0	2	3	-11	negative	0	-0.6490478515625	2	0.06201171875	0	neutral	-3
Oh, @apple. Steve obviously had nothing to do with iPhoto, as it's the perfect opposite of 'insanely great'. Get it fixed, please.	2011-10-18 20:21:11	126392402083708928	noUser	apple	4	3	3	7	4	0	0	negative	3	-0.5390281677246094	5	0.8223304757702863	1	neutral	-1
OMG @apple WHY THE FUCK DID YOU DELETE ALL MY MUSIC YOU DICKS	2011-10-18 20:15:56	126391082308206593	noUser	apple	1	2	0	0	2	1	-4	negative	0	-0.0625	2	0.453125	0	negative	-3
RT @CRMStrategies: Great Tech War of 2012 http://t.co/64jGRoBp @FastCompany profiles @Amazon @Apple @Google @Facebook on @CNBC /ht @philsimon	2011-10-18 20:09:18	126389413054910464	noUser	apple	1	3	1	3	1	1	-2	neutral	1	-0.015625	2	0.09765625	1	positive	-3
@ryanbaldwin @apple So in iTunes I go Store -&gt; Authoriseâ€¦ why doesn't it just auto-authorise it when I sign into iTunes? Grrrr...	2011-10-18 20:08:32	126389218284015616	noUser	apple	2	2	0	0	6	0	0	negative	1	-0.0625	3	0.17370635086263064	0	negative	-1
Seriously - I have absolutely no offing clue what @Apple means by &quot;authorization&quot;, nor how to do it.	2011-10-18 20:04:28	126388194194362369	noUser	apple	5	1	0	0	5	1	-1	negative	0	-0.6791067123413086	1	0.5	1	neutral	-1
Boy, could @apple make it any harder to put my purchased music from the cloud on to my new macbook pro? &quot;You must authorize this computerâ€¦&quot;	2011-10-18 20:03:47	126388023725268992	noUser	apple	1	1	0	0	4	0	0	negative	1	-0.0582275390625	7	0.6773681939093881	1	positive	-1
@apple gonna see if anyone stayed logged into their fb or twitter #TroubleMaker	2011-10-18 20:01:33	126387460463788032	noUser	apple	1	1	0	0	2	0	0	neutral	0	-0.5	1	0.001526474952697754	1	neutral	-1
@leg3nd @apple the new iPhone?	2011-10-18 19:56:05	126386085164101634	noUser	apple	0	1	0	0	0	0	0	neutral	0	0.0	1	0.0758056640625	0	neutral	-1
shit, shit, shit. IOS5 update ate all my apps, data and media just like @apple said it would. This is going to take some time to rebuild.	2011-10-18 19:51:55	126385036441296896	noUser	apple	4	1	1	2	6	3	-12	negative	2	-0.6884765625	6	1.0078134536724406	0	negative	-2
If you've been struggling to get hold of me, I'm back online with a new iPhone - thanks @apple	2011-10-18 19:49:53	126384526925639681	noUser	apple	3	2	1	2	3	1	-2	neutral	1	-0.34375	4	0.4740658980015269	0	positive	-2
Hey @Apple, pretty much all your products are amazing. You blow minds every time you launch a new gizmo. That said, your hold music is crap.	2011-10-18 19:44:19	126383125059211265	noUser	apple	4	3	2	5	4	1	-3	neutral	2	-0.421432476490736	8	1.5831319084688857	1	positive	-3
. @apple &amp; @AT&amp;T u cannot tell me there isn't at least 1 64GB iPhone 4S in LA or Vegas!! Give me a fucking break!!!!	2011-10-18 19:43:40	126382959711358976	noUser	apple	4	2	0	0	9	1	-4	negative	0	-0.2116316620902908	2	0.2802734375	2	negative	-1
Amazing story of @dropbox and @apple http://t.co/r4oDCwvY	2011-10-18 19:42:56	126382776072146944	noUser	apple	1	3	1	4	0	0	0	neutral	1	-0.09375	1	0.5	0	positive	-1
Love @apple downloads. 4 hours and i-pad now wonky! #ripstevejobs #thenonsensepersists #neednewipadguide #fatfuckingchance	2011-10-18 19:40:03	126382051661328385	noUser	apple	2	3	1	3	1	0	0	negative	1	-0.25390625	2	0.602294921875	0	neutral	-1
Great Tech War of 2012 http://t.co/64jGRoBp @FastCompany profiles @Amazon @Apple @Google @Facebook on @CNBC /ht @philsimon	2011-10-18 19:38:11	126381578975842304	noUser	apple	1	3	1	3	1	1	-2	neutral	1	-0.015625	2	0.09765625	1	positive	-3
Dear @apple My new Air is now a notbook since your update killed #wifi #bug #destroying #productivity	2011-10-18 19:37:56	126381519513194497	noUser	apple	4	2	1	2	2	2	-6	negative	1	-0.15625	3	0.5054931640625	1	neutral	-4
I am so done with @Att and @apple 's profitering and lack of customer service, so fucking down with both!!!	2011-10-18 19:34:15	126380588822298625	noUser	apple	3	3	0	0	5	2	-6	negative	0	-0.125	3	0.1374220997095108	2	neutral	-1
It would be great If @Apple would send my new phone. #frustrated	2011-10-18 19:34:06	126380553464315904	noUser	apple	2	3	1	3	1	1	-2	negative	1	-0.65625	4	0.267333984375	1	neutral	-3
@Jake_Gyllenhaal So you've made up with @Apple?	2011-10-18 19:33:11	126380323733909504	noUser	apple	0	1	0	0	1	0	0	neutral	0	0.0	2	0.1787109375	0	positive	-1
@Apple has a pic of Steve Jobs on their home page. #Honor	2011-10-18 19:30:50	126379730827083776	noUser	apple	1	1	1	2	2	0	0	neutral	1	-0.0625	3	0.3515625	0	neutral	-1
The 16 strangest things Siri has said so far. I am SOOO glad that @Apple gave Siri a sense of humor! http://t.co/TWAeUDBp via @HappyPlace	2011-10-18 19:30:39	126379685453119488	noUser	apple	4	4	2	5	4	0	0	positive	3	-0.158203125	3	0.42919921875	1	positive	-1
Great up close &amp; personal event @Apple tonight in Regent St store!	2011-10-18 19:22:35	126377656416612353	noUser	apple	1	3	1	3	4	0	0	positive	1	-0.125	4	0.30835101820048294	1	neutral	-1
@apple thank you for ruining my 3GS with #iOS5. You've just turned my phone into an utterly useless pile of shit.	2011-10-18 19:21:10	126377298650861568	noUser	apple	5	2	1	2	3	3	-8	negative	2	-1.0732421875	2	0.672607421875	2	neutral	-3
@Apple to shut stores!!! C'mon, Only Wednesday for @SteveJobs memorial.	2011-10-18 19:20:28	126377120023842816	noUser	apple	2	2	0	0	2	0	0	neutral	0	-0.03125	1	0.1875	0	neutral	-1
@Motorola is the Best Android-powered company that is going against @Apple.	2011-10-18 19:12:08	126375024595705856	noUser	apple	1	2	1	3	1	0	0	neutral	1	-0.1875	1	0.13671875	1	positive	-1
@apple #readyfor5.0.1 http://t.co/M2FqakYr	2011-10-18 19:10:35	126374630377275392	noUser	apple	0	1	0	0	0	0	0	neutral	0	0.0	0	0.0	0	neutral	-1
From which companies do you experience the best customer service aside from @zappos and @apple?	2011-10-18 19:07:11	126373779483004928	noUser	apple	4	2	1	3	1	0	0	positive	1	-0.24215316772460938	1	0.13671875	0	neutral	-1
So apparently @apple put MB cap on your SMS with the new update. 25mb storage before it tells you your inbox is full. What is this 2001?	2011-10-18 19:02:52	126372694118768640	noUser	apple	1	1	0	0	6	0	0	negative	0	-0.009765625	5	0.5640869140625	0	neutral	-1
You know @apple It's been almost a week since I paid for iTunes Match, I would really like to use it. Any ETA on a fix?	2011-10-18 19:00:17	126372040696541184	noUser	apple	5	3	1	2	6	0	0	negative	1	-0.18865966796875	7	1.3277301788330078	0	neutral	-1
This is what I have been waiting for RT @Apple The last big project Steve Jobs was working on was the new cranial insertion device: iMplant.	2011-10-18 18:55:15	126370776013213697	noUser	apple	3	1	1	1	3	0	0	neutral	0	-0.16351604461669922	7	0.4060579538345337	0	neutral	-1
Apple Users Get The official Kalifornia Cavi App on your Apple Device now on  - powered by @Apple - Download it free http://t.co/HlGnvlRw	2011-10-18 18:46:55	126368680459251712	noUser	apple	3	1	1	1	5	0	0	neutral	1	-0.26171875	5	0.13163328262453433	0	neutral	-1
The official Kalifornia Cavi Mobil App is now available on the app store - powered by @Apple - Download it free http://t.co/HlGnvlRw	2011-10-18 18:45:21	126368285259350017	noUser	apple	2	1	1	1	4	0	0	neutral	1	-0.25390625	4	0.18039655685424805	0	neutral	-1
#Win an @Apple iPod Touch from @Mommy_gaga, get the @Pampers Hello World Baby Memories App! http://t.co/I6woujUh #PampersHelloApps	2011-10-18 18:44:44	126368127524159488	noUser	apple	3	2	1	4	2	0	0	neutral	0	-0.21240234375	3	0.1826362358260667	0	positive	-1
Just apply for a job at @Apple, hope they call me lol	2011-10-18 18:37:41	126366353757179904	noUser	apple	3	3	2	5	2	0	0	positive	2	-0.25677728932259924	3	0.367431640625	0	neutral	-1
RT @JamaicanIdler: Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to hide a body lolol	2011-10-18 18:36:46	126366123368267776	noUser	apple	7	3	2	7	1	1	-1	positive	1	-0.4565305709838867	2	0.0386962890625	1	neutral	-3
Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to hide a body lolol	2011-10-18 18:35:43	126365858481188864	noUser	apple	7	3	2	7	1	1	-1	positive	1	-0.4565305709838867	2	0.0386962890625	1	neutral	-3
@Apple #RIPSteve RT @davepeck: Steve Jobs and the Seven Rules of Success http://t.co/4nLRLdWy	2011-10-18 18:29:05	126364189097865216	noUser	apple	0	3	1	2	1	0	0	neutral	1	0.0	1	0.328125	0	neutral	-1
removing all @apple shit.	2011-10-18 18:24:58	126363154837020672	noUser	apple	1	1	0	0	0	1	-4	negative	0	-0.1669921875	1	0.34375	0	neutral	-2
macbreak weekly @TWiT via @apple airplay in full HD on the 42&quot;. finally! @leolaporte @Ihnatko @alexlindsay	2011-10-18 18:23:50	126362867778859008	noUser	apple	1	2	0	0	2	0	0	neutral	0	-0.1875	2	0.03515625	0	positive	-1
So @PhoenixSwinger 's iPhone 4 is giving her a hella hard time w/ the iOS5 update @apple	2011-10-18 18:18:19	126361483432038400	noUser	apple	2	1	0	0	3	1	-1	negative	0	-0.3081396222114563	2	0.068603515625	1	neutral	-1
RT @PhillipRowntree: Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!	2011-10-18 18:16:09	126360935509135362	noUser	apple	5	3	3	6	6	0	0	positive	2	-0.3575706481933594	4	0.735107421875	0	positive	-1
Stay young, stay foolish. But take ownership when u f*ck up, don't complain, and never give up. #resilience @apple	2011-10-18 18:15:42	126360821419884544	noUser	apple	4	1	0	0	4	2	-4	neutral	0	-0.766017800351392	7	0.5166788101177531	2	neutral	-2
Wow. Great deals on refurbed #iPad (first gen) models. RT: Apple offers great deals on refurbished 1st-gen iPads http://t.co/ukWOKBGd @Apple	2011-10-18 18:14:01	126360398885687296	noUser	apple	0	4	3	10	2	0	0	positive	3	0.0	6	0.3247261047363281	0	neutral	-1
Dear @motorola, I smell a lawsuit coming your way. cc: @apple #motoactv	2011-10-18 18:13:09	126360182308618240	noUser	apple	3	2	1	2	2	1	-2	neutral	1	-0.203125	3	0.4384765625	0	neutral	-1
What??? I that sucks hello @apple RT @PhoneDog_Aaron Interesting note - DROID RAZR's battery isn't removable.	2011-10-18 18:07:35	126358781633368064	noUser	apple	2	2	1	2	1	1	-3	negative	1	-0.03515625	3	0.839385986328125	0	negative	-2
Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!	2011-10-18 18:05:50	126358340220616704	noUser	apple	5	3	3	6	6	0	0	positive	2	-0.3575706481933594	4	0.735107421875	0	positive	-1
@Apple can't send me an iPhone preordered 1hr after launching but they cans send 5 or 10 to all the jackasses who want to shoot or blend 'em	2011-10-18 18:05:41	126358301393956866	noUser	apple	3	1	1	1	10	2	-5	negative	1	-0.45459121465682983	4	0.6015625	0	neutral	-1
Gotta say the @Apple itouch iphone shuffle etc.. sound quality is AWFUL.. painfully crap. Its been a downgrade from @Sony sound quality wise	2011-10-18 18:05:34	126358272084152320	noUser	apple	6	1	0	0	1	2	-6	negative	3	-0.6565425097942352	5	0.68365478515625	3	negative	-5
RT @hofmania: I just paid someone to wait in line at the @apple store this morning for me on @zaarly #putapriceonconvenience #iphone http://t.co/qmPLbZxx	2011-10-18 18:04:32	126358012343492608	noUser	apple	2	1	0	0	6	0	0	neutral	1	-0.171875	4	0.5788574255893764	0	neutral	-1
ä½ å¥½ ! Currently learning Mandarin for my upcoming trip to Hong Kong. I gotta hand it to @Apple iPhones &amp; their uber useful flashcard apps  î”–î”“	2011-10-18 18:04:25	126357982685569024	noUser	apple	1	2	1	2	6	0	0	positive	2	-0.03125	3	0.2000732421875	0	neutral	-1
@bisquiat @Apple the upgrade just slows down my phone so much, it's stuck half the time. uch. thankfully no other damage. sucks for you :(	2011-10-18 18:02:49	126357580741226496	noUser	apple	5	2	0	0	4	4	-9	negative	3	-1.28515625	5	0.7820754200220108	2	negative	-2
@apple Or @Microsoft Buying Out @RIM ?	2011-10-18 18:02:36	126357527196741632	noUser	apple	1	1	0	0	2	0	0	neutral	0	-0.002384185791015625	0	0.0	0	positive	-1
@Mayati I think @Apple didn't do such a thorough job with the step x steps for upgrade and move to iCloud. Now it's cost me mightily.	2011-10-18 18:01:25	126357227727626240	noUser	apple	8	2	0	0	4	0	0	negative	3	-0.5107345581054688	5	1.3603506088256836	0	negative	-1
Hey @apple now I have iOS5 my iPhone doesn't include songs that are on compilation albums under the artist's name. #whaddupwitdat	2011-10-18 17:51:05	126354628999778305	noUser	apple	4	2	0	0	4	0	0	negative	0	-0.17596721649169922	2	0.06359100341796875	0	negative	-1
Oh no! @Apple watch out! @Motorola released another &quot;iPhone Killer&quot;.... Hahahahaha! @Motorola = #wannabe	2011-10-18 17:51:00	126354605130002432	noUser	apple	2	3	0	0	1	0	0	positive	0	-0.12738418579101562	2	0.4130859375	0	neutral	-2
@apple Why don't you have a wireless remote for Keynote presentations w a MacBook Air?  Nobody wants to see the pith man navigate w a iPhone	2011-10-18 17:46:03	126353359962775552	noUser	apple	6	1	0	0	7	0	0	neutral	0	-0.4994192123413086	4	0.08453428745269775	0	negative	-1
Come to the dark side â€œ@gretcheneclark: Hey @apple, if you send me a free iPhone, I will publicly and ceremoniously burn my #BlackBerry.â€	2011-10-18 17:41:43	126352268705538048	noUser	apple	4	2	1	1	2	0	0	positive	2	-0.330230712890625	6	0.5065021514892578	2	positive	-1
@NickTheFNicon He can send but not rcve txts so he has an apt @apple at 4pm.Then he exclaims: And I waited a whole YEAR for this phone!!LMAO	2011-10-18 17:40:32	126351972948393984	noUser	apple	6	3	0	0	8	0	0	negative	1	-1.1875	2	0.3916015625	0	neutral	-1
RT @HaendelBalzora: dear @apple please invent &quot;FaceTime Voicemails.&quot; sincerely, haendel balzora jr. #apple	2011-10-18 17:39:20	126351669029126144	noUser	apple	2	2	3	5	1	0	0	neutral	3	-0.1875	3	0.5859375	0	neutral	-1
@HaendelBalzora @apple #gamechanger	2011-10-18 17:36:28	126350948548354048	noUser	apple	0	1	0	0	0	0	0	positive	0	0.0	0	0.0	0	neutral	-1
Hey @apple, if you send me a free iPhone (any version will do), I will publicly and ceremoniously burn my #BlackBerry.	2011-10-18 17:33:54	126350302113824769	noUser	apple	4	2	1	1	4	0	0	positive	3	-0.24996566772460938	6	0.510340690612793	1	positive	-1
Thank you @apple for Find My Mac - just located and wiped my stolen Air. #smallvictory #thievingbastards	2011-10-18 17:31:29	126349695676203009	noUser	apple	2	2	1	2	3	1	-2	positive	2	-0.06590557098388672	1	0.172607421875	1	neutral	-1
#Win an @Apple iPod Touch from @Mommy_gaga, get the @Pampers Hello World Baby Memories App! http://t.co/YUydxo1t #PampersHelloApps	2011-10-18 17:28:09	126348857071239168	noUser	apple	3	2	1	4	2	0	0	neutral	0	-0.21240234375	3	0.1826362358260667	0	positive	-1
Total chaos at @apple store regent street. Like an Ethiopian feeding station. Can't believe this is same co. that makes all that cool shit.	2011-10-18 17:25:25	126348169826148352	noUser	apple	6	2	2	3	8	2	-6	negative	1	-0.5916748046875	4	0.69580078125	1	neutral	-2
dear @apple please invent &quot;FaceTime Voicemails.&quot; sincerely, haendel balzora jr. #apple	2011-10-18 17:24:19	126347890196103168	noUser	apple	2	2	3	5	1	0	0	neutral	3	-0.1875	3	0.5859375	0	neutral	-1
RT @jesperordrup: Hi @apple. Household has 4 iphones, 2 ipads, 2 minis, 2 apple tv, AirPorts, Timecapsule +. Whats a usable iPhoto sharing setup? /cc @maddox	2011-10-18 17:19:19	126346633721032705	noUser	apple	3	1	0	0	8	0	0	neutral	1	-0.234375	1	0.0625	0	positive	-1
Couldnt help it &amp; explored the #iphone4s @apple store &amp; talked to #Siri... Should've tried to speak to her in French?! #nexttime	2011-10-18 17:19:07	126346584068861952	noUser	apple	1	2	1	2	5	0	0	neutral	1	-0.01385498046875	1	0.5	0	negative	-1
@FishMama: If you made a purchase, just wait for the @apple survey! hate going b/c of the bad #custserv	2011-10-18 17:10:33	126344426854416385	noUser	apple	5	2	0	0	1	2	-6	negative	1	-1.1768035888671875	3	0.328857421875	2	neutral	-4
Just got my first @Apple iPhone, sorry @Blackberry another one bites the dust.	2011-10-18 17:09:03	126344048637259776	noUser	apple	3	1	0	0	0	1	-1	positive	1	-0.24609375	3	0.18141555786132812	1	neutral	-2
Correction: @ Best Buy kudos to Chris @ Alamo Ranch S.A. TX-fixed issues couldn't resolve after 1/2 day w/ @ATT &amp; @Apple. Hero of my day!	2011-10-18 17:08:35	126343931117047808	noUser	apple	1	3	4	10	5	0	0	negative	3	-0.076171875	6	0.66015625	0	neutral	-1
@phxguy88 @Apple @BGR That's why all the ppl who stand in line for hrs to get the &quot;newest&quot; model are suckers...	2011-10-18 17:07:35	126343679785959424	noUser	apple	1	1	0	0	4	0	0	negative	1	-0.008056670427322388	4	0.36147308812724077	0	positive	-2
Would it kill @apple to put a braille type bump on their earbuds so we know which bud is R and L in the dark.	2011-10-18 17:05:44	126343214805426176	noUser	apple	4	1	0	0	7	1	-3	negative	0	-0.5288848876953125	4	0.15899658203125	2	neutral	-1
is it just me or do other people miss the iPod symbol on the iPhone? I had the first iPod, it's what I relate to @apple #ios5 #nostalgia	2011-10-18 17:05:22	126343124174901248	noUser	apple	6	2	0	0	8	1	-2	neutral	1	-0.9921531677246094	4	0.3332710266113281	1	neutral	-2
Thanks to @Apple Covent Garden #GeniusBar for replacing my MacBook keyboard/cracked wristpad during my lunch break today, out of warranty.	2011-10-18 17:01:58	126342268603998208	noUser	apple	2	2	1	2	5	0	0	positive	0	-0.010463715254523814	1	0.078125	1	neutral	-1
RT @danysaadia: @ATTCustomerCare @att @apple I already have an iPhone 4 with an ATT contract. Can I buy a factory UNLOCKED iPhone 4S with my contract?	2011-10-18 16:50:17	126339328434651136	noUser	apple	9	1	0	0	3	0	0	neutral	0	-1.0001859664916992	2	0.39453125	0	positive	-1
