mean pos	mean neg	Comment (All)
2	3	     I'm surprised that they found things better in Spain and the UK, but there we go .  David, as you know, Zidane has faced enormous and shameful levels of bigotry in France.
3	3	<a href="http://www.jpost.com/servlet/Satellite?cid=1150035838991&amp;pagename=JPost%2FJPArticle%2FShowFull">www.jpost.com/servle...</a>  The IDF have finished their report, and have found that there is no way that the IDF had any involvement with the explosion on the Gaza beach which killed 8 people.        Will the media publish a retraction of their assumption that Israel was responsible? Will Hamas apologise for their retaliations?
1	4	"The Nazi's didn't even want Jews as a workforce ... during a war. They wanted ALL Jews dead.  Quite frankly I doubt you've ever been to the South because your comments show a lot of ignorance about the region. Now if a white person brutally murders a person of any race in any state in the South they are prosecuted and usually sentenced to death"  Not usually by any means the number of blacks as opposed to whites sentenced to death even for the same crimes is disproportionate.  Whenever a shortcomingof the US is ever pointed out its appeasers and defenders always try and justify it by some idiotic reference to conditions in Kazakhstan or outer Mongolia, as if that is the moral compass.  And of course Kazahkstan etc do not claim to be paradises of tolerance and human rights.  In this case  the fact the pupil felt he had to ask permission to sit under a certain tree in his own country is appalling enough.  One wonders what similar incidents go unreported.  One remembers that wounded black female soldier who openly wondered why her own combat story was soemhow less interesting then the very white Jessica Lynch.  It is also legitimate to ask if other symbols had been hung on the tree would they have equally been dismissed as a "prank".  
1	4	&gt;But to charge that black victims were deliberately ignored just shows ignorance of the true issues and facts.&lt;  That is what most blacks are saying. But of course, whitey knows best in how your N(word) feel and think.  Oh how times haven't changed.
1	3	     Sarah, Bush is doing what he does ´cos:  1) Oil, nothing new there  2) Ego, he thinks - like his mum - that he is teh "choosen" one  Russia, China will never go to war with Iran; Russia because it doesn´t - opposite to the US - want to play a dominate role in the ME; China; well their old-fashioned; if they need oil, they just pay for it.
1	2	and from the previous week. Again - it is 'funny' that the only time the mods bother to close such threads is when I begin a counter thread on Islamic terror......evidenced by the fact that I could still post here.   Dont worry mods - I am going to bother to retrieve more of Albert's spam. The point has been made.
1	4	The poem is clearly similar sentiments to those held by jingly. he after all did say that tens of thousands of dead Palestinians wouldn't be such a bad thing.<blockquote class="quoteFirst">  <blockquote>  <blockquote>  <div class="extraquotes">Sick &amp; twisted, Boy I wish this board was un modderated.
2	3	I think the former British Ambassador to the US was probably close to the mark when he said Blair was almost drunk with the adulation he recieved in America and his ego was thoroughly massaged. And like all politicians they are obsessed with their so called legacy. He's got his alright.
2	1	So which is it?! Democracy or dictatorships or both?! -----------  Both for different reasons.
1	4	     maybe they did, maybe they didn't quite frankly in the face of the mass aggression of the IDF, defacating in palestinian homes, using children as human sheilds, the blatant use of WP as a weapon, Rabbi's telling soldiers they are fighting for god, admitting orders to shooting innocents,orthodox Jews, amongst others watching the destruction from the "hill of shame", cheering the kiling of innocents, I think you, *Rosie* should hang your little confused flag waving brain out to dry.   
1	3	     That does not excuse the murder of women and children by Chemical Weapons. Don't forget that Iraq started the war by invading Kuwait and taking people hostage to use as human shields.
2	3	The Scots took a bribe to join with England. They valued money over their independence. Practical and pragmatic. 
2	2	     Can I ask what any of this has to do with "Ugly Betty" or the Ugly dog contest?  Also you havent answered my question about what exactly you find wrong with the message of "Ugly Betty" - ie its not what you look like on the outside that is important but what you look like on the inside.  
1	4	//So now, like Muslims, I get accused of moral torpor for failing to state the bleeding obvious.//  Well, it would be nice, once in a while, if the obvious were stated.  Nice identification sense of victimhood, though.  //You have no right to presume that I have no sympathy or concern for victims of rape or sexual assault.// //Well I'm not going to say it. //  Why, does it require the qualification that other cultures might hold a different view and that we should temper our horror with understanding?  
2	2	Did I say that martyrdom operations were firework displays? Not even by implication.  Try again. Reach for the skys mate.   
1	3	wendy  as one who condones terrorist acts aropund the world with the flimsiest of excuses about it all being the fault of america, perhaps you could explain to us all why there are now terrorist acxts in india   has it become the newest of the united states, without telling anyone  is that why terrorists have acted within its boundaries 
1	3	The United States and Germany each played host to Mohammed Atta. In fact, in the US he enrolled in a military college (Thompson, HarperCollins, 2004) as did many of his colleagues. Britain had allowed Haroon Rashid Aswat to travel undeterred, and even after it was discovered that he had exchanged phone calls with Mohammed Sidique Khan prior to 7/7, after then moving onto South Africa. Should these aforementioned countries also experience aerial attacks for allowing these terrorists free movement?
1	5	     Its true. You are an especially vicious person.     oh yes it is you ignorant fool.    
2	2	relax Blobber. Saddam's dead, stop worrying.He can't harm you anymore.   Couldn't harm me anyway, he was a sad old pensioner.
2	2	     Shows what a diverse and open society it is. There's a little bit of every arab country in Israel aswell. Makes you proud dousen't it? Tell us about citizenship rights in the arab or muslim world.
2	2	//swimmer Michael Phelps was the 'man of the games'.//  "Well, how can he NOT be, with 8 golds and 6 WRs....?!! Usain Bolt was a mere bagatelle compared with that."  Phelps is the best swimmer in the world but Usain Bolt's finish in the 100m will live long in the memory,just as Bob Beamon's incredible leap did in 1968.Running is superior to swimming because humans can run faster than they can swim.If Phelps could swim 100m in less than 9.69 seconds then he'd be better than Bolt. 
2	3	     How about ignoring them because the president of Argentina is not a crazy religious nutcase, and Argentina, unlike Iran, is an ally of the US?  Tony, sometimes I wonder if you're a few fruitcakes short of a Lib-Dem party conference!
2	2	 simcha  1) Can you tell me where are the Israeli soilders in Iraq and Afghanistan &lt;&lt;&lt;  Mossad is behind them all.  2) There is no such place as Palestine this name the romans gave to the Kingdom of Israel &lt;&lt;&lt;  It costs you nothing to dream in those ancient and vanished days!  Wake up! we are living in 2006 and not  2 thousand years back!!!! 
1	3	     There doesn't seem to be anything to disagree with unless I can be bothered to do research of my own.   The figures about ricketts are interesting, I believe the problem is that there is hardly any vitamin D in a diet from the sub-continent, the inhabitants getting all they need from the sunlight. Consequently if you do not adjust your diet accordingly you will suffer.  All the conclusions drawn from the information are surely hypothetical and I am afraid I cannot really be @rsed to get involved in nit-picking about the conclusions.    
1	4	Suicide rates among US soldiers are heading for a record high.Eighty-nine suicides were confirmed in 2007.Army suicide rates have risen coinciding with the US-led military action in Iraq and Afghanistan.  Spending a lot of time in stressful war zones is not good for mental health.  <a href="http://news.bbc.co.uk/2/hi/americas/7221775.stm">news.bbc.co.uk/2/hi/...</a> 
2	1	I thought there wouldn't be any more Starwars sequels or pre-quels.  Lol.   How about instead of Starwars, we just do Starbucks?  Oh wait, that's already done.  
1	4	Oh well that's the best way.  Get the troops that saved your neck close to children and blow them ALL up.  Of course you could make the children suicide bombers like they did in Israel.  Sort of kill two birds with stone because you could still blame the Americans.  Yep. I'm convinced Islam is a religion of peace.  A long peace for anybody who they don't like.
1	4	And why shouldn't they scream blue murder? when you see jacka$$es like Bush spew out invectives about US being a shining light for freedom across the globe and then falls way short of those ideals, shouldn't people speak up?  You obviously wont.   
1	2	     The irony of it all is that whilst the west looks to impose democracy on the East by bringing it out from its draconian measues and social systems, it itself is pushing through legislation which is considered draconian and is vehemently opposed by all human rights and freedom of speech groups.   Somebody obviously seems to have come to a conclusion that there is only one system of social administration that is acceptable and that the both east and west arent there yet.  Surely the land and its people should have the right to decide what laws they wish to govern their land by and if so let the Muslims lands follow shariah law and let America follow democracy. Why the constant to force others to do how you want them to behave.  and can the Anti-Islamists please not jump on this and say that it is the Muslims who impose themselves on the west as we that response is getting ridiculous.
1	4	hey - I thought you were on the side of the Sunni supereamists - the ones that also want to wipe the shia off the face of the earth. How come you are popping up here defending the mad leader of Iran? Is it in the hope that he will lead his innocent people into destruction?
1	2	As long as the cigar man clinton does not get the slot. Not that Mr.Annon has any intention of stepping down.
1	3	they don't have the mental stamina to play a game over five days, or the alcohol tolerance to sit and watch for so long whilst drinking continuously
1	2	   The report has not been released yet, so I wonder if you know if you need to attack it yet?..
1	4	hitler you claim loathed it though it served his needs in the vatican but we have to accept plenty of christians joined hitler in his 'crusade' and we should not forget the jewish collaborators.   "fripono You really havn't got a clue, have you, azania?  Hitler loathed the Christian Church. It was tolerated, as long as clergy toed the national socialist party line. Any clergy (such as the courageous Bonhoeffer) who criticised Nazism were persecuted. A great many were executed."
1	3	Interesting that it is the ex-pat vote that will probably turn this one around. Are they all Berlusconi refugees (possibly - I'd have got out as quick as I could out of sheer embarrassment) or are they the sort who couldn't care less what sort of chaos the old country goes through once they have pulled their own ladder up? 
1	1	of Civilization nows supplies the world with cab drivers. 
2	1	     Give it time.
1	4	     Is the Brown Recluse in Europe?  Now that is a nasty little spider.  Not sure which is worse the poison it has that can eat away your flesh or a plain killing poison of the widow. Both can outright cause death, but that flesh eating property of the recluse... ugg.
1	1	Actually its not just 72 virgins, but the actual quote from the Koran (chapter 56:17-23 and 76:19) also adds unlimited catamites.  This puts an interesting spin on the Islamic view of homosexulity.
2	2	why then post the following:  Message 66 - posted by colonelartist**, 20 Minutes Ago  And if I were on the plane i would have  Negotiated a deal with the hijackers, given a factual report of what was going on the plane and whereabouts of the two pilots, and would have kept an eye on the f16s. And its only obvious to the assumptions of those who assume that plane was on its way to kill more people.
1	2	Was there any other evidence other than his confession? The report doesn't make it clear.
1	3	        Again with the paternalism.  Venezuelans, cute little beach combing, coffee drinking, mango eating people that they are just cannot make decisions like launching a coup without the serious leadership from the US.  There is absolutely no proof the US was involved in the very poorly organized coup.  Chavez spouts on about it to distract the world from the fact he is slowly tearing down every vestige of democracy in that oil rich nation.
2	3	"I don't think you got my point Grant, the Japanese people who are still alive and who remember the nuclear bomb which was dropped, actually are worried about the US not Iran."  For all that some Japanese still resent (probably justifiably) the actions of the US at the end of the second world war, I'm not sure there is widespread (if any) worry about the US militarily at the moment (for obvious reasons). There are worries about North Korea and to a certai extent Russia, but I'd be interested to hear where you got the idea that they are worried about the US? 
1	4	yep the whole world is going down the pan
1	3	The story illustrates the futility of paying ransomes for kidnappings, as it only encourages more   Listen to the Talibans response to a previous deal      
1	4	Fair enough.  I think the BBC wanted an actual debate, with real facts and stuff, but that's OK.  If the idea is just to make up the most vicious racial and religious hatred, then lets go for it.  I'll start.  Could one of the scholars of Arabic culture on the board explain to the rest of us what the old Arab proverb "A woman for duty, a boy for pleasure, a melon for ecstasy" means?  Is it based on something in Koran?
1	4	Answer me why was it allowed to happen?  How come "the allies" as you call them have not been vocal?  I haven't seen Bliar on TV talking about this torture that has been going on uder their watch.  I haven't heard the "cretin" rail against it either.  Why the deafening silence?  It shows the duplicity of "the allies".  
1	2	    Who would the "usual subjects" be then?  What name calling?  
1	4	Both sides are totally out of control.  We need a de-militarised zone controlled by the UN.  Israel is now an aperthied state with pass laws and Palestine is in the hands of Islamofascists, it's a total mess.
1	2	France didn't become the 4th largest economy on Earth by playing fair!
1	3	Sunnis and Shias can't even live in peace in a one nation Iraq!!!
1	2	You can here them in the Vatican going, "See I told you So! And you wanted Birth Control!"
1	2	     I do not see how a single poor lawyer in a nation of 296 million people can effectively discredit its entire legal system.  You do not even say how the judge and the jury in this case reacted to the statement.
1	1	   What, you mean as opposed to have been led by the same family for the better part of a millenia?
1	3	     Wendyman  Oh I see. So if I put a sword to your head and ask you if you'd like to either convert or have your head chopped off you'd be making a free choice? Thanx for making that clear.
2	2	Northern Ireland or Bask regions would be more appropriate examples.  I don't agree that "the central government is obliged to grant a degree of autonomy - or in the last resort let it go" to ANY group that requires so.  
2	3	I think we can all agree that it is  Israel and it's supporters who have a problem with the facts, as we have all seen on these MB's.  And rejecting terroism does not upset me at all. I think we all should, where ever it comes from. However., what I find rather ironic is this same person would have been called a terrorist by that same Judafacist mouth piece, only last week. But today, he is some they can use for thier propaganda.
1	2	the joint-authors of that recent paper that criticised Israel, they couldnt find a publisher in USA for their paper. Had to use a British publisher.  The big donator of the Belfer chair (one of the professors chairs) is an American Jew who ran Exxon or whatever. He has phoned to insist no publicity with his uni position is used in the promotion of the paper. 
1	2	     Really odd. I'm sure he/she/it slipped up a while back and said they were in Pakistan. Do we know what part of Scandanavia it is?
1	4	O true believers, contract not an intimate friendship with any besides yourselves: they will not fail to corrupt you. They wish for that which may cause you to perish: their hatred hath already appeared from out of their mouths; but what their breasts conceal is yet more inveterate. We have already shown you signs of their ill will towards you, if ye understand." (The Family of Imran - verse 118)."  Look around you, whichever muslim country contact the west, it is doomed... Their wish to is that muslims just perish.....Its so ovbious......the signs were shown and the signs are still shown...
1	3	"He will be blaming him for the death of the dinosaurs next."  You mean the dinosaurs are dead, all of them ?   Cheney probably shot them. 
2	2	manchester me,  &gt;&gt;&gt; If we Europeans can be big enough to stand up and make ourselves heard in the face of wrongdoing, what is your excuse? &lt;&lt;&lt;  That's just the point:  can you?
1	2	  in the fifties and installed the puppet shah with help of stormin normans daddy...schwartskopf senior.  cia and sis inspired "communist" infiltrators financed by britain and usa were used as an excuse to depose the democratic govt of mossadeq  has the time come for the west to resort to similar tactics.?  would they succeed today?  will israel be used by the west to deliver the hammer blow to irans nuclear plans?  sfc  so many questions..bird flu as well....
2	3	I believe he's on his way to Washington for a chat before heading to Barbados for a well earned rest.    Hopefully he might have a word with Dubya concerning the use of Prestwick Airport as a stop off for Israel-bound weapons.  It doesn't really send the right message when a country can provide both humanitarian aid for the Lebanese people, and a resting point for the bombs that will probably blast them into next year.
3	2	Hillary has a long history of supporting women and children's rights. She has a long history of supporting a woman's right to choose. She has been a longtime advocate of universal healthcare and has a longtime committment to civil rights. I think these things are illustrative of some inner convictions.  As for Obama, i'm not sure we really know enough about him yet. He does seem dedicated to public service however, giving up the chance to work on wall street to community organize in Chicago. He's also been consistently pro-choice, pro-gay rights.   Mitt Romney changed his views on gay rights, abortion, gun control and immigration just in time to run for the Republican nomination.   All politicians change from time to time, evolve their positions and take account of changing circumstances. However the sheer brazeness of Romney's flip flopping was something to behold.  
2	1	Very true itstoppedraining.  But I guess you would not remove their right to choose, just because they made a choice you didn't like?  Andy 
2	1	Mind you that was 'cos they all fancied you.
3	2	"See how well we're getting on and all you had to do was remove your army from my country! A lesson there I think"  Whatever country you are in...  Im sure China will rush to your side should you ever need assistance.  Same with food and medicine.  Dont forget we are stopping all aid too, in this little scenario.  
2	3	     Yes.  That baffles me, too.    I can only suppose it's something personal - between the USA and Castro.  Seems a bit petty.  
1	1	     Try telling that to the Irish. 
1	3	'It's all very well sitting in a comfortable middle class existence in Surbiton and criticizing the slow extinction of what is actually a competitor with human beings'  A very narrow view. Ecosystem health is the sign of a healthy plant.   Life is more than a utilitarian batttle for survival. 
1	4	"I like a good scrap as much as anybody but I'm damned if I want my country to be your bitch, so i suggest you go it alone on a few wars and see how it goes while we save a few quid for a change. You owe us a lot of blood and I'm not too worried about you paying up".  Well you've got your chance to go it alone against the Iranians, Big OB, but my feeling is you'll continue the 'diplomacy' angle until the Americans take charge.  The Americans owe you a lot of blood??  You must be another one of those goofy brits born after 1970 who have never heard of World Wars l or ll, or the hundreds of thousands of Americans buried in European graves.  For years Europeans have been whining about the Americans claiming they won these wars exclusively, a lie but who cares. Now the Europeans are in one minor skirmish, with the Americans  forming the major thrust, and they're already crying about "You owe us a lot of blood".  What a bunch of immature babies you've become.  The women over there have more balls than you, and the Iranians certainly know it.
1	3	I think Kasparov was done.But it was only a matter of time before computers win.They will take over the world some day.I'm off to the moon when that happens .
1	3	Its only logical that diplomats should have imunity they are after all not there as individuals they are their to represent their countries government how can you expect politcal business to take place if the diplomats are scared to go to meetings abroad your going to limit diplomacy to the telephone.  Diplomats are already exempt from customs checks, their lugage cannot be searched, they can carry weapons or have armed gaurds so they are not like ordinary individuals.  What would happen if somebody in maybe France or Russia managed to get a judge to issue a warrnet for the arrest of Bush and Blair because they belived that what happened in Iraq was war crimes what would happen 2 of the most powerfull men in the world couldnt go to France or Russia to discuss diplomatic business   Private individuals fine issue warents and they can be arrested no get out clause but if your talking about diplomats your getting inton dangerous territory.   
1	4	'A Hamas minefield! Can you prove that it was an Israeli miss or that there was any intention to murder anyone?'  Rubbu ish the BBC were there and they incident was reported extensively and investigated by the UN.++++++  BIG DEAL!!!! Now, did the BBC say that it was an Israeli missile that killed people on the beach? No! All they reported was that it was a claim by the Palestinians and refuted by Israel.  Same thing with UN. In fact UN did NOT investigate it. It was a Human Rights activist. You can't even get basic facts right!!!  I am not sure I can believe any of your claims.  "Last time I looked in Gaza water is still being redirected away from Palestinian territories"+++++  Last time we all looked at the photos of Lauren Booth in Gaza we saw the moist amazing, well-watered lush, green, abundant gardens. Where did that water come from again?
1	3	&lt;&lt;&lt;&lt;Does oil mix with water even though you stir them continously&gt;&gt;&gt;&gt;  Oh yeah, the racist BNP type analogies start coming out now. Whats next?   "Is a dog born in a stable, a horse?"  blah blah blah...
1	3	     Probably by annexing a large chunk of the West Bank and redesignating most of Jerusalem as a Jewish city and evicting the Arabs from those districts.  Would any sensible Arab trust the present Israeli leadership?
1	2	Not at all. Read my previous posts in this thread to see at what I was actually alluding.
1	2	   Who said the war was about oil? The lonney-left, not Bush. Who said that it was fought in the name of Christianity? The looney-left, not Bush. Etc, etc, etc.
1	2	As a Photographer I'm very much aware that most images in the media have been paid for.  Is it known if NBC are taking payment from Printed media and TV companies for the video and photos?
1	2	About the emigration of Jewish people from Europe to British mandated Palestine after WW2.  It was British policy to restrict that emigration, and some 49 ships carrying 66,000 Jewish people were boarded by the Royal Navy, and the passengers taken to internment camps on Cyprus.  <a href="http://www.britains-smallwars.com/Palestine/rn.htm">www.britains-smallwa...</a>
1	4	     Grant,  The point is I haven't had an answer. You declined to talk about the Spanish civil war when I hadn't even asked you to. I asked you to comment on the US entering into a military alliance with fascist Spain in the early 50s.   In fact in summarising our debate over Mc Carthyism it is clear that your argument is hypocritical and full of holes.   You've made a statement along the lines of, 'we should be vigilant against fascism and communism'. Well the US govt. certainly wasn't. I've already pointed that the the US admin. worked with fascists in Greece, Italy and Spain(as well as a host of murderous dictatorial regimes across the globe). Yet you build an argument around the need to protect 'freedom'. This is utterly hypocritical.   The US , during the Mc Carthy period was hounding people they believed were communists, or used to be, or knew somebody who was, or thought they knew somebody or was etc etc. all in the name of 'freedom'.  But who were the kind of people being hounded? I would never join the CP but am more than aware of how many of their members have rallied to progressiove causes. In Britain who was it who stood in the front line when the British Union of Fascists tried to drive out the Jews? The CP. And who was it who fought against and suffered under the Nazis in Germany?  And what would Nelson Mandela say? Imprisoned for 27 years, who was it in the front line against the vile Apartheid regime? The CP. Whilst the US on the other hand were happy to work with the regime in  the military conflict in Angola.  The truth is Mc Carthyism has nothing to do with preventing mass murder by Stalinism and everything to do with denying freedom in the US itself. You say you are for trade union freedom but Mc Carthyism amounted to hounding union officials out of jobs and sacking people for not signing 'loyalty oaths'. The kind of unionism you favour is compliant unionism , the tame variety that does fight for members interests.   This is what Mc Carthyism was all about. Talking about freedom whilst dealing with fascists. Hounding people who the most likely to rally for freedom of black people in the USA and South Africa.    A final point about Islam. Again you spout hypocrisy on this issue. For years the US has used Saudi Arabia as a client state in its dealings in the oil rich Middle East. Yet this alliance has spawned the likes of Bin Laden , the irony is presumably lost on you.   So let's have no more of this hypocritical posturing on the need to fight for freedom.  
1	2	Sorry, I meant Septmeber 11th. Then the Bali attacks were on October 12th. Can't see a pattern?! I'll spell it out for you  1 year later 1 month later 1 day later  
2	3	The people are not interested in education?  That's what I would expect someone who 'thinks' a religion is a substitute for an 'education' would say.  It is not, and it never has been. This is an identity that your country hasn't even been able to deduce for itself, so again colonelartist, you are just over projecting too.  Let's just assume you are right, and these poor little country bumpkins have no ambitions in life beyond their stations as peasants (abhorrent and wrong - but an assumption none the less). This is dear to you, the thought of simplicity, the thought of 'nothing do.....ing', and the thought of not having opportunities presented and within arms reach of people.  You would force them onto this path, you would keep them on it, warning them of the dangers that await them should they be tempted by Satan and all his devices (like I said, religion isn't an education). FINE! Have it your way.  But we'll STILL build that road. We'll STILL build that school, and we'll STILL pipe in that water and deliver sanitation. And when it's within arms reach - they'll take that road whether you like it or not colonelartist.  You did, and you probably rail at that personal choice you made in your live (feeling it's a dishonour to your simple view of Islam). But don't presume that others share your spirits or tempers.  Quite simply - you can't stop it. More and More and More Educated Women are coming to wider Islam, and More and More and More of them will be offered the chances to stop acting like the "oppressed". And when those coins begin to drop everywhere, the grip of religious extremism is loosened never to return to total control and domination, which is all it's really concerned about anyway.  Your sense 'norm' is well understood by us, and the thing about it - it's old, it's out of date, it's retiring. I'll give it 50 years max.  Say bye, bye now....
1	3	Russia is courting the ME Governments with the idea of forming a Natural Gas Cartel , similar to OPEC.  "European Union leaders have said they would stand against any effort by Russia to create such a cartel, fearing gas prices — and Russia's political clout — could rise dramatically as a result. Europe gets 44 percent of its natural gas imports from Russia."  <a href="http://www.msnbc.msn.com/id/17116262/">www.msnbc.msn.com/id...</a>  With Russia already supplying Nuclear Technology / Arms to Iran and others in the ME could this be 'the deal with the Devil" that Putin is looking for.  Control of Natural Gas would cripple Europe.
1	3	Everything is the fault of "The West" and America according to some.  Saddam is in power committing mass geoncide - the wests fault  Saddam is removed from power and Muslims start killing each other in widespread sectarian violence - the wests fault  Can't the Islamic world do anything for themselves? -------------------------------------------------  Everything is the west faults, you are right.  Mass genocide? which mass genocides? All that he was hanged for was killing of 148 shias....the rest is all a myth....Since he wasnt put on trial for those so called mass genocides....Maybe the west realised that they didnt after all have any evidence, or the evidence they had for those so called mass genocide was as wrong as the evidece of WMD.....you are left with speculations now, and speculations are just speculations....And the benefit of the doubt goes to Sadam since unlike his invaders he didnt lie.....
1	2	     How dare we vote for them!  I mean, what kind of countries are these?  Democracies?  Perhaps we should all vote for who the left tells us to!
1	3	Johnny M and GavinUK2,  Perhaps you could explain a couple of points.  If Nazism was socialist why was Hitler financed by capitalists and why was pre-Hitler Germany characterised by battles between Nazis and Communists? And why were socialists and communists rounded up by Hitler, thereby becoming his first victims?  And why did Stalin attempt to annhialate any Bolshevik who participated in the 1917 revolution? In other words why was the Stalinist model , later copied by other states, built upon brutal repression of socialists?  PS. Have noted two long contributions, FEC and Gavin, will try to read later.
1	2	"not nearly as likely in the UK as the U.S.,"  According to you, you still HAVEN'T posted those percentages.  Now you are comparing all crimes, again with no figures cited.
1	2	Shy Talk  -  And so you thought &lt;&lt;"Arab denoted race and "Palestinians" denoted nationality.  Sorry they are Arabs and not yet a nation.
1	3	//What do you know about Dresden?//  It may have been unecessary as the war was more or less won.There is no equivalence here as the Palestinians are still fighting for their survival. 
1	2	Thu, 25 Sep 2008 18:39 GMT, in reply to RittaQ in message 35   My mistake I should have typed relaunch.   
3	1	Falkenburg  thanks   sounds like a good idea.
