Mean pos	Mean neg	Runners World forum text
1	3	Malt, I used last year's schedule, but for the Prague Marathon, and this year's schedule for FLM. Both times I followed them to the letter, and both times had really bad runs. I did Prague in 4:09 and FLM in 4:16, but under easier conditions. Previously I had never done a marathon in more than 4 hours, and had never thought I would. I don't know if it's the schedules, or if I am just getting too old, or what the problem is. But, I'm a sucker for someone else telling me what to do and will probably follow next year's schedule as well, whatever it turns out to be.
3	1	ah ha - a new number to play trick phone calls on! Now I can leave Legless, Saqib and Eddie alone......has anyone else been getting Legless' sick jokes via text message??? They are making me laugh though :-). Humpless, 4.30???????? I don't finish until 6.30 and can meet at Liverpool St station at about 6.40 if you want. Otherwise I can meet you there around 7.
1	1	Spans. Oakley 20 is probably best described as 'Undulating' rather than 'Hilly'. I seem to remember one fairly sharp incline on loop 1 (12 miles) at about 3 or 4 miles. Loop 2 (8 miles) didn't include it.
1	1	dare we hope then?
2	2	Getting better . . . . 9 (ish) in 1.24 - even included some hills (definitely not grade A Fell!).
1	1	Cardiac Risk in the Young. Need to raise £1250. Looking to get at least £1500
2	2	I'm loosely following a RW Sub 3 programme, but anti social work schedule means that I have to do the long runs and speed sessions on different days to the programme. Now up to 65 miles per week. I'm about 10 miles per week up on last years schedule which resulted in FLM 2003 , 3.00.42 . So I'm fairly upbeat about it all.
2	1	Thanks JJ. Out for a 15m run myself tomorrow. Will be my longest run yet. I ran 14m last weekend and 12m the weekend before. m = miles NOT metres!! Hope you have a good run and your knee holds out. Foz
2	1	Figs are definitely what you DO want before a big race. But make sure you leave plenty of time twixt breakfast and "last chance".
3	1	Excellant job Meerkat...will be hanging on the RW 11min pacer for dear life in the hope of reaching you all at Mile 18 to be rewarded with JBs from Meerkat and JJ! Thank you in advance incase I am incoherant by then! Hiya Sutts...ready?
1	1	official time, as per the one they officially give you on the results list, is chip time. ...although last year they forgot, and put up the gun time for a few hours, then realised their error and changed it to chip time
3	2	Good Luck to everyone although luck won't come into it. Not even bad luck!!!!! Smile for the finish camera
4	3	Brilliant day, even though I hate running in the rain, but the crowd support was excellent. Ended up 90mins slower than I wanted (wanted a 4h, finished in 5h30), but I forgive myself that with a lack of training and that rain as my excuse. PB - Was Ian Duncan Smith running when you saw him, because the only time I saw him was at the Blue start (surely he should have been at Green), wearing a suit and shoes. looked to me like he was dropping out. The URWFRC point at Mudchute was great, even though I nearly missed it. (How could Flora put a water station there, of all places.). The only "celeb" I saw running was (the back of) Bobby Charlton in front of me at about mile23. I'm hoping I beat him, but probably didn't. Anyway, well done to you all.
3	3	First marathon , trained for 3.28 . Started in middle of pen 5 , got 3.34 chip time . felt no probs at start , but 1st 2 miles were v frustrating ; lots of stopping and starting due to bunching. So many people just changing course made things difficult , the few that gave hand signals ( not that sort of hand signal !!! ) made it easier . Great day , great support ,feel that I want to try and get that 3.28 before I get much older
3	2	Thanks for the welcome everyone (you ARE a friendly bunch aren't you :-)). Taking a rest today, have my last 22 miler planned for tommorrow, eek, before starting taper for Blackpool. Mmm...looking forward already to LAZY Saturday mornings after 20 June!! Sarah, Peter, I'm planning my first tri this year - London tri in July (just the baby sprint tri). Before the end of last year I could hardly swim 2 lengths without having to stop. Now I'm doing 50 lengths twice a week. Not the speediest fish in the pool (so to speak) but much more comfortable with it. The thought of an open water swim in a wetsuit is a bit scary though. I've also got a new, speedy almost-road-bike (a bit of a hybrid) with skinny tyres which is a revelation after years using my heavy 'granny' bike. It makes cycling fun! Anyway, good training (and a nice bank holiday weekend) to everyone. TM
1	1	I've just got the watch (I didn't bequeath for my first two). b.t.w. haver they started sending out the newsletter yet?
3	1	OOOh I see blackmail is rife!! Nobody would want my food anyway so I am safe;-). I like the no food for non runners but as Imelds is bringing the glitzy stuff maybe an exception to the rule!! Poppy plans her list. 5 sets of kit. 5 pairs socks. 2 trainers. gps. logbook. notebook. Pens. 5 Bras for training. lucazade sport. mobile-you never know. change for phone;-). rain jacket . gloves x2. buff. glitzy gear. casual gear. Showerstuff. Towells. PJ's. underwear. shorts. Thats all I can think of for now;-). 
3	1	Done my domestic duty and just about to go for a 10 mile run. . Hilly - I think I enjoy the training more than the actual racing. It is nice to get away from it all, go off-road for a few hours and switch off completely. 25 miles tomorrow with some others from the club, almost all off-road followed by Podretta's 7th birthday party (olympics party at the leisure centre). Lots of carbs in jelly and ice cream!
1	1	Morning A-MAN 69. Dare i ask why your called that ?
1	3	RF-sounds like you should change your name to ElastiMan. I can't touch my toes with straight legs! Podiatrist's verdict yesterday-Inflammed sesamoid bones and ligaments that run under ball of left foot. Need to take it easy regarding running. Might mean I'll have to defer FLM to 2006:(
2	1	Ooops, WC, well done to you too. I've just been reading that The Sussex Half was not a certified course and appears to be short, so I think I may have made the right decision.
2	3	Quite nice been injured. Just done a slow 4 miles round the block then came back for lots of stretching and ice. More massage booked tomorrow and am dreading it cause legs are sore from small amount of massage on Friday!! Hope everyone does well today, I'm looking forward to reading all about it tonight . :-). 
3	3	Felt really pleased with a swift (well for me all things are relative) 13 miles in 1.35 this morning and then I read the tragic news of the Worthing 20 runner - all seems pretty insignificant somehow after that news. Worked from home today (honest do you want to see the evidence!) as daughter has piano exam this pm. Then its time for a quick swim, some pasta and then go watch the Corporate Challenge in Chichester tonight, 4000 metres in two speed categories. There's speed work and then there's speed work. Good to cheer my fellow club members looking like ..... RobW - listen to Dunnarunner, he's right - don't do the long run if there is doubt that you can really do it without making any injury worse - there is not enough time now to recover from anything remotely serious. 'Expo Thursday runners who lunch club members'! looking forward to it. Take care all. PR
3	2	(stops lurking). Hi All - . Hope you don't mind me joining in at this late stage - I've spent the last few weeks having a dilemma about what my target time is so which forum to join! It's my first marathon, longest run was a 21 miler last week, 3:30 - so I'm hoping for sub 4:30, allowing for the unknown of the last few miles.. It has been really good to read everyone's ups and downs on the forum - this week is definitely "feeling overtrained" week, hoping the various niggles settle down during the taper. Hope everyone enjoys the shorter long runs tomorrow - I'm doing 13 miles (along the Thames, Boat Race course there and back). Great not to be running in the ice and cold any more! jezza
3	1	Well peeps.. the barriers have appeared and are starting to go up around Evelyn Street, Lower Road and Surrey Quays. Banners are now hanging above the Chav's Arms (also known as the Surrey Docks pub) proclaiming 'Watch the London Marathon Here'. Looks like we got us a race, goin' on! WP - No need to ruin your kit. Just write your name on paper with a thick permanent marker, do a quick diy-laminating job using some sellotape, et voila! BR - the name thing really does work! Back in 2002 I ran the NYC marathon and tried it for the first time.. would never run without it again. In fact, I'll be running wearing exactly the same big of paper bearing my name that ran with in NYC, Paris, Dublin and Rotterdam. It's looking a wee bit battered now, but.. call me superstitious. Just need to find some way of fitting 'Tea&ToastMan' on their too. Need a bigger chest, methinks. :-0
3	1	Don't stop me now, . I'm having such a good time,. I'm having a ball. don't stop me now,. you wanna have a good time. just give me a call. and don't stop me now.... Hippo, for some reason I didn't think you had a h*****d, you always sound so centred and together and (another word I can't think of). Have a good evening to make up for it. Probably signing off, need to put kids to bed and pack, will try not to come here in the morning or I'll never catch the train. Good luck to all still here, thanks for all the advice/support/laughs, maybe see Diana D, Delia and Hippo and others at Expo and/or bandstand - I really hope so! Remember we are supposed to be doing this of our own free will - so let's enjoy it, esp those of us doing it once only (yes, really!)
4	1	Last post before the FLM. Good luck everyone, but most of all HAVE FUN
3	2	I'm glad i wasn't the only person wondering about this (I'm not so sick after all...hoorah!)
3	1	Can I be a supporter next year? I think it's just fab what you lot did and especially you meerkat for organising it all (sorry for lack of punctuation).
3	1	hummm I think I might have that Shirl!!! Where is the Q!! Not sure about tomorrow, will let you know as soon as poss.
3	1	Lucinda - go get 'em tomorrow!!! Natalie - go get 'em...er...tonight - I will be too! . Rick .. oh Rick...here boy! *waves nice full glass of red enticingly*
2	2	I haven't really thought about it yet, i'm going to do a last minute.com type approach i think. I could push the wife into getting promoted and become a house husband, NOT!! Quality control for a vineyard would be nice, as long as it's red only.
2	1	Shades,. Yes I have my International Certificate of Competence for Motor Yachts so can now charter and skipper a boat anywhere in the world. Perhaps we should have a sub 5 holiday cruising the Med or the Caribbean??! Delia, . I wasn't a golden bond runner but haven't got my marathon pics yet, I believe they take quite a long time.
2	1	no surprise there then hey rick!!!
3	1	Jane M. Thanks, that's true I didn't learn till I went to the big school Hee hee. ANYWAY, attention should all be going to SuperDebbo and not to grump ol me.
3	3	Sarah haven't said well done on your 16 miler - fantastic! Euph coastal path sounds very dodgy & dangerous. Scarey. Good luck on Sunday. Freemers I live in a village on the Bury side of Thetford. 4/9 I am planning to do Fram 10k which was a hilly 2 lap course but has changed this year for health & safety reasons. prob now a very hilly 2 lap course!I joined the thread before FLM 2004 & didn't enter 2005 but have followed the thread anyway. Do you do XC?
2	3	I did about 4ish miles very easy - probably close to 9 or 10 mins and I couldnt have gone ay faster. My other half who didnt seem to suffer as much as I did was complaining about the pace so I must have been going slow. However I fell over at the end of my run and landed on my hands and face (dont ask) - knees escaped! - tripped over a pavement and having been discharged from Physio yesterday, I now have a very sore SI joint today so wondering if I gone backwards again so I am having a bit of a panic.
3	3	Katie, what a nightmare - well done for picking yourself up and your PB! champagne - I've printed off a split time thing off Nikerunning.com, specifically for New York, allowing for all the ups and downs - first mile - 8:46, 2nd mile 7:29. its absolutely wicked. I'll try and stick to it for as long as I can!! . As I have had no build up races as preparation - except a 10k which I PB'd aT 42:48 A COUPLE OF WEEKS AGO, i'M NOT SURE OF MY LEVEL AT PRESENT. Ooops caps lock!!
2	3	Hello all,. Happy new year all, especially Trouty and Karen. I am glad I came back to the UK for Christmas, with temperatures reaching 44-46 degrees in Sydney yesterday and poor air quality because of the bush fires it does not seem to be very pleasant there at the moment. Even though i have found it cold I managed 85 miles last week, my highest for many months. I have found that my heart rate monitor does not register properly when it is cold. Normally it is OK after about 10-15 mins, i.e. when I start sweating but this morning I did not get a proper reading for all of my 1 hr run. Does anybody else have this problem? 
3	1	Wow, so mnay newbies! Welcome everyone. Well today was my first real FLM training run and I did 5 miles steady with a faster mile in the middle. I fantacised about a large malt whisky and chocolate for most of the time (as I'm abstaining) which took my mind off the hills ;-)))). Re speed training - I prefer to do mine on the treddy because then I can't cheat and pretend I've run further than I have! For hill training I only ahve to go out of the door as I can't avoid the blessed things where I live!
2	1	One for Beav and Jonah8. A man walks into a bar with a dachshund under his arm. The dog is wearing a Man City shirt, bobble hat and scarf. The barman says, "Hey! No pets allowed in here! You'll have to leave!" The man begs, "Look, I'm desperate. We're both big fans, my TV is broken, and this is the only place we can see the game against United." After securing a promise that the dog will behave and warning that if there is any trouble they will be thrown out, the barman relents and allows them to stay in the bar and watch the game. . City attack from the kick off and their first goal attempt is cleared off the line for a corner. With that the dog jumps up on the bar and begins walking up and down the bar giving everyone a high-five. The barman says, "Wow that is the most amazing thing I've ever seen! What does the dog do if they score a goal?" "I don't know," replies the owner, "I've only had him for four years." !!!! 
2	1	Glasgow / Florida.. same thing! Hi Depth Charge, so how long was it to the start line then?
2	1	Well deserved zzzzs, WS! Managed to zip between the rain storms to do 8 miles of recovery running this evening. Not too wet. It's very mild out in SW17 again - had to take off the hat and gloves and really didn't need to bother with the second top layer. Must be the insulating effect of the pollution round the Tooting area!
2	2	Nobody has asked if I am gay - tee hee ? Gingerbreadman, are you coming out of the closet with all your 'gay' questions, do you live in a village ? Ginger is a popular name in the club I go to.
3	2	Ashley Smith. You should definitely do a marathon to celebrate 40 = I did Dublin in Oct 05 following my big birthday in Sept. I even got a 1/2 on the day of my birthday - I know its sad but as a runner you will understand! I cannt beleive there are people out there who will support me! I am flying from Belfast on my own and wont have any supporters myself so would really appreciate a cheer!
1	2	shades - I take a bottleof water with me, but normally I don't finish it. I finish the bottle on my way home, when the run is over. I drink because my mouth gets dry and because I know I have to.
3	1	Blousey, I think I got wrong end of stick. I thought you were running whilst out there! Whatever you do, have a blinkin good time :)
3	1	Congratulations, TillyP!! Well done Nikster! (gotta get out running again soon)
2	2	And then there's me panicing about only running 70 in my cut-back week. That's more than I ran in the whole of 2004! What have I become?! Anyway, where's that sun cream...
2	3	Ouch PW that is sore!! mine is nearly recovered now but it was only overstretched I think not torn. Luckily your martial arts training will help you block out some of the pain. Just hope you dont do any more damage though!! Glad you are able to do some training though. 
1	4	I like Pearce's post match comments:. "To say I am disappointed would be one of the biggest understatements of all time," . "If I was a supporter, I would be disgusted with that performance. I know I am as a manager. We showed no moral courage whatsoever. "I do not include the goalkeeper in this, but the rest of them I have told to go home, have a look at their kids and ask them how daddy did today. "None of them stepped up to the plate. None of them showed any leadership. None of them earned their wages. Without doubt, it was the worst experience I have had as a manager. "I have been in bad teams during my career but I would like to think somewhere down the line, if I wasn't playing well, I had the bottle to receive the ball. "I had the bottle to get in someone's face and I had the bottle to get aggressive with someone, show my aggression out on the pitch and show I was not happy. "Our players did not do that today. I am not passing the responsibility onto the players. The buck stops with me. But if I have to do something about it to be a successful manager I will. "These boys have to come back into work again. They have to walk past me in the corridor and look me in the eye. They know exactly how I feel about them at this present moment in time. "It was unacceptable and if it happens again, there will be people leaving this club."
2	3	Mrs T - First serious attempt at the distance/time as GR said can't be a 100% confident unsure of my MP endurance the furthest I have gone is 14 miles @ MP. My race tactics will be to get 20 miles in 2:10- 2:15 and then hang on for dear life. Is this a good plan?????
1	1	Right then I would suggest that anyone who doesn't want SIS blackcurrant gels and/or jelly babies shouts now so that we can arrange to get the special requests to Mudchute... WA - how many gels in a box?
3	3	Hi Fiona,. Just catching up with the thread - sorry to hear the news. I'm dedicating my run to my father-in-law and a close friend both of whom died from cancer. My father-in-law also had a series of strokes - 2 major ones - so that's where I'll be getting my inspiration from at around 18 miles. I'll most likely be walking like him at that stage as well. Sorry that may sound sick but we had some lively banter going on between the two of us when he was alive. He was paralysed down the left hand side but he always made a joke about it and I used to take the mick out of him in return. Got us both laughing and he'll be watching me on the day and giving it back with interest!
3	1	Buena fortuna, Mokina! Have a good week-end everyone, and steady on the Easter eggs.
1	1	Annick, try www.foska.com, they do baked beans and marmite vests amongst others. Not sure if that's what you were thinking of.
2	2	Best of luck to everyone in Gp 7 tomorrow!
3	3	Morning,. T map, jej,mrs t, dan a,ndo w, cy, blisters, oo, rb-congratulations and commiserations. Great reports. Ndo, I hope you are all right. 3 hours 6:51: for me. 1h29 at half way and just on time by 20 miles, but i had very tight hamstrings which were cramping up so I slowed to a pace that allowed me to get to the finish without stopping. I have mixed feelings this morning. The marathon is such an unnatural distance to run. Anyway it's great to be able to listen to your thoughts about the race and the banter and support on this thread has been fantastic this year. (People at work who haven't got a clue are already annoying me with their advice and anecdotes.). All the best and recover well. No running for me till Saturday and I have mayo on my sarnies at lunch today. I agree with dan a -.tapering is over-rated.
4	3	I said to my boyfriend the other day the nicest people that you will ever come across are runners and vegetarians. I am both!!!!! ;0) . I am happy for you Shona. I can understand how devastated you were.
2	3	Bet I hold the record, I took SIX on Sunday morning before the start!!!!!!!! I know it was a really stupid thing to do but had the runs from Wednesday night until Saturday morning & lived on a diet of jam sandwiches & 6 pints of watered down lucozade sport per day, though little stayed inside. . This was my third FLM & I figured that even if I had to walk most of it, as long as I could stay bunged up I could complete and justifiably collect my sponsorship money. . As it turned out they worked a treat, I managed 4:27 which was about half an hour slower than I targeted before my illness. I was also back to normal service by Tuesday morning. . However I would NEVER advise anybody to run a marathon whilst ill, it was the most physically painful thing I have ever done.
3	3	Hippo im with you. belfast today and still failed to break 3.00. must be getting old finished in 3.02.38 some 30 secs slower. great new course, hilly tough first half adn flat second, this has potential.
2	1	Thanks Diana...we're not off til next Wednesday...You've got to put up with me for another week yet!
3	3	Cinders - hope Rossi is ok. Took the dog to the vets for her blood test this morning - probably won't get the results til Monday now. I have just come upstairs and found her limping - don't know what she has done. She was fine this morning when I bought her back from the vets. Will keep an eye on her. And if I don't get on line before you all go off to the IoW - GOOD LUCK!!!!!! Will be thinking of you on Sunday and wishing I was there :-(
3	1	Thanks Mike,. This will be a new stage for me as all those sessions have me running further than the race distance I'm pacing at. Oooer! I'm always up for a challenge though!
2	1	doing only 12 400s, and with 2 mins recovery seemed like a real doddle compared with the 20 with far less recovery, even though the pace was faster - actually managed 7secs/lap faster than my last 2 20 x 400 supposedly at 10k pace sessions, so I'm pretty satisfied with that
3	3	Mokina - glad you are settling down in Dublin. Haven't got the foggiest how much 17.50 euros is but it sounds cheap, so yaaaaaaay! lol! And its not that you are getting older you know. Its prohably cos the goal has gone for the time being now that you have pulled out of your marathon - you need another one to aim for. Enjoy your shopping Slugsta. . Tracey - Bradley is a star although we do argue like cat and dog at times. My older son laughs at us when he is around - he thinks we are so alike which is why we argue. Probably right - if I think I am right I don't let go and neither does Bradley. . I have a very tight calf muscle this morning. Its quite painful. And I am still knackered! I need an early night really but I have arranged to go out to dinner this evening at one of my old assistant manager's. He got married about a month or so ago and I couldn't get there (his wife used to work for me too) so I need to go and see them. Champers again..... its such a hard life isn't it????
3	3	Quote DanA. "Will start the bidding on predicted times between me and Pug over the next few days . Oh dear.. this'll be interesting.. I'm having reservations the way I'm feeling lately.. this tapering is horrible, just feel like a fat slug now... You want odd PB's check mine out!!! 5k = 18:09. 5 Mile = 32:42. 10k = 38:39. 10 Mile = 1:15:35. 1/2 Marathon = 1:21:10. Marathon = 3:32:59 . Bear that in mind when you do ya predictions hahaha!!! Pug
3	3	Oh cath poor you, get back down the quacks, i know how pants you feel when you can't train, i was like a while back wasn't i with that virus that turned into migrane clusters, i didn't listen to my body either and tried to train, try to take it easy untill ya fully recoverd, lecture over, but i hope your feelin better soon, big hugs. Pinks i do 400m sprints at 9.5/10.0 on the tredmill and 200m recovery at 7.0 on the running machine, my next trick is to set the incline at 1.0. after downloading that tredmill programme the bloke was saying that by settin it at that your forcing the hamstrings to do what they natrally do out on the road but if its flat then the muscles don't work as they should and tremill does it all for you... some thing like that any way, i'm sure you can word it better Rio!!!
2	1	Missed your last post - but you can pick up some fab costume accessories these days, from the high street. Next, M+S, Debenhams, Top Shop etc, you don't need to spend much or go searching far off the high street - I've had some nice cheap bling from Sainsburys even.
2	3	Pug, why bother with a slow plod around Luton. Might as well go for a sub-3 and see what happens; you could always drop out after 1 or 2 laps if it's not going well. (That's what I did last year!!). Back to back sub-3's are very possible. RB did it at Paris & London this year, and someone else finally managed it at Cardiff & NY. Plus, sub-3 will probably get you into the top 10. I'm currently crippled with a mystery knee injury, so taking a fortnight completely off, for the first time in about 8 years to recover. Might go up to watch Luton, if I can be arsed to get up early; I know a few guys who are running, plus it will be good to see a winning performance from the Jock.
3	2	*pops head in*. Hi guys, long time no see! Thanks to CG for the email kick up the bum to get me back on this thread :-). Nothing wrong, just been really busy LOL! But not too busy to train - 130 miles so far in 2007 :-). I'm in work, this is a bit naughty - proper update later I promise. Thanks again for the email CG :-)
2	3	Only the semis sadly. . Dodgy refereeing and Italian gamesmanship versus AC Milan denied us the chance of a trip to Wembley where we surely would've become the first British team to lift the trophy. Charlie Cooke, Ian Ure, Alan Gilzean... The "Arabs" across the road (United) were 2-0 up from the home leg v Roma but lost 3-0 away in the year Grobelaar had his wobbly legs. . We did also lose narrowly to the mighty Leeds United side of 1967/68 in the then Fairs Cup semi final. "We had joy. we had fun . we had seasons in the sun.....". 
3	1	Thought I would try out these <u>lovely</u> buttons! . 
2	3	Toasty you're a model for many to follow. My valentine's day post-work has been spent running 5.5 miles @ 8:13 pace round Hyde Park with my wee boy, followed by a low-cal ham sandwich and grapes from M&S for me; chicken pasta salad and a brownie for him on the long tube journey home. Classy or what? Sciatica very painful now of course.
1	1	whats your precious??
2	3	I had an adventure on Sunday as I planned to run about 13 and ended up running 17 due to getting lost on Kingley Vale. It was completely my fault but the mist and heavy rain plus mud did not help. I did a speed session Monday, rested Tuesday with just a couple of sets of Tennis. I can still feel the effects of Sunday now, with a slight ankle twist and sore left knee but this is still minor on the pain scale. I do Plyometrics, (hopping helps to strengthen the ankle and I have exercises for my knee which ease the pain) This has worked well over several months. My plan of sticking to 2 hours went out the Window on Sunday as I was out for 2 hours 40 minutes. Still, good time on your feet. I will go back to 2 hours on Sunday and run a 9 miler on Thursday. I am still learning what best suits me as stacks of 2 month injuries have meant constant disappointment. However, the last 8 months has been good. I do 20 minutes static stretches after running and now do Plometrics 3 times a week to try and keep the injuries minimal and hopefully away. I am trying Isotonic drinks, Tauts, Cranberry and Blackberry after long runs to try and rehydrate and recover more quickly. I started on Sunday and this seems to help me recover quicker. Also, Glucosamine and Chondroitin, helps keep the joints supple and flexible. At least thats what I hope. I also have changed from icing injuries which never seemed to work for me, causing soft tissue damage if kept on too long, too Nurofen Gel which seems to help minor injuries recover more quickle. I am still looking forward to the Marathon and hoping for a good time. I will aim for 3.30 but will most probably end up with 3.40 to 3.45. The last 10K is the killer.
1	2	I dont think you can defer a club place joe but its still worth asking.
2	1	First half marathon so is a PB but not a lot to beat! Have done longer runs but they are just trainign runs really. Getting into the races now!!
3	3	Desert Man : and I was going to complain about the icy wind this morning!!! - half-mile reps at everything between 6m/m (very encouraging) and 7m/m (very depressing). Could still feel last week's heavy mileage in the legs, but not a bad session all in. In terms of SW16 's point, yes, the marathon is a bit of a gamble, but after 3 of the little b*gg*rs, I'm starting to get a better idea about my strengths and weaknesses, and I can compare race times with last year. For instance, I ran 3.19 off a 1.34 half (no taper). If I can get back down to 1.32, or even a bit lower, 3.14 should be on the cards. . Interestingly, although I'd always thought that I was more of an endurance person than a speed person, my 10K time is actually my fastest as an age-graded percentage - but that may be because some girl called Paula keeps on running marathons relatively fast compared to half-marathons!!!
2	3	After missing much of last week due to shooting pains in calf, I managed 11 on Saturday with 2 reps of 1.75 miles (supposed to be 4 but I was being sensible)and 2hrs 40mins yesterday. Last hour was a struggle with my calf, the same as last Sunday. Hoping that if I can survive the next 2 weeks the tapering will allow the calf time to recover enough for me to get around FLM. All the these niggles have rather dampened my focus on sub 3.15 and instead I am looking at finishing being a real goal. Yeterdays run slightly ruined by one of the guys telling us towards the end that his watch made our run less than we thought. There again his story earlier in the run about his wife and a pig more than made up for it!!
3	1	I wore mine at Reading and got a PB. . Personally I believe them to be magic, go faster laces and won't hear another word against them.
3	1	JJ. i thank the lord that rugby and tri seasons don't clash! Xtrrea finishs, RWC starts bliss! Hope Wasps they need to be beaten in the final :)
2	1	Cheers PhilPub, that's quite a strange thing to know :)
2	1	DAve - the Metcheck thing's hysterical. My Metcheck page (refreshed etc) for The Day is totally diff to yours! Says 15/16 degrees, sunny/partly cloudy. . Re meeting times - spose I was thinking I'd get there earlier than 8.30, but go to loo, sort self out, dump bag, get coffee etc then meet everyone else. Then there's a bit of time to chat, chill, dash into the bushes because the loo queues are too long etc. 
3	1	Raks that's an excellent idea, although my mother would phone and ask me endless questions about how to post to the forum!
2	1	Sure this wasn't on the website yesterday!!! 
1	1	I do get tunnel vision, but generally only around westferry and blackfriars.
2	2	Only you can say if I behaved or not?? Or maybe your OH (or kids??). If my OH gave me a freezer for Christmas he would be permanently attached to it for a long long time!!! 
3	2	Morning all, WELL DONE everyone! Bit of a strange one for me, my quads seemed to give up on me after 6 miles! Couldn't believe it! . I set off slower, think i got everything right in the build up, kept my fluid levels topped up, but obviously something not right. I think if i'd have cramped up after 18 for going off too fast i would've been disappointed with myself, cos it happened so early in the race after a mile or so of muttering expletives under my breath i managed to see the funny side of it. Although the prospect of running another 20M with what felt like two dead legs wasn't an appealing one! Anyway i shimmied along at whatever pace the legs would let me and finished in 3:31:29 in the end which surprised me as i thought i was heading for 4hrs+. After realising it wasn't my day i made the most of it and took everything in, stopped to see some friends, and was completely blown away by the support, tower bridge and along the dual carriageway were awesome! It's impossible not to smile heading down the last 800m! Can't really get my head round what went wrong and i'm not gonna beat myself up about it as it was the experience of a lifetime but i feel like i've got a little unfinished business with London now! Great effort again all! . MattTheRat:3:15:51. Darren Larder: 3.18.58. Rowan:3:20:16. Chieftain Tank: 3:26:54. TTT: 3:27:00. PO2: 3:31:29. Banksie: 3:31:57. Roundhay Mike: 3:34:40. Valuxian :3:36:52. AA : 3:38:48. Rain Bow :3:51:11. Smiffie 3:58. RFJ - 3:59:48. RUSCR : 4:01
