mean pos	mean neg	YouTube Text
3	1	Lol... Onion is great...
2	2	Mhmm... The scene where Danny pushes Lindsay down keeps bothering me... It looks as if it wasn't lindsay... Her hair is black and long...xDAnnoying... I should sleep more...;)
4	1	where is the clap!!! that is my favorite part!!!!besides the build at 4:27. the release at 4:45 gives me goosebumps....
1	3	Thats not Texas for you Thats 100% Shamrock right there..... I lived in that town for 3 years and it was a hell hole
2	2	yes i did answer this question a long time ago, but thanks for telling me anyway, i was planning to go from Amman to L.A direct then take another airline to S.F! so i travel with R.J I'll just go to JFK then take a plane from Delta or AA and go to S.F,, P.S Royal Jordanian is a good airliner
1	2	These ads are becoming parodies of themselves now.
2	2	needs the money, naa he's loaded man
4	1	thanks for posting all of these Bernstein Mahler 3 movements. This is not only beautiful music interpretation, but also extremely fine filming. What a find for me here. Thank you.
2	1	you can get this on anime-online.c()m for ?1 if you want, its good.
4	1	i agree, the last minute and a half is musical perfection. I listen to all genres and I've never heard anything as beautiful as it sounds. It's what I imagine being played in heaven. no joke. It really shows their evolution as a band.
3	3	Ohh my bad xD
1	1	where are other episodes.
3	2	Hearns all the way. I love Sweetpea, but Hearns was not only a big hitter, he could outbox the hell outta guys as proven by the fact that his only loss by decision was at the age of 35. Hearn's may not of had the best chin but the guys who KO'ed him were big punchers, something Pernell was not IMO.Hearns by UD.
4	1	I Love you man. Keep up the great work. '?Let your food be your medicine, and your medicine be your food ?" - Hippocrates...OG gangster.PS: Read Eat,Pray, Love
1	4	U r a weird spaz
3	2	tht was a great movie i am excited to meat emily and katharine thunmbs up the werewolf rlly surprised me i had no clue it was a werewolf movie i thought it would be kind of like carrie bc theyw where so outcasted it makes sense jst think about it
2	2	Okay - I guess your referring to Other video 0-140mph Class 395
1	4	datwaz rubbish never seen something so rubbish balddyyy
2	2	i'm studying mental health nursing and we are made well aware of the fact that most people who have a mental health problem become fully well. what you say is not borne out in the literature...
4	1	Child, you are such a talent. Love your work and your soulful vibe.Kathryn Keats
4	1	thank you very much!
3	3	spiders freak me the fuck out, but i only tolerate them for you guys! this is amazing.
1	2	How come there are only guys? Strange...something is being hinted here...
2	2	gonna take you for a ride!
3	2	I don't have Fibromyalgia but I I do suffer from depression and insomnia. For my depression I take the generic of Prozac which is Fluoxetin. I take 50mg of that. For my insomnia I take the generic of Ambien which is Zolpidem (10-30mg). Usually I'm asleep within 30 minutes of taking the Zolpidem. It is extremely helpful. I hope I was able to help you in any way.
2	3	For starters it WAS NOT HITLER'S EMBLEM. It was originally the Buddhist Symbol for good luck. That probably explains why Hitler stole it.
4	1	I love synthesizers! this song is so uplifting and beautiful = )
3	2	that switch back tail vince did near the end was fucken sick!!!!!!!!hopefully he gets turned pro after the chocolate vid drops
3	2	That was masterfully done by Kurt Angle! That's why he is one of the best in the wrestling business today! Stone Cold thought he had angle beat and so did Booker T but out of nowhere and within a blink of an eye he turned the tables on them and became the WCW Champion! Well done Kurt Angle!
1	2	OMG ONLY 47 VIEWS!
4	1	he is a perfect presentation full package
2	2	wow i always thought VBIED stood for Very Big IED... lol although i guess it is rathr large...
3	2	I'd do his drummer
4	1	ba ba booyah! go SPOUSE!
3	2	Are you kidding!! He made fast ppl look slow. I mean he out ran Darrell green in one game. Who is considered by many ppl the fastest player ever.
4	1	One of the greatest displays of the human spirit in the history of mankind. The world will now look to Chile for inspiration. They did the impossible, all the trapped miners and rescue workers showed the world what unity is all about.
2	2	she had a nice butt 30 years ago-?
2	3	I have the NS7 and all I can say is can't numark just back up one product make that the flagship product and market the hell out of it. Why does numark always do the same thing over and over again? The v7 looks cool but honestly it's just a way to sucker us out of more money.
1	4	I've already done so, several times in fact, and all you do is keep citing the same discredited studies, links, and 'authorities'. And you've now expanded your bloviating to include 'every science academy on the planet'...Superlatives such as THAT are concessions on your part...as everyone can see.
3	5	Usual leftie, foaming at the mouth crap. National Union of Teachers - in other words commies who hate their own race. Thank God for the BNP. Come on Nick, let's get you into Westminster and really sicken them.
3	2	This movie is better than what critics have said. The ending is far fetch, but thats hollywood baby.
1	1	intro \m/
4	1	AHH im the first to comment aswell!love it roddie
2	3	Maybe for PtoP, but for multipoint and interop their Codian MCU has to transcode everything! It takes ALOT more than 30ms to transcode 720p, try 300ms.
2	1	hey i seen that tractor just last week =) i got a gold key tour there. wach our 9430 be built
1	1	toi muon tim lai cac anh qua su lien he cua anh toi Co trung uy nguyen ngoc Rang 81 bcd chuyen sang Loi-Ho , don vi nhay toan cuoi cung KonTum
2	2	i havent watched this show in like months and im glad that they stopped flagging videos
2	1	...but an Ideal Standard (1980s batch) handle :-)
2	2	After watching so many tutorials, i still cant land the plane using ILS. i'm missing few basic things out but dont no exactly what.
1	1	Any stock pics this week?
1	5	@BudPeters44 Are YOU fucking stupid? You SERIOUSLY believe in a worldwide flood? Like, 2 by 2 the millions of different species of animals skipped onto an ark? Didn't kill eachother, had enough food for their specialized diets for 40 days and were appropr
4	1	That's amazing! Now babies and young children can swim by themselves.
5	2	Even though I didn't know it at the time, living in Silver Lake in my early 20s was one of the best experiences of my life. I was going through some hard times back then, and if I hadn't been in such a tolerant, laid back community, my troubles would have metastasized. I will be forever grateful to the community of Silver Lake for giving me the space I needed to become the productive member of society I am today.
4	2	I keep coming back to your performance of this magnificent piece, surely one of the noblest in the organ repertoire. It combines youthful exuberance with a remarkably mature msical insight. A fine organ, too - but I would love to hear you repeat this on a real Cavaill?-Coll - St Sulpice or St Ouen, for example.
2	2	ya sure you do!??
3	3	bra sleepy will neva die uhhhhhhhhhhhhhh!!!!!!!!
4	1	@thecomicbots Nice!!!
4	1	A Tribe is the effen best
2	2	hes voice sounds so different geez not like the other vestion of game of death the lost fotage
2	1	yea I hope she's alright
4	2	She is absolutely awesome for a 3 year old. It is amazing that she was able to memorize that whole routine at her age. However, I must agree with a lot of the posts. Her poor neck and spine take a lot of impact when she lands on her head like that. I bet a doctor would cringe if? they saw her do that over and over again. Hopefully she won't have any neck or back pain later in life from this. That being said, you are awesome little lady!!!
4	1	Wow the blonde girl is super yummy
3	3	those things are stupid. whats the point in having a BB30 frame if you convert it back to standard.its better to use BB30 bearings and then convert the Inner Diameter of the bearings down to shimano standard with Wheels Manufacturing adaptors.
3	3	holy crap o meter LOLOLOLOL
2	2	does that mean he sleep with the queen ?
2	2	I know some of the people in this video! LOL
2	2	bj is gonna walk right through this guy
2	2	@PlasmaSilver11 It sure is.
5	1	i love this song!!! This video is great!
4	1	Genn is made of magic
4	1	No problem! :]
3	1	so good! wonder what nick is going to say?
3	3	USAGymnast"Scott Brown was definitely an eye candy in 1982."Old mares like you shouldn't be thinking nor talking about sex.
3	1	No way! I played against T Rey at SD Team Tourney years ago (98 ish). And Ahart? Love the shorts and moustache combo! Diggin these old skool vids!!
2	2	what was up with the abandoned midgets at the end?
2	2	I use this with my 11.5. The recoil reduction is noticeable, but not so much as a good comp like the fsc556.TEST, TEST, TEST this with your duty ammo if you in LE!! It works with Hornady 75 grain TAP, and with the 75 grain practice ammo that I've tried. I've seen it used with 55 grain TAP and 55 grain practice ammo without any trouble, but we didn't use much 55 grain TAP.
5	1	OMG SSSOOOO CUTE :) he looks like my baby yorkie when i got him :) hes a year old now my babi :P
1	1	You talk to her we translate mworld5.info
1	1	ayyy pero no me gusta por que no salen los de mas de los amigos..como mi micky,carlitos,justa,norma.. marina,marquitos, los papas de isa y los de mas...ellos completaban el show :( espero que recrezen al show
1	5	you try cooking while giving a presentation, u dick
1	2	Who can watch this?
2	2	panthers on the railway nice
2	3	To me, the bailout was a necessary evil to prevent economic Armageddon. HOWEVER, the bailout should immediately have been followed with the kind of legislation being proposed here by Bernie, in that we force the Treasury to identify those banks that are dangerous to our country and to break them up -- Teddy Roosevelt-style. By taking the bailout, those banks showed that they don't deserve to stay intact.
2	4	for earth day, i celebrated by . . going to my local deli, purchasing as many sandwiches as possible, throwing them all in the trash, then taking those styrofoam boxes and digging them deep in the earth in various ity parks. it was awesome. i felt good afterward because i knew i had done my part that day!! also took all the non-biodegradable trash from my garbage and strewn it around as many school gardens as i could find.it truly was a WONDERFUL earth day!! yay!!!!
4	1	Glad you enjoyed it and thanks so much for the kind words!
2	1	Try warpin Rodney Mullen and his tech skate style
3	1	Love it! Is the kid Chris' son, maybe?
4	1	I love this show.
4	2	Dude, this is really good. Indeed, the theme music raped my ears, but this was exactly the kind of thing that needs to get posted more often. Bravo.
4	1	WONDERFUL
3	2	Lol. I can't believe she said " I am the only white person in the village!"
4	1	OMG, I had no idea...I'm soooo loving this, Wes! I've been into Grass since I was 15 (preferring BG festivals to rock concerts) and loved The Birchmere back home.
4	1	Good Job.
1	4	i didnt ask u to watch it or comment it so shut up it aint my fault u thought it was porno or something well srry 2 dissapoint ya perv
1	5	you're horrible lol, fucking clicker go die
3	1	2:27 jojo! :D
2	2	People just cant believe how great this team was and i mean TEAM.
1	3	Bad audio :(
1	3	@5796 I really don't like Ten Chances because players waste the rest of their chances on the 2nd prize.
3	1	Niceee
4	1	OMG That Trey is so fucking sexy
2	2	it should b 0000 if u havent changed it
1	3	how did iran get the S-300!!! please!!
3	1	great video
2	4	give me the live cow right over the table ill carve off what i want and ride the rest home dum dadadumdadadum
2	2	R.I.P J-ROC
2	2	Haha nojgxbjgegiyfhi
2	2	HARDCORE
3	2	Awesome! Thanks. I will drown trying!!! I hope to get it, hopefully tomorrow.
2	2	i prefer kevins new hair style the old 1 looked like a broken mop.
2	2	yea this is all fine and dandy but it dosnt have any good games yet, so this dosnt even matter.
2	2	That made me laugh! Now where are those panties?
2	2	sometimes i wish my hair was short and styled like that, im sure my alter-ego does her hair like that though :]
3	1	Kim K. recommending Kim S. was sufficient enough for me to get interested. I have been using a modified Snider Investment Method for the last 3 years very successfully. I am very impressed with her both as a system builder, and a financial advisor. Thanks goes to both Kims.Glen
3	1	Like you wouldn't believe. That man makes me want to buy out a BB&B store.
1	2	um......
4	2	he is awesome and i now enjoy the cod 4 game play wayyy more now....
3	2	Hey that is really cool. Great background music.I also learned that I need set the camera down instead of holding it. Thanks for teaching this old dog some net tricks.Regards,Gary"Eronstuc"
1	4	@Guaranch pufffffff ... blah blah blah.. girl is your dad,jerk!
5	1	AWESUUUMMM!!! first comment! 
1	4	fml
1	3	It's raining asbestos on them
2	2	haha the thing on his helmet
3	1	@celest143 me too :) will watch a few mins :D
3	1	oho, nice ;-)
1	1	The Library (Michel).
3	1	cool
3	1	This is a cool video.
2	3	@sethisawesome Playstation and Philips were both paid by Nintendo to make the CD addon. When Nintendo decided "CDs are not the future of gaming" (Yeah, nintendo. Ahead of their time, though always leaving their foresight at home) they dumped both and thus
3	2	I love watching your videos. No BS plus you have a very nice speaking voice...have you tried out for the Food Channel? Thanks...
3	2	wow was that a tv in there??? weird!
1	1	first
2	1	Cool David~
2	3	@777Shekel777 , I dont believe in bible codes. I am certain the heavenly father would have said" I leave you with my living word for your benefit and as a blessing to those who listen to these words... ... but oyu will need a doctorate in history and math
4	1	Some great info! I'm very excited to see more talks from this year get posted!
1	1	how old do they cast the role?
2	1	inspiring
3	3	Jesus is the only way to God there is no other 
4	1	awesome!
2	2	ya know lukes friends at the battle of hoth that flew around with him who he was talking to over the walky talkys in the fighters it was them watch it again and youll see it was episodes 4 and 5
2	2	NEW , LOL
5	1	I WAS THERE I MET THE AFTER THE CONCERT!!!! hehe THEY'RE AMAZING!!!
2	2	@HappyWithLife33 no. go dl Fear. way b4 psych and way better I'm sure : )
2	1	That last "Tun tun tun tun tun tun!" Cracks me up xD
4	1	I think we all know that the trumpet player was excellent but man on man, the orchestra backing him up was superb. Very musical and followed all the dynamics....true professionals.
4	1	artistic... talented man
3	2	of course that's fake, they have tons of interviews together where they absolutely love each other. Even extras on the dvd where they're all goofing around
2	2	lol
3	1	4:15, pretty cool moment.
4	1	i just love this song , very goog song :D
4	1	so wonderful job!
3	1	My favorite part was the ending with Jack saying "Did you miss me?" Nice!
1	1	sacredclan/oakclan/iceclan/forestclan/emberclan/ anyother clans ( CLAN VIDEO)
1	5	A knob wow How old are u kid like 12 what would your mom say if she knew u were using that kinda language .go get a life
2	2	I din eat the cookie god... I din eat the cookie!!!
4	1	Beautiful!
2	1	yeah they would be able to engage
2	4	raven needs 2 c'm back eric young sucks i wanna c him leave tna g2 shitty wwe
1	1	oh and also how much room is on the delta hang ledge
2	1	Great style. Really smooth and clean.
2	2	OMG. That's so horrible. 
2	1	its a CHICKEN!!! and yep. 50 bucks. :)
2	1	:D yugioh references lol
2	3	The Republican Party is DEAD!!! LMAO
3	1	awesome
2	2	with all due respect ithink you need to catagories the contents to make it more fluid in use. just a thought. i dig the bag though
1	2	As did I
1	3	Make that 4 people. I hated that guy! We were glad to get rid of him
2	2	i can do that shit...lol :p
2	2	I am unsure of the grammar here. What would kill himself? How much he states humans?Calm down, re-read and then post. It will be okay. Though I do think he has any allegiance save to knowledge.
2	2	@ParkourAmour Actually, it is easier for me to do on bar because my hands DON'T move around freely. On rings, it takes extra effort to maintain your false grip. By the way, I am the guy in the video and on bar I have done this same workout in 20 seconds l
1	1	Does anyone know the best winter lure
2	2	Sick Video!!! 2010 World Cup At Windham Mountain!!
2	2	@Drewstorm, not quite correct. Old School was ahead overall in SUB-TOTAL of BOTH the Quarter-Finals AND the Semi-Finals until the Finals, but Storm Front outscored them in both the Semis and the Finals. It's just that the amount by which Storm Front outsc
3	1	My favourite ballet. The second act is the best bit, (if there is one!) Thanks for sharing.
1	1	Tylko po co? wasze ego, chcecie byc wyjatkowi? Otwieracie sie na sily demoniczne, kt?re wykorzystaly sataniste Monroe aby opracowac metode, zwiesc ludzi i odwr?cic od Boga w tym uzalezniajacym procesie z kt?rego ciezko sie wyrwac, a slad na psychice, grzech i duszy pozostaje. Demon juz zawsze bedzie dzialal w waszym zyciu czy tego chcecie czy nie niszczac wasza psychike i zycie. Niekt?rzy przypisza to smiercia i pieklem! Wiecej o zagrozeniach cykl dokumentalny "Jarmark cud?w".Nic nie zyskujecie!
2	2	Fairytales can't be changed? Oh, that's not true. We've been changing them since forever!
3	2	When Carlos was on LSD playing his guitar, he actualy thought that the neck of his guitar was turning into a snake, so he had to fight that fear and play amazingly at the same time, fucking amazing :D
3	1	that was great fun rick. you are are a fun host too - cracked me up. also great questions and all that. !!!
2	2	@TerenB1 I also saw it!
4	1	You are most definitely an open channel! Your videos just keep getting better and better. Your sense of color and balance is amazing.
4	1	Robin Hood is my favourite one!:-) HAHAHA
4	1	dara is not only cute or sexy 2ne1 is not the same like others group they are the best because they are not just cute ,pretty ,sexy unlike the other using that effect but 2ne1 they have everything sexy ,cute, pretty ,hot ,cool and talented !!! go go go dara park and 2ne1
3	3	Just live your life! Whatever you are, make your small happy life
1	1	Hey Nutnfancy What Blade are you using at 18:00-18:03?
4	1	There is a song here that every country music fan can relate too sometime in their life! Thank you for your great uploads!!!!!
2	2	he a sniper just like me
2	1	Thanks for helping me against that heavy.0:49
2	2	How can u not like Shaggy and Shabba???? LMAO!
2	2	I SoCed the guards. Only Cauthrien survived:)
3	2	She has an Aretha sound, she can definitely get some work as Aretha's background singer or even do demos for Aretha, she's interesting, I wonder if she lives what she sings, these poor women who these men take it through.
3	2	i burned the disc and stuff just like you said. only problem is that when it says " Click the button below to restart your computer and begin the installation process. " i click restart and it just restarts. that's all. no installing occurs. could you help me out with this? thanks and great simple video instructions. i'll rate it 5 stars once i get this working.
4	1	Great video!!!
1	3	Hello? (it's the brain)
3	3	Illuminati? Ha, Ha. I read the book. Excellent. The movie, not so much. She's such an idiot and a fake!
2	2	@blue861000 I agree. Bullies & haters are wrong in every sense of the word.
2	2	Most convicted killers that have been cleared and freed didn't have as much evidence to exonerate them as there is for ALA. If ALA cannot be cleared on the prints, DNA and handwriting, nobody could ever be cleared of a crime. To accept ALA's guilt is to deny solid physical evidence in favor of witch hunting, sophistry, invented factoids and wild speculation. Some think that's stronger evidence than prints, DNA and handwriting. If that evidence is so weak, then nobody could ever be convicted.
2	2	Will be trying this tonight. I might bake them instead of frying. I just feel that potatoes especially mashed will soak up every bit of the oil. Frying is always yummier, but since I'm pregnant, everything fried gives me indigestion...
2	2	@ccdcassi I hope so too. It's still a great city and will always be. Thank you for your support
2	2	yh ur rite soul touching and very sad...
2	2	his hat is fuking sik 5:10
3	2	These are the days these are the moments that pass us by
2	3	Apples taste good but Oranges taste good also. I just summed up your stance on any two opposing issues, do you work in congress? Allow me to stereotype you: Spineless, unprincipled, panderer. Any one will work.
1	2	dizaster sucks
2	2	ok so shep's ship is totally a guitar. it even has a whammy bar!
3	1	Sex, drugs, rock-n-roll !!!
2	2	im a dance minister and when there is song of warfare on sometimes it just be like that. you got to minister to your self and stomp satan all the same time . amennn
1	4	vanguard of justice my ass more like the vangurd of low down cheating mother fuckers
1	1	When was this video made? I didn't see it in the credits
1	2	you couldn't be a Libertarian and believe the way you believe
2	1	this is my new favorite super furry animals song
2	1	totally agree with you. liked them for a couple years now.
2	2	dude just go to the apple store snow lepord is there!
2	1	yeah its totally worth it
3	1	So Dope...!!!
3	1	Charmed LOL
2	2	Ok,You PA boys can stop showing off now. We know y'all have all the power we drool over in the rare times it gets south of you.
3	1	i was a little kid when i heard this song in my moms cd's. i dont remember how old i was but i remember i didint understand the words to well, but i fell in love. i fell in love with the music and the words my small brain could pick up. great era of music.
1	2	? this swucks
3	3	you got a camera mark!!!!!!!
1	1	what is a pyro fx
4	1	Great video Steve! I remember the first time I read John Muir's description of the ice cone, I was amazed by it. To see it through your eyes is pretty cool. Love the time lapse of the creek too.
2	2	@cdreddick34 Thanks for the advice I will consider that the next time I get them twisted up.
3	1	Thank you! :)
3	2	Fantastic. Thanks for posting. And Rod...sort it out!
2	1	legit
2	2	shits perfect
3	2	that gave me chills. ...so very excellent.
2	1	yes
2	3	@VeganButterfly Wow, you expect to have a civilized discourse with that kind of pessimistic dualistic attitude? The reason my responses seem "dumb" to you is because I'm pointing out all of the contradictory fallacies in your arguments. My responses are m
1	1	Gld etf is stored in london.
1	2	@ln4359 havent played since i broke my wrist last year.....its still not 100% yet....
5	1	I cannot thank you enough for this incredible information. You are living proof that the raw food diet is miraculous. You are SO beautiful! Thank you so much for your example and for being such an inspiration. I want to look as beautiful and be as healthy as you are!
4	1	that is the best video I have seen on what the argument is.Thank you
1	4	laureen cheated laureen cheated she cheated FUKIN cheated
1	1	Andy Milanokis!
2	2	I wish the "Nashvilles" would pull their heads out of their asses and promote more music like this, there are very talented songwriters out there, but the Nashvilles are ignoring them. I don't understand why they are promoting this "Hip Hop" country of today. Sure it sells, but there is stuff out there that would sell better.
2	2	i think at 0:57 he was going for another soccer kick but then remembered he was in the WEC lol
2	1	wow neon another episode your uploading alot today
2	2	hey got a question about this if u dont mind. Do I have to control when it starts swelling? or does the pedal know when to do it? im not sure if you understand this, but in simpler words: "does the volume start swelling everytime you pluck a note?"
3	1	i think im in love.. lol
1	2	try and make ur vids more clear
1	2	why do you have that if you don't have 2
2	3	Hmm, who would I rather have talking about foreign affairs? A ball of Bushisms? Or this guy?Great speech Barack. I'm sure another hundred years in the middle-east would reallllly help Israel. Hah! Yeah right.
4	1	Love the AMV.OMG. That's my TV! :O
