content	NCRsurprise	SSPOL	OPW	BLNW	ONW	BLPW	NCRanticipation	APO	NRCHASHNEG	S140LEXPOS	ANE	SWP	NCRjoy	SWN	s140	NCRsadness	NCRnegative	NCRpositive	SSN	S140LEXNEG	label	NCRdisgust	NCRanger	NRCHASHPOS	NCRtrust	NCRfear	SSP
@APGPhoto oooh nice .. Tis tempting to go up the lakes with my Nikon ...  Hmmmm I may do that ..	0	positive	2	0	0	2	0	3	-2.18	3.592	0	0.9333496671315515	0	-0.15621566772460938	positive	0	0	0	-1	-1.6099999999999999	positive	0	0	4.316	0	0	2
BLACK FRIDAY Huge Saving Aerial View of a City\u002c Paris Las Vegas\u002c the Las Vegas Strip\u002c Las Vegas\u002c... http://t.co/DCTgeSED	0	neutral	0	0	1	0	0	1	-0.394	2.9300000000000006	0	0.06005859375	0	-0.291267454624176	neutral	2	2	0	-1	-0.12	neutral	0	0	5.063000000000001	0	0	1
YES we all know INDIO vs CV is tomorrow the BELL GAME. Its enough.!!	0	positive	1	0	1	1	1	1	-2.324	2.6069999999999993	0	0.78399658203125	0	-0.156829833984375	positive	0	0	0	-1	-1.186	positive	0	0	2.6030000000000006	0	0	2
@MelmurMel @PBandJenelley_1 @vl_delp_ham_ Jenelle lies\u002c1st she said she was alone &the hosp.now she\u2019s saying how weird it was for Keiffer\u2019s	0	negative	0	2	2	0	0	0	-9.087	0.347	-4	0.0	0	-0.06640625	negative	0	1	0	-3	-2.551	negative	1	0	0.124	0	0	1
@MyBeautyisBrown LMFAO his big ass get on my nerves\u002c you going to class tomorrow?	0	neutral	0	0	0	0	1	5	-2.7520000000000002	1.387	-5	0.21560287567263003	0	-0.21875	neutral	0	1	0	-1	-2.295	negative	0	0	1.722	0	0	1
@tantrak I\u2019m going to Hong Kong during that time and mamA is on Nov 30. I want to see them live	0	neutral	2	0	0	0	1	1	-2.015	0.8390000000000001	0	0.0714026689529419	0	-0.47021484375	neutral	0	0	0	-1	-2.7329999999999997	positive	0	0	2.339	0	0	1
Happy 20th Mr. President! Nick J forever off the chain.	0	positive	1	0	0	1	1	3	-0.491	3.662	0	0.453125	1	-0.35400390625	positive	0	0	2	-1	-0.506	positive	0	0	2.8649999999999993	2	0	2
Dream High 2 sucks compared to the 1st one.	0	negative	1	1	0	0	0	1	-2.1910000000000003	0.49400000000000005	-3	0.1276235580444336	0	-0.0322265625	neutral	0	0	0	-2	-2.698	negative	0	0	0.987	0	0	1
Mohamed Morsi\u002c Egypt\u2019s Muslim Brotherhood president\u002c instructed the Supreme Council of the Armed Forces Thursday... http://t.co/NnBeUvSt	0	positive	1	0	0	1	1	0	-2.521	1.8729999999999998	0	0.40625	0	-0.046875	neutral	0	1	5	-1	-1.727	neutral	0	1	3.484	3	1	3
C\u2019mon Avila! You just got tagged out by a guy who looks like the kid Bill Murray was researching in The Royal Tenenbaums! #Tigers	0	positive	3	0	0	1	0	2	-3.143	3.16	0	0.485595703125	0	-0.5297279357910156	neutral	0	0	0	-1	-1.008	neutral	0	0	3.4330000000000007	0	0	2
@thehuwdavies you think the Boro will beat Swansea? I\u2019m not so sure\u002c December/January is when we implode	0	neutral	2	1	1	0	0	0	-2.898	2.1910000000000003	0	0.5435180500745773	0	-0.625	neutral	0	0	0	-1	-2.9410000000000003	negative	0	0	0.28500000000000003	0	0	1
At the first Grammy Awards\u002c held on 4 May 1959\u002c Domenico Modugno beat out Frank Sinatra and Peggy Lee for the Record of the Year\u002cwith Volare	0	neutral	1	0	0	1	0	3	-0.23700000000000002	6.467	0	0.5460319966077805	0	-0.002384185791015625	neutral	0	0	1	-1	-0.9849999999999999	neutral	0	0	9.53	1	0	1
Happy birthday VOW  (the 3rd anniversary)	1	positive	2	0	0	1	3	3	-0.273	3.4560000000000004	0	0.640625	3	0.0	positive	0	0	3	-1	-0.001	positive	0	0	3.702	2	0	2
@JennetteMcHevan I have studied all day but tomorrow I\u2019m going out with friends! :D Omg Jennette did?!!!! I\u2019m gonna look! <3	0	positive	1	0	0	0	1	0	-1.264	5.422	0	0.875457763671875	0	-0.43933773040771484	positive	0	0	0	-1	-2.34	positive	0	0	6.2620000000000005	0	0	2
Good morning Thursday. \Life is fragile. We\u2019re not guaranteed a tomorrow so give it everything you\u2019ve got.\ - Tim Cook [Do it for Jobs!]	1	positive	1	1	1	1	2	3	-4.34	6.023	0	0.7083761114627123	1	-1.230861550351392	positive	1	1	1	-1	-2.9219999999999993	positive	0	0	4.181	1	1	2
#Twitition Mcfly come back to Argentina but this time we want to come to mar del plata!!! http://t.co/DlXY0LCg	0	positive	2	1	1	0	1	1	-1.241	2.547	0	0.17860221676528454	0	-0.57958984375	neutral	0	1	0	-1	-2.8689999999999998	positive	0	0	5.304000000000001	0	0	2
@Astrochologist anything. I wondered how the aspects btwn my sun/moon faired with my rising. I also have Venus in Sag...yea lol Thank u :)	0	positive	1	0	0	1	1	5	-4.13	4.453	0	0.078125	1	-0.18695354461669922	positive	0	0	1	-1	-2.265	positive	0	0	4.79	0	0	2
My teachers call themselves givng us candy....wasn\u2019t even the GOOD stuff. I might go to Walmart or CVS tomorrow/	1	positive	3	0	0	1	2	3	-6.049000000000001	2.029	0	0.7504904270317638	1	-0.37491464894173987	neutral	0	0	1	-1	-3.1039999999999996	negative	0	0	1.7810000000000001	1	0	2
#Broncos Peyton Manning named AFC Offensive Player of the month. It\u2019s his 5th such honor\u002c second to Tom Brady\u2019s 6\u002c tied w/ TD.	0	negative	0	1	1	0	0	0	-3.0229999999999997	2.5459999999999994	0	0.53118896484375	0	-0.2899375	neutral	0	2	0	-3	-3.526	neutral	1	1	4.237	0	0	1
@TooZany is bringing out Kendrick Lamar the 6th of December!?! Get your tickets now!	0	positive	0	0	0	0	0	0	-0.651	3.9669999999999996	0	0.013736725770286284	0	-0.006290435791015625	positive	0	0	0	-1	-0.957	neutral	0	0	3.537000000000001	0	0	2
@jackseymour11 I may have an Android phone by the time I get back to school! :)	0	positive	1	0	0	0	1	0	-0.9199999999999999	1.419	0	0.31720352078264114	0	-0.7182035446166992	neutral	0	0	0	-1	-2.899	positive	0	0	1.092	1	0	2
Andre\u2019s Wigan Warning - #COYS Official Site Wigan might currently occupy 15th place in the Premier League\u002c... http://t.co/3mo7WIWd	0	neutral	2	1	1	1	0	0	-3.2019999999999995	2.1350000000000002	-3	0.22967243171297014	0	-0.265625	neutral	0	0	2	-1	-2.098	neutral	0	0	1.83	1	1	1
@Genesis8907 Tryst tonight! Best industry/local/Thursday party in Las Vegas!	0	positive	1	0	0	1	0	3	0.0	2.6599999999999997	0	0.19921875	0	0.0	positive	0	0	0	-1	-0.117	positive	0	0	4.272	0	0	2
What If it rained? We didn\u2019t care.. She said that someday soon the sun was gonna shine.. And she was right.. This love of mine My Valentine	1	positive	4	0	0	3	1	5	-4.219	4.208	0	0.610595703125	2	-0.20928126203580177	neutral	0	0	3	-1	-3.8999999999999995	positive	0	0	6.977000000000001	1	0	3
@CalebMac93 @strokemyego17 royal rumble tomorrow night\u002c my house. assemble the crew were gettin real this time haahaha	0	positive	1	0	0	0	2	0	-1.46	1.3649999999999998	0	0.0184326171875	0	-0.1748046875	neutral	0	0	1	-1	-1.8579999999999999	positive	0	0	4.447	2	0	2
@juice005 strange enough\u002c I\u2019m going to see Noel Gallagher in concert tomorrow  night. #alldayb1tch	0	neutral	0	1	1	0	1	0	-0.176	2.26	-1	0.001526474952697754	0	-0.2529296875	positive	0	0	0	-1	-0.43300000000000005	neutral	0	0	3.8680000000000003	0	0	1
When my professor passes out candy and says \a very small amount of that may be from Valentines day\u002c just so you know\	0	neutral	1	0	0	0	0	0	-2.847	3.197	0	0.48797607421875	0	-0.06991958618164062	neutral	0	1	1	-1	-2.5220000000000002	neutral	0	0	2.5970000000000004	1	0	1
How are they going to act in new york with the subways out? They better clutch it out like Eli Manning 4th quarter	0	positive	2	0	0	2	0	4	-4.255	2.2649999999999997	0	1.0415802001953125	0	-0.19226837158203125	neutral	0	0	0	-1	-2.829	neutral	0	0	5.233999999999999	0	0	2
Homegrown talent missing on Signing Day: Throughout most of the day on Wednesday\u002c the video scoreboard ... http://t.co/6dZ2hQkD #Raleigh	0	negative	1	0	0	1	0	0	-0.754	4.85	-2	0.251953125	0	-0.5625	neutral	1	1	1	-2	-1.9489999999999998	negative	0	0	4.501	0	1	2
taylor swift is coming with ed sheeran june 29th? most perf news i\u2019ve heard all night.	0	neutral	1	0	0	1	1	2	-0.391	2.5839999999999996	0	0.65625	0	-0.5029296875	neutral	0	0	1	-1	-1.529	positive	0	0	7.743	0	0	1
The great Noel Gallagher is about to hit the stage in St. Paul. Plenty of room here so we\u2019re 4th row center. Plenty of room. Pretty fired up	0	negative	4	0	0	2	1	4	-2.186	6.386	-2	0.457977294921875	1	-0.5585939139127731	positive	0	2	2	-3	-2.2270000000000003	positive	0	2	5.853000000000001	2	0	3
I\u2019d love to go for a pint with Jim White off SSN\u002c think he may have a bit about him	0	positive	2	0	0	1	1	3	-2.1220000000000003	3.3270000000000004	0	0.36242681556905154	2	-0.6387453675270081	neutral	0	0	2	-1	-1.4979999999999998	positive	0	0	3.9130000000000003	1	0	3
@lala_cox There are going to be plenty of ups & downs for Boro\u002cCardiff\u002cLeicester etc until May.I hope we are still in with a shout for promo	2	positive	2	0	0	0	1	2	-2.5949999999999998	5.535000000000001	0	0.0894775390625	1	-0.4077739715576172	positive	0	0	1	-1	-1.9880000000000002	neutral	0	1	3.1079999999999997	1	0	3
@joeeewilliams that sucks\u002c amazon might have some left .. hate that i won\u2019t have it until 11am on Tuesday though	0	negative	1	2	1	0	0	0	-4.5329999999999995	0.7170000000000001	-6	0.2578125	0	-0.9058895111083984	negative	1	1	0	-4	-6.674	negative	1	1	2.33	0	1	3
Happy Sunday last off Sadat before back to work enjoy it tweeps now to do yard work for a couple hours then some fun	0	positive	4	0	0	5	3	9	-1.077	5.5840000000000005	0	1.2056572870351374	3	-1.0068016052246094	positive	0	0	3	-1	-3.561	positive	0	0	7.07	2	0	3
Playing as the Browns HC K. Fri in #Madden13\u002c XFacalac lost to the Ravens 21-28 on All-Madden #ConnectedCareers	0	positive	0	1	1	0	0	0	-0.44399999999999995	1.371	-3	0.03125	0	-0.145263671875	negative	1	1	0	-1	-2.217	neutral	0	0	1.8819999999999997	0	0	2
#CFC @juanmata10 is the best of the Premier League! His overall EA Sports Player Performance Index score: 217. (1st place) #MataMagic	1	positive	2	0	0	2	1	3	-3.3009999999999997	2.889	0	0.27752399421297014	1	-0.06733417510986328	neutral	0	1	3	-1	-1.887	positive	0	0	2.979	0	0	2
@rosanne_89 Nooooooooo rosanne! They\u2019ve just restocked them and me going overseas Sunday means I can\u2019t afford them :\u2019(	0	positive	2	0	0	1	0	0	-6.577	0.8180000000000001	0	0.172607421875	0	-0.21875	negative	0	0	1	-1	-5.031000000000001	negative	0	0	2.025	0	0	2
The pain is far deeper than a Billy cundiff missed field goal. Gotta wake up and forget about it tomorrow. #Orioles #stayhungry	0	negative	0	2	2	0	1	0	-1.2720000000000002	2.415	-5	0.22900390625	0	-1.17578125	negative	1	2	0	-4	-5.601999999999999	neutral	0	0	5.759	0	1	1
@grandvincenzo on November 16 be ready to head to the movies. Breaking Dawn: Part 2. (;	1	neutral	2	1	0	2	2	0	-0.5579999999999999	1.373	0	0.06652829429367557	1	0.0	neutral	0	0	1	-1	-1.868	positive	0	0	3.286	1	0	1
after seeing @Iam_FaithReid\u2019s tweet about watching The Vow\u002c I think I may need to watch it.	0	positive	0	0	0	0	1	0	-2.633	1.8279999999999998	0	0.2974853515625	0	-0.240234375	positive	0	0	0	-1	-1.628	neutral	0	0	1.093	0	1	2
Tomorrow shall consist of watching Will Ferrell films with my fave people and Chinese food\u002c sweet.	1	positive	2	0	0	2	2	2	-0.984	5.9879999999999995	0	0.20186996459960938	1	-0.03125	positive	0	0	1	-1	-0.6579999999999999	positive	0	0	8.84	1	0	2
Yeah.. You know just sitting around by myself listening to Avril Lavigne\u002c typical Friday night.	0	neutral	1	0	0	0	0	1	-1.9020000000000001	3.443	0	0.45709228515625	0	-0.2763671875	positive	0	0	0	-1	-0.864	neutral	0	0	3.93	0	0	1
@Cardschatter @azcardinalsftw D\u002c you\u2019re the closest source btwn fans & team. BTW heard cards may sign Billy Cundiff. Any truth?! #snarklife	0	positive	1	0	0	1	0	0	-3.92	4.739	0	0.3206789493560791	0	-0.0625	neutral	0	0	1	-1	-1.415	neutral	0	0	1.7289999999999999	2	0	3
@jbmclendon And the same station that will air new episodes of COUGAR TOWN in January! @tbsveryfunny has been good to us\u002c Jordan. #PennyCan	1	positive	2	0	0	1	1	3	-2.293	2.895	0	0.7880880255252123	1	-0.06640625	positive	0	0	1	-1	-2.8249999999999997	positive	0	0	3.6990000000000007	1	0	2
Alex Poythress had 11 points and 7 rebounds in his debut with Kentucky during an exhibition game on Thursday. He played 28 minutes.	0	neutral	0	0	1	0	0	0	-3.574	2.907	0	0.03125	0	-0.125579833984375	neutral	0	0	0	-1	-1.8680000000000003	neutral	0	0	5.97	0	0	1
I think I may have a heart attack for Jason Wu\u2019s new collection. So Charlotte Rampling in the Night  http://t.co/2KRW4kTn	0	negative	1	1	1	0	0	0	-1.2659999999999998	2.289	-1	0.113525390625	0	-0.5054349899291992	positive	0	1	0	-3	-2.3210000000000006	positive	0	1	3.6360000000000006	0	1	1
If I can get my equipment working correctly we will have a live show on Friday at 6 pm CST with contactee Ray... http://t.co/9LVKwcYJ	0	neutral	3	0	0	1	0	0	-1.391	2.563	0	0.46032571884279605	0	-0.21820354461669922	neutral	0	0	1	-1	-2.5969999999999995	neutral	0	0	3.3779999999999992	1	0	1
Amazing concert tonight with Jim White and the TCU Jazz Ensemble/Faculty Jazz Combo!  Don\u2019t miss tomorrow night... http://t.co/i9asnsET	0	positive	2	1	1	1	2	4	-1.664	3.5309999999999993	-2	0.53125	1	-0.08899885416030884	neutral	0	0	1	-2	-1.799	positive	0	0	8.939	1	0	3
#Nationals 9th Inning had that \4th Quarter #Redskins\ feel\u002c didn\u2019t it?  Coulda swore I saw Cundiff shank one from the mound.	0	neutral	0	0	1	0	0	0	-5.8629999999999995	2.916	0	0.0046234130859375	0	-0.158203125	neutral	0	0	0	-1	-4.769	neutral	0	0	1.927	0	1	1
Why would you still wear shorts when it\u2019s this cold?!  I love how Britain see\u2019s a bit of sun and they\u2019re like \u2019OOOH LET\u2019S STRIP!\u2019	1	positive	2	1	1	2	1	5	-5.5169999999999995	2.9900000000000007	0	0.536376953125	2	-0.8161115646362305	neutral	1	3	2	-1	-4.192	positive	0	0	4.289000000000001	2	0	3
.@PPPpolls You mentioned on Monday that you would be releasing Colorado and Nevada numbers on Wednesday; were those polls abandoned?	0	negative	0	0	1	0	0	0	-4.234	3.6020000000000008	-2	0.1251220703125	0	-0.125	neutral	1	1	1	-2	-2.112	neutral	0	1	4.731000000000001	0	1	2
Capello says time for Russia to win big match: Russia manager Fabio Capello on Thursday said that he intended to... http://t.co/EFc5Cfng	0	neutral	0	0	0	1	2	5	-3.5940000000000003	4.287	0	0.5143070220947266	0	0.0	neutral	0	0	1	-1	-0.997	positive	0	0	1.7630000000000001	0	0	1
JACKALS GOAL! Jimmy Martin sneaks a rebound past Killeen to give Elmira a 2-1 lead. Bushee & Bellamy with the assists.1:09 left 2nd period	0	negative	0	0	0	1	0	0	-1.3459999999999999	3.4870000000000005	0	0.08258182555437088	0	-0.14959705450178262	neutral	0	0	1	-2	-3.192	neutral	0	0	2.5580000000000003	0	0	2
Kick-off your weekend with service! EV!\u2019s Get on the Bus trip to the Boys & Girls Club is Friday from 3-6! Hope to see you there :)	2	positive	1	0	0	0	1	2	-2.76	6.244000000000001	0	0.14844191166048404	1	-0.064453125	positive	0	0	1	-1	-2.017	positive	0	0	4.504	1	0	3
@nater0driguez Lmfao alright u got me there. Good job Parker and the spurs\u002c see y\u2019all jan 9th. If I get an extra ticket to that game ur goin	1	positive	1	0	1	1	1	7	-5.440999999999999	3.9879999999999995	0	1.0302799371856963	1	-0.16369247436523438	positive	0	0	3	-1	-2.234	positive	0	0	2.029	1	0	2
Desperation Day (February 13th)  the most well known day in all mens life.	0	negative	1	1	1	1	0	0	-1.143	1.2699999999999998	0	1.2202684898376464	0	-0.25	neutral	0	0	0	-3	-0.926	negative	0	0	3.7960000000000003	0	0	2
@SunnyClifford We have a similar circumstance in Australia. Jan 25 is Australia Day & many First peoples call it Invasion Day.	0	neutral	0	0	0	0	0	0	-3.5269999999999997	2.778	0	0.19386672973632812	0	-0.3743681935584391	positive	0	1	0	-1	-0.579	neutral	0	1	3.721	0	0	1
paul-and5homos: Harry and Louis are just fri- Eleanor is such an inspira- Harry is such a manwho- Louis is... http://t.co/jxxTNlu6	0	positive	1	0	0	0	0	0	-0.242	2.5680000000000005	0	0.172607421875	0	-0.4375	neutral	2	2	0	-1	-0.518	neutral	0	2	4.01	0	0	3
#web Apple software\u002c retail chiefs out in overhaul: SAN FRANCISCO (Reuters) - Apple Inc CEO Tim Cook on Monday replaced the heads of ...	0	neutral	0	0	0	0	0	0	-3.887	3.487	0	0.095703125	0	-0.18597793579101562	neutral	0	0	0	-1	-2.4429999999999996	neutral	0	0	5.260000000000001	0	0	1
You two may fight like cats and dogs\u002c but you\u2019re completely head over heels for each other. You two are like Allie and Noah in The Notebook.	0	negative	2	0	1	2	0	4	-3.5709999999999997	3.7500000000000004	-1	0.7548827864811756	0	-0.375	neutral	0	1	1	-2	-2.873	positive	0	1	4.5649999999999995	0	1	2
\@PaperChasinAL: Damn next Saturday tho\ Niggas was trynna get shit over with #early	0	negative	0	2	1	0	0	0	-5.362	0.442	-13	0.11334610077028628	0	-0.4482421875	neutral	0	2	0	-2	-3.443	negative	2	2	1.696	0	0	1
and the 4th one is for Harry Styles!! <33333	0	positive	0	0	0	0	0	0	-0.1	2.181	0	0.00439453125	0	-0.0625	neutral	1	1	0	-1	-0.14500000000000002	neutral	0	1	4.574	0	0	2
