content	NCRsurprise	SSPOL	OPW	BLNW	ONW	BLPW	NCRanticipation	APO	NRCHASHNEG	S140LEXPOS	ANE	SWP	NCRjoy	SWN	s140	NCRsadness	NCRnegative	NCRpositive	SSN	S140LEXNEG	label	NCRdisgust	NCRanger	NRCHASHPOS	NCRtrust	NCRfear	SSP	SNpos	SNneg	SNpleas	SNatten	SNsensi	SNapt
Apple software\u002c retail chiefs out in overhaul: SAN FRANCISCO Apple Inc CEO Tim Cook on Monday replaced the heads... http://t.co/X49ZEOsG	0	neutral	0	0	0	0	0	0	-3.6839999999999997	2.664	0	0.03125	0	-0.18597793579101562	neutral	0	0	0	-1	-2.27	neutral	0	0	4.871	0	0	1	0.246	-0.624	-0.912	0.302	-0.132	-0.39
@oluoch @victor_otti @kunjand I just watched it! Sridevi\u2019s comeback.... U remember her from the 90s?? Sun mornings on NTA ;)	1	positive	2	0	0	0	1	0	-3.269	2.3580000000000005	0	0.444091796875	1	-0.09375	positive	0	0	1	-1	-0.9770000000000001	positive	0	0	3.1820000000000004	1	0	2	0.386	0	-0.032	0.674	-0.238	0.752
One of my best 8th graders Kory was excited after his touchdown today!! He did the victor cruz!!lol http://t.co/tqORFrXB	1	positive	2	0	0	2	1	6	-2.434	7.856999999999999	0	0.43798828125	2	0.0	positive	0	0	2	-1	-1.172	positive	0	0	3.9420000000000006	1	0	3	0.538	0	0.209	0.651	-0.332	1.108
#Livewire Nadal confirmed for Mexican Open in February: Rafael Nadal is set to play at the Me... http://t.co/zgUXpcnC #LiveWireAthletics	0	neutral	1	0	0	0	0	0	-1.1099999999999999	1.067	0	0.06323277944534311	0	-0.10154283166803424	neutral	0	0	1	-1	-3.5530000000000004	neutral	0	0	5.958	1	0	1	0.438	0	-0.118	0.708	-0.118	0.841
@MsSheLahY I didnt want to just pop up... but yep we have chapel hill next wednesday you should come.. and shes great ill tell her you asked	1	positive	4	0	1	1	0	4	-4.868000000000001	5.458	-2	0.5425176620483398	0	-1.0219144821166992	neutral	1	2	0	-1	-4.007	positive	1	1	4.786	0	1	3	1.995	-0.879	0.235	2.736	-1.864	2.29
@Alyoup005 @addicted2haley hmmmm  November is an odd release date if true but if it becomes big enough maybe she could sing it at Grammys	0	positive	1	1	1	1	1	3	-3.119	2.989	-2	0.4468874931335449	2	-0.243896484375	positive	1	0	2	-1	-2.262	neutral	0	0	2.711	2	0	2	1.088	-0.034	1.102	1.092	-0.081	1.179
#Iran US delisting MKO from global terrorists list in line with Iran campaign: Tehran\u002c Oct 30\u002c IRNA -- Secretary... http://t.co/9wWvxEbf	0	negative	0	0	0	0	0	0	-4.196999999999999	3.096	0	3.714376362040639E-9	0	-0.125	neutral	0	0	0	-3	-4.442	neutral	0	0	2.482	0	0	1	0.345	0	0.168	0.467	-0.206	0.605
@JackStirling serge is amazing... like hes actually a god the lanky sex god... i saw kasabian and noel together in august. it was amazing.	0	positive	3	1	1	3	3	12	-1.648	7.739	0	1.73291015625	3	-0.09375	positive	0	0	4	-1	-1.092	positive	0	0	11.749	3	2	3	1.923	-0.027	2.513	1.756	-0.457	1.876
@HatersgonnHate_ @HAMlikeHussain @Ramythe3lite Larry Bird is ranked 4th all-time not including Lebron or Kobe just sayin...	0	negative	1	0	0	0	0	0	-4.413	2.574	0	0.422607421875	0	-0.63671875	neutral	0	0	1	-4	-1.586	neutral	0	0	0.484	0	0	1	0.249	-0.073	-0.057	0.505	-0.314	0.394
Good Morning Becky ! Thursday is going to be Fantastic ! @SwedenG @DJ4JG @Grdina @Paverlayer @FSBull @RevkahJC @DicksTrash @borderfox116	1	positive	2	0	0	2	1	7	-0.886	3.8649999999999998	0	0.7084981817752123	1	-0.2734375	positive	0	0	1	-1	-0.44700000000000006	positive	0	0	4.958	1	0	4	1.621	0	1.829	2.043	-0.18	1.171
Expect light-moderate rains over E. Visayas; Cebu\u002c Bohol\u002c Samar & Leyte have 30-70% chance of rains tonight! Expect fair weather tomorrow!:)	3	positive	1	0	0	1	3	4	-1.995	2.2729999999999997	0	0.3349609375	0	-0.512629508972168	neutral	0	0	3	-1	-3.103	neutral	0	0	5.894	2	0	2	0.547	0	0.218	1.14	-0.915	1.199
One ticket left for the @49ers game tomorrow!  Don\u2019t miss the rematch of the NFC Championship game against the NY Giants!  Hit me up!	0	negative	0	1	4	0	1	0	-3.727	2.8399999999999994	-2	0.06396484375	0	-0.5175172537565231	neutral	0	1	0	-2	-4.553999999999999	positive	0	1	3.704	0	0	2	0.34	-0.996	-1.127	0.339	0.749	-0.526
AFC away fans on Saturday. All this stuff about the \u2019she said no\u2019 chant. It\u2019s bollocks. When he has the ball\u002c just turn your back on him.	1	neutral	2	0	0	1	1	0	-4.721	2.5580000000000003	0	0.8309476655122126	1	-0.00146484375	neutral	0	0	1	-1	-3.8209999999999997	negative	0	1	2.234	0	0	1	0.864	0	0.354	1.044	-0.463	1.538
My Saturday night has consisted of me watching The Grey with my puppy while my parents throw a rager #whaa #liamneesonisbosstho	0	negative	0	0	1	0	1	0	-1.259	1.5270000000000001	-1	0.0	0	-0.08937835693359375	neutral	0	0	1	-4	-3.497	negative	0	0	6.253000000000001	1	0	1	1.263	0	1.084	1.391	-0.14	1.452
Why is it so hard to find the @TVGuideMagazine these days? Went to 3 stores for the Castle cover issue. NONE. Will search again tomorrow...	0	neutral	1	2	1	0	1	0	-6.709999999999999	1.74	-1	0.06155422329175053	0	-0.655295193195343	negative	0	0	0	-1	-5.976999999999999	negative	0	0	3.019	1	0	1	0.796	0	-0.309	1.224	-0.354	1.826
Game 1 of the NLCS and a rematch of the NFC Championship game tomorrow. SF\u2019s gonna be cuuuuhraaaaaaaazeeeee	0	positive	0	0	2	0	1	0	-1.4170000000000003	1.278	0	1.220703125E-4	0	-0.31365966796875	neutral	0	0	0	-1	-0.41300000000000003	neutral	0	0	3.3320000000000003	0	0	2	0.198	0	0.0	0.136	-0.057	0.36
James hall LIVE in Indianapolis Dec.8th.. CHRIST CHURCH APOSTOLIC!\u2019 Tixs just $10/adv. $15@door BE THERE..	0	positive	2	0	0	0	1	0	-1.775	2.072	0	0.20622873306274414	1	-0.125	neutral	0	0	1	-1	-1.367	neutral	0	0	4.354	2	0	2	0.671	0	0.092	0.61	-0.236	1.613
@TrevorJavier the heat game may cost alot more...and plus I would rather see Austin Rivers play	0	neutral	0	0	1	0	0	0	-3.623	1.1470000000000002	0	0.5031137465855409	0	-0.078704833984375	neutral	0	0	0	-1	-2.2840000000000003	neutral	0	0	1.355	0	0	1	0.69	0	0.085	0.927	-0.238	1.145
Never start working on your dreams and goals tomorrow......tomorrow never comes....if it means anything to U\u002c ACT NOW! #getafterit	0	positive	1	0	0	0	1	1	-3.067	2.764	0	0.2855224609375	0	-0.8789026737213135	neutral	0	0	1	-1	-2.285	positive	0	0	2.7830000000000004	0	0	2	0.444	-0.059	-0.04	0.612	-0.334	0.996
@TheFFAddict I had Vick and Flacco\u002c needed an upgrade.  Vick may get benched\u002c Jennings a back up again soon. I thought it was a win for me.	0	neutral	2	0	0	1	1	4	-7.311	1.499	0	0.7877845754701411	0	-0.5625	negative	0	0	0	-1	-4.393	positive	0	0	2.153	0	0	1	1.702	0	0.814	1.558	-0.392	2.335
@lisahochstein KEY LARGO\u002c FL!!! Yay just ur neighbor Lisa a sip n a hop away :) always watching #RHOM Thur\u2019s!!	0	positive	1	0	0	1	1	0	-1.119	6.924	0	0.17261123657226562	0	-0.18896484375	positive	0	0	1	-1	-1.5390000000000001	positive	0	0	5.495000000000001	1	0	2	0.51	0	0.26	0.724	-0.31	0.852
Looks like Andy the Android may have had a little too much fun yesterday. http://t.co/7ZDEfzEC	0	positive	2	0	2	2	1	6	-1.2950000000000002	2.278	0	0.45361328125	1	-0.8016996383666992	neutral	0	0	1	-1	-1.143	positive	0	0	0.935	0	0	2	1.505	0	1.276	1.726	-0.566	2.081
@APGPhoto oooh nice .. Tis tempting to go up the lakes with my Nikon ...  Hmmmm I may do that ..	0	positive	2	0	0	2	0	3	-2.18	3.592	0	0.9333496671315515	0	-0.15621566772460938	positive	0	0	0	-1	-1.6099999999999999	positive	0	0	4.316	0	0	2	0.482	0	0.202	0.543	-0.244	0.945
BLACK FRIDAY Huge Saving Aerial View of a City\u002c Paris Las Vegas\u002c the Las Vegas Strip\u002c Las Vegas\u002c... http://t.co/DCTgeSED	0	neutral	0	0	1	0	0	1	-0.394	2.9300000000000006	0	0.06005859375	0	-0.291267454624176	neutral	2	2	0	-1	-0.12	neutral	0	0	5.063000000000001	0	0	1	0.151	0	0.0	0.074	0.022	0.402
YES we all know INDIO vs CV is tomorrow the BELL GAME. Its enough.!!	0	positive	1	0	1	1	1	1	-2.324	2.6069999999999993	0	0.78399658203125	0	-0.156829833984375	positive	0	0	0	-1	-1.186	positive	0	0	2.6030000000000006	0	0	2	0.398	-0.07	-0.041	0.661	-0.333	0.718
@MelmurMel @PBandJenelley_1 @vl_delp_ham_ Jenelle lies\u002c1st she said she was alone &the hosp.now she\u2019s saying how weird it was for Keiffer\u2019s	0	negative	0	2	2	0	0	0	-9.087	0.347	-4	0.0	0	-0.06640625	negative	0	1	0	-3	-2.551	negative	1	0	0.124	0	0	1	0.302	-0.57	-0.846	0.484	-1.216	0.771
@MyBeautyisBrown LMFAO his big ass get on my nerves\u002c you going to class tomorrow?	0	neutral	0	0	0	0	1	5	-2.7520000000000002	1.387	-5	0.21560287567263003	0	-0.21875	neutral	0	1	0	-1	-2.295	negative	0	0	1.722	0	0	1	0.415	-0.026	0.087	-0.138	-0.232	0.759
@tantrak I\u2019m going to Hong Kong during that time and mamA is on Nov 30. I want to see them live	0	neutral	2	0	0	0	1	1	-2.015	0.8390000000000001	0	0.0714026689529419	0	-0.47021484375	neutral	0	0	0	-1	-2.7329999999999997	positive	0	0	2.339	0	0	1	0.355	0	0.137	0.666	-0.492	0.751
Happy 20th Mr. President! Nick J forever off the chain.	0	positive	1	0	0	1	1	3	-0.491	3.662	0	0.453125	1	-0.35400390625	positive	0	0	2	-1	-0.506	positive	0	0	2.8649999999999993	2	0	2	0.583	-0.083	0.853	0.43	-0.34	0.559
Dream High 2 sucks compared to the 1st one.	0	negative	1	1	0	0	0	1	-2.1910000000000003	0.49400000000000005	-3	0.1276235580444336	0	-0.0322265625	neutral	0	0	0	-2	-2.698	negative	0	0	0.987	0	0	1	0.293	0	0.395	0.388	-0.266	0.363
Mohamed Morsi\u002c Egypt\u2019s Muslim Brotherhood president\u002c instructed the Supreme Council of the Armed Forces Thursday... http://t.co/NnBeUvSt	0	positive	1	0	0	1	1	0	-2.521	1.8729999999999998	0	0.40625	0	-0.046875	neutral	0	1	5	-1	-1.727	neutral	0	1	3.484	3	1	3	0.694	0	0.719	1.081	-0.472	0.754
C\u2019mon Avila! You just got tagged out by a guy who looks like the kid Bill Murray was researching in The Royal Tenenbaums! #Tigers	0	positive	3	0	0	1	0	2	-3.143	3.16	0	0.485595703125	0	-0.5297279357910156	neutral	0	0	0	-1	-1.008	neutral	0	0	3.4330000000000007	0	0	2	1.019	0	0.837	1.582	-0.656	1.293
@thehuwdavies you think the Boro will beat Swansea? I\u2019m not so sure\u002c December/January is when we implode	0	neutral	2	1	1	0	0	0	-2.898	2.1910000000000003	0	0.5435180500745773	0	-0.625	neutral	0	0	0	-1	-2.9410000000000003	negative	0	0	0.28500000000000003	0	0	1	0.625	0	-0.118	0.064	-0.182	0.906
At the first Grammy Awards\u002c held on 4 May 1959\u002c Domenico Modugno beat out Frank Sinatra and Peggy Lee for the Record of the Year\u002cwith Volare	0	neutral	1	0	0	1	0	3	-0.23700000000000002	6.467	0	0.5460319966077805	0	-0.002384185791015625	neutral	0	0	1	-1	-0.9849999999999999	neutral	0	0	9.53	1	0	1	0.938	0	0.047	0.237	-0.128	1.449
Happy birthday VOW  (the 3rd anniversary)	1	positive	2	0	0	1	3	3	-0.273	3.4560000000000004	0	0.640625	3	0.0	positive	0	0	3	-1	-0.001	positive	0	0	3.702	2	0	2	1.04	0	1.845	0.317	-0.297	1.257
@JennetteMcHevan I have studied all day but tomorrow I\u2019m going out with friends! :D Omg Jennette did?!!!! I\u2019m gonna look! <3	0	positive	1	0	0	0	1	0	-1.264	5.422	0	0.875457763671875	0	-0.43933773040771484	positive	0	0	0	-1	-2.34	positive	0	0	6.2620000000000005	0	0	2	0.621	0	0.117	0.996	-0.436	1.187
Good morning Thursday. \Life is fragile. We\u2019re not guaranteed a tomorrow so give it everything you\u2019ve got.\ - Tim Cook [Do it for Jobs!]	1	positive	1	1	1	1	2	3	-4.34	6.023	0	0.7083761114627123	1	-1.230861550351392	positive	1	1	1	-1	-2.9219999999999993	positive	0	0	4.181	1	1	2	1.281	-0.068	0.87	1.604	-0.291	1.459
#Twitition Mcfly come back to Argentina but this time we want to come to mar del plata!!! http://t.co/DlXY0LCg	0	positive	2	1	1	0	1	1	-1.241	2.547	0	0.17860221676528454	0	-0.57958984375	neutral	0	1	0	-1	-2.8689999999999998	positive	0	0	5.304000000000001	0	0	2	0.518	0	0.079	1.089	-0.775	1.161
@Astrochologist anything. I wondered how the aspects btwn my sun/moon faired with my rising. I also have Venus in Sag...yea lol Thank u :)	0	positive	1	0	0	1	1	5	-4.13	4.453	0	0.078125	1	-0.18695354461669922	positive	0	0	1	-1	-2.265	positive	0	0	4.79	0	0	2	1.213	0	0.944	0.977	-0.597	2.313
My teachers call themselves givng us candy....wasn\u2019t even the GOOD stuff. I might go to Walmart or CVS tomorrow/	1	positive	3	0	0	1	2	3	-6.049000000000001	2.029	0	0.7504904270317638	1	-0.37491464894173987	neutral	0	0	1	-1	-3.1039999999999996	negative	0	0	1.7810000000000001	1	0	2	1.086	-0.262	0.499	1.072	-0.176	0.738
#Broncos Peyton Manning named AFC Offensive Player of the month. It\u2019s his 5th such honor\u002c second to Tom Brady\u2019s 6\u002c tied w/ TD.	0	negative	0	1	1	0	0	0	-3.0229999999999997	2.5459999999999994	0	0.53118896484375	0	-0.2899375	neutral	0	2	0	-3	-3.526	neutral	1	1	4.237	0	0	1	0.064	-0.651	0.023	0.162	0.815	-0.826
@TooZany is bringing out Kendrick Lamar the 6th of December!?! Get your tickets now!	0	positive	0	0	0	0	0	0	-0.651	3.9669999999999996	0	0.013736725770286284	0	-0.006290435791015625	positive	0	0	0	-1	-0.957	neutral	0	0	3.537000000000001	0	0	2	0.489	0	0.12	-0.285	-0.107	0.832
@jackseymour11 I may have an Android phone by the time I get back to school! :)	0	positive	1	0	0	0	1	0	-0.9199999999999999	1.419	0	0.31720352078264114	0	-0.7182035446166992	neutral	0	0	0	-1	-2.899	positive	0	0	1.092	1	0	2	0.515	0	0.119	-0.095	-0.253	1.022
Andre\u2019s Wigan Warning - #COYS Official Site Wigan might currently occupy 15th place in the Premier League\u002c... http://t.co/3mo7WIWd	0	neutral	2	1	1	1	0	0	-3.2019999999999995	2.1350000000000002	-3	0.22967243171297014	0	-0.265625	neutral	0	0	2	-1	-2.098	neutral	0	0	1.83	1	1	1	0.534	-0.11	-0.252	1.204	-0.455	0.789
@Genesis8907 Tryst tonight! Best industry/local/Thursday party in Las Vegas!	0	positive	1	0	0	1	0	3	0.0	2.6599999999999997	0	0.19921875	0	0.0	positive	0	0	0	-1	-0.117	positive	0	0	4.272	0	0	2	0.784	0	0.852	1.191	-0.124	0.432
What If it rained? We didn\u2019t care.. She said that someday soon the sun was gonna shine.. And she was right.. This love of mine My Valentine	1	positive	4	0	0	3	1	5	-4.219	4.208	0	0.610595703125	2	-0.20928126203580177	neutral	0	0	3	-1	-3.8999999999999995	positive	0	0	6.977000000000001	1	0	3	0.676	0	0.491	0.618	-0.313	1.231
@CalebMac93 @strokemyego17 royal rumble tomorrow night\u002c my house. assemble the crew were gettin real this time haahaha	0	positive	1	0	0	0	2	0	-1.46	1.3649999999999998	0	0.0184326171875	0	-0.1748046875	neutral	0	0	1	-1	-1.8579999999999999	positive	0	0	4.447	2	0	2	0.377	0	0.199	0.447	-0.232	0.717
@juice005 strange enough\u002c I\u2019m going to see Noel Gallagher in concert tomorrow  night. #alldayb1tch	0	neutral	0	1	1	0	1	0	-0.176	2.26	-1	0.001526474952697754	0	-0.2529296875	positive	0	0	0	-1	-0.43300000000000005	neutral	0	0	3.8680000000000003	0	0	1	0.107	0	0.118	0.111	-0.075	0.167
When my professor passes out candy and says \a very small amount of that may be from Valentines day\u002c just so you know\	0	neutral	1	0	0	0	0	0	-2.847	3.197	0	0.48797607421875	0	-0.06991958618164062	neutral	0	1	1	-1	-2.5220000000000002	neutral	0	0	2.5970000000000004	1	0	1	0.873	-0.041	0.106	1.212	-0.262	1.518
How are they going to act in new york with the subways out? They better clutch it out like Eli Manning 4th quarter	0	positive	2	0	0	2	0	4	-4.255	2.2649999999999997	0	1.0415802001953125	0	-0.19226837158203125	neutral	0	0	0	-1	-2.829	neutral	0	0	5.233999999999999	0	0	2	0.969	-0.064	0.519	1.356	-1.011	1.97
Homegrown talent missing on Signing Day: Throughout most of the day on Wednesday\u002c the video scoreboard ... http://t.co/6dZ2hQkD #Raleigh	0	negative	1	0	0	1	0	0	-0.754	4.85	-2	0.251953125	0	-0.5625	neutral	1	1	1	-2	-1.9489999999999998	negative	0	0	4.501	0	1	2	0.346	0	0.097	0.455	-0.109	0.595
taylor swift is coming with ed sheeran june 29th? most perf news i\u2019ve heard all night.	0	neutral	1	0	0	1	1	2	-0.391	2.5839999999999996	0	0.65625	0	-0.5029296875	neutral	0	0	1	-1	-1.529	positive	0	0	7.743	0	0	1	0.394	0	0.116	0.598	-0.164	0.633
The great Noel Gallagher is about to hit the stage in St. Paul. Plenty of room here so we\u2019re 4th row center. Plenty of room. Pretty fired up	0	negative	4	0	0	2	1	4	-2.186	6.386	-2	0.457977294921875	1	-0.5585939139127731	positive	0	2	2	-3	-2.2270000000000003	positive	0	2	5.853000000000001	2	0	3	2.235	-0.053	1.823	1.978	-0.257	2.311
I\u2019d love to go for a pint with Jim White off SSN\u002c think he may have a bit about him	0	positive	2	0	0	1	1	3	-2.1220000000000003	3.3270000000000004	0	0.36242681556905154	2	-0.6387453675270081	neutral	0	0	2	-1	-1.4979999999999998	positive	0	0	3.9130000000000003	1	0	3	1.163	-0.1	0.613	1.315	-0.514	1.92
@lala_cox There are going to be plenty of ups & downs for Boro\u002cCardiff\u002cLeicester etc until May.I hope we are still in with a shout for promo	2	positive	2	0	0	0	1	2	-2.5949999999999998	5.535000000000001	0	0.0894775390625	1	-0.4077739715576172	positive	0	0	1	-1	-1.9880000000000002	neutral	0	1	3.1079999999999997	1	0	3	1.355	0	0.741	2.342	-0.498	1.477
@joeeewilliams that sucks\u002c amazon might have some left .. hate that i won\u2019t have it until 11am on Tuesday though	0	negative	1	2	1	0	0	0	-4.5329999999999995	0.7170000000000001	-6	0.2578125	0	-0.9058895111083984	negative	1	1	0	-4	-6.674	negative	1	1	2.33	0	1	3	0.222	-0.871	-0.723	0.432	0.53	-0.448
Happy Sunday last off Sadat before back to work enjoy it tweeps now to do yard work for a couple hours then some fun	0	positive	4	0	0	5	3	9	-1.077	5.5840000000000005	0	1.2056572870351374	3	-1.0068016052246094	positive	0	0	3	-1	-3.561	positive	0	0	7.07	2	0	3	2.51	0	2.815	2.913	-0.604	2.406
Playing as the Browns HC K. Fri in #Madden13\u002c XFacalac lost to the Ravens 21-28 on All-Madden #ConnectedCareers	0	positive	0	1	1	0	0	0	-0.44399999999999995	1.371	-3	0.03125	0	-0.145263671875	negative	1	1	0	-1	-2.217	neutral	0	0	1.8819999999999997	0	0	2	0.181	0	0.395	0.157	-0.149	0.14
#CFC @juanmata10 is the best of the Premier League! His overall EA Sports Player Performance Index score: 217. (1st place) #MataMagic	1	positive	2	0	0	2	1	3	-3.3009999999999997	2.889	0	0.27752399421297014	1	-0.06733417510986328	neutral	0	1	3	-1	-1.887	positive	0	0	2.979	0	0	2	0.392	0	0.26	0.506	-0.281	0.689
@rosanne_89 Nooooooooo rosanne! They\u2019ve just restocked them and me going overseas Sunday means I can\u2019t afford them :\u2019(	0	positive	2	0	0	1	0	0	-6.577	0.8180000000000001	0	0.172607421875	0	-0.21875	negative	0	0	1	-1	-5.031000000000001	negative	0	0	2.025	0	0	2	1.325	0	0.993	1.699	-0.279	1.56
The pain is far deeper than a Billy cundiff missed field goal. Gotta wake up and forget about it tomorrow. #Orioles #stayhungry	0	negative	0	2	2	0	1	0	-1.2720000000000002	2.415	-5	0.22900390625	0	-1.17578125	negative	1	2	0	-4	-5.601999999999999	neutral	0	0	5.759	0	1	1	0.513	-0.845	-1.757	0.709	-0.867	1.082
@grandvincenzo on November 16 be ready to head to the movies. Breaking Dawn: Part 2. (;	1	neutral	2	1	0	2	2	0	-0.5579999999999999	1.373	0	0.06652829429367557	1	0.0	neutral	0	0	1	-1	-1.868	positive	0	0	3.286	1	0	1	0.3	0	0.395	0.237	-0.156	0.466
after seeing @Iam_FaithReid\u2019s tweet about watching The Vow\u002c I think I may need to watch it.	0	positive	0	0	0	0	1	0	-2.633	1.8279999999999998	0	0.2974853515625	0	-0.240234375	positive	0	0	0	-1	-1.628	neutral	0	0	1.093	0	1	2	0.478	-0.033	-0.067	0.882	-0.528	1.006
Tomorrow shall consist of watching Will Ferrell films with my fave people and Chinese food\u002c sweet.	1	positive	2	0	0	2	2	2	-0.984	5.9879999999999995	0	0.20186996459960938	1	-0.03125	positive	0	0	1	-1	-0.6579999999999999	positive	0	0	8.84	1	0	2	0.533	0	0.139	0.83	-0.419	1.046
Yeah.. You know just sitting around by myself listening to Avril Lavigne\u002c typical Friday night.	0	neutral	1	0	0	0	0	1	-1.9020000000000001	3.443	0	0.45709228515625	0	-0.2763671875	positive	0	0	0	-1	-0.864	neutral	0	0	3.93	0	0	1	0.449	-0.07	0.016	0.727	-0.224	0.616
@Cardschatter @azcardinalsftw D\u002c you\u2019re the closest source btwn fans & team. BTW heard cards may sign Billy Cundiff. Any truth?! #snarklife	0	positive	1	0	0	1	0	0	-3.92	4.739	0	0.3206789493560791	0	-0.0625	neutral	0	0	1	-1	-1.415	neutral	0	0	1.7289999999999999	2	0	3	0.339	0	0.064	0.542	-0.199	0.613
@jbmclendon And the same station that will air new episodes of COUGAR TOWN in January! @tbsveryfunny has been good to us\u002c Jordan. #PennyCan	1	positive	2	0	0	1	1	3	-2.293	2.895	0	0.7880880255252123	1	-0.06640625	positive	0	0	1	-1	-2.8249999999999997	positive	0	0	3.6990000000000007	1	0	2	1.601	0	0.97	0.5	-0.238	1.614
Alex Poythress had 11 points and 7 rebounds in his debut with Kentucky during an exhibition game on Thursday. He played 28 minutes.	0	neutral	0	0	1	0	0	0	-3.574	2.907	0	0.03125	0	-0.125579833984375	neutral	0	0	0	-1	-1.8680000000000003	neutral	0	0	5.97	0	0	1	0.511	-0.065	0.166	0.257	-0.344	0.695
I think I may have a heart attack for Jason Wu\u2019s new collection. So Charlotte Rampling in the Night  http://t.co/2KRW4kTn	0	negative	1	1	1	0	0	0	-1.2659999999999998	2.289	-1	0.113525390625	0	-0.5054349899291992	positive	0	1	0	-3	-2.3210000000000006	positive	0	1	3.6360000000000006	0	1	1	0.646	-0.814	-0.726	0.997	-1.122	0.349
If I can get my equipment working correctly we will have a live show on Friday at 6 pm CST with contactee Ray... http://t.co/9LVKwcYJ	0	neutral	3	0	0	1	0	0	-1.391	2.563	0	0.46032571884279605	0	-0.21820354461669922	neutral	0	0	1	-1	-2.5969999999999995	neutral	0	0	3.3779999999999992	1	0	1	0.678	-0.069	0.043	0.295	-0.638	1.298
