content	timeStamp	tweetId	userId	topic	swn3_negative_words	sentiStrength_pos	afinn_positive_words	afinn_positiveness	swn3_neutral_words	afinn_negative_words	afinn_negativeness	label	lex_positive_words	swn3_negativeness	swn3_positive_words	swn3_positiveness	lex_negative_words	supervised_polarity	sentiStrength_neg	emo_joy	emo_anticipation	emo_fear	emo_trust	emo_sadness	emo_anger	emo_surprise	emo_disgust	sentiStrength_neu
@apple needs to hurry up and release #iTunesMatch	2011-10-18 21:33:28	126410591949697000	noUser	apple	1	1	0	0	0	0	0	negative	0	-0.0234375	3	0.3974032402	0	neutral	-1	0	1	0	0	0	0	0	0	neutral
@Apple how fun wouldn't it be if it was possible to integrate  ( soon to be named ) with notifications?	2011-10-18 21:31:42	126410146703352000	noUser	apple	2	2	1	4	3	0	0	neutral	1	-0.328125	3	0.4064941406	0	positive	-1	1	1	0	0	0	0	0	0	positive
Interesting read on war b/w @Apple &amp; @Samsung- http://t.co/Vt9d24Yi -using latter, agree lack of innovation, but better specs at same price!	2011-10-18 21:31:03	126409984836764000	noUser	apple	2	2	4	6	4	2	-4	neutral	4	-0.01953125	8	1.3171081543	2	neutral	-3	0	0	1	0	0	0	0	0	negative
Why is  #Siri always down @apple	2011-10-18 21:29:54	126409696553861000	noUser	apple	1	1	0	0	1	0	0	negative	0	-0.0625	1	0.0436720997	1	negative	-1	0	0	0	0	0	0	0	0	neutral
I just need to exchange a cord at the apple store why do I have to wait for a genius? @apple	2011-10-18 21:26:36	126408864387183000	noUser	apple	10	1	0	0	4	0	0	negative	2	-0.6986379623	2	0.5476074219	0	negative	-1	0	2	0	1	0	0	0	0	neutral
@apple AirDrop #fail - Immediate &quot;declined your request.&quot; every time	2011-10-18 21:23:22	126408052525105000	noUser	apple	1	1	0	0	2	1	-2	negative	0	-0.3321533203	2	0.0686035156	1	neutral	-2	0	1	0	0	0	0	0	0	negative
RT @adamnash: The takeaway from the @Apple earnings call?  Even Apple needs a new iPhone release every 12 months to stay competitive. cc: @hblodget	2011-10-18 21:23:00	126407959495442000	noUser	apple	2	1	1	2	5	0	0	neutral	2	-0.2499146489	7	0.5934329033	0	neutral	-1	0	0	0	0	0	0	0	0	neutral
good article about why @apple fucked it all up with lion and their future. http://t.co/zNDP9Vr6 #fb	2011-10-18 21:22:14	126407767132078000	noUser	apple	0	2	1	3	4	1	-4	negative	1	0	5	1.111696424	0	neutral	-3	1	1	1	1	0	0	1	0	negative
The takeaway from the @Apple earnings call?  Even Apple needs a new iPhone release every 12 months to stay competitive. cc: @hblodget	2011-10-18 21:21:52	126407672521163000	noUser	apple	2	1	1	2	5	0	0	neutral	2	-0.2499146489	7	0.5934329033	0	neutral	-1	0	0	0	0	0	0	0	0	neutral
Today's headline: @apple reports lower 4Q earnings. Headline in 3 months: @Apple reports record Q1 earnings.	2011-10-18 21:21:13	126407511531192000	noUser	apple	1	1	0	0	4	0	0	neutral	0	-0.01953125	4	0.3282165527	0	neutral	-2	0	0	0	0	1	0	0	0	negative
Win an @Apple iPod Touch from @Mommy_gaga, get the @Pampers Hello World Baby Memories App! http://t.co/XVcch6Os #PampersHelloApps&quot;	2011-10-18 21:14:52	126405911697818000	noUser	apple	3	2	1	4	2	0	0	neutral	0	-0.2124023438	3	0.1826362358	0	positive	-1	1	0	0	0	0	0	0	0	positive
@apple expanded the app store to more than 20 new countries in the december quarter	2011-10-18 21:14:31	126405821482533000	noUser	apple	0	1	0	0	6	0	0	neutral	0	0	2	0.0760345459	0	neutral	-1	0	1	0	0	0	0	0	0	neutral
RT @radlerc: Yellowgate? Some iPhone 4S Users Complain of Yellow Tint to Screen http://t.co/uaqrxTNk @apple @iphone4s	2011-10-18 21:12:51	126405405667627000	noUser	apple	2	1	0	0	1	1	-2	negative	0	-0.357421875	2	0.376953125	1	positive	-2	0	0	0	0	1	1	0	0	negative
Yellowgate? Some iPhone 4S Users Complain of Yellow Tint to Screen http://t.co/uaqrxTNk @apple @iphone4s	2011-10-18 21:11:59	126405185630253000	noUser	apple	2	1	0	0	1	1	-2	negative	0	-0.357421875	2	0.376953125	1	positive	-2	0	0	0	0	1	1	0	0	negative
@Apple will be rolling out iPhone 4S to more than 20 more countries by the end of the month.	2011-10-18 21:11:53	126405160934179000	noUser	apple	3	1	0	0	5	0	0	neutral	1	-0.2680091858	2	0.0040283203	0	neutral	-1	0	0	0	0	0	0	0	0	neutral
The one #iphone feature still missing since @apple first showed it.. Contacts pictures on the contacts list! Simple yet 5 major updates miss	2011-10-18 21:11:24	126405040809312000	noUser	apple	4	2	0	0	3	2	-4	negative	1	-0.9077739716	6	0.2635383606	1	negative	-2	0	0	1	0	1	0	0	0	negative
@Apple will be adding more carrier support to the iPhone 4S (just announced)	2011-10-18 21:09:33	126404574230741000	noUser	apple	0	2	1	2	3	0	0	positive	3	0	4	0.3402099609	0	neutral	-1	0	0	0	0	0	0	0	0	positive
Is it JUST a coincidence that @Apple named their virtual assistant after Tom and Katie's robot daughter?	2011-10-18 21:05:24	126403530838913000	noUser	apple	1	1	0	0	6	0	0	neutral	1	-0.0625	3	0.3288574219	0	neutral	-1	1	0	0	0	0	0	1	0	neutral
Hilarious @youtube video - guy does a duet with @apple 's Siri. Pretty much sums up the love affair! http://t.co/8ExbnQjY	2011-10-18 21:02:20	126402758403305000	noUser	apple	4	3	3	6	2	0	0	positive	3	-0.421875	4	0.7731933594	0	positive	-1	3	1	0	1	0	0	1	0	positive
Good or Bad results for @Apple ? Depends on who you ask apparently http://t.co/yDH8ffxE	2011-10-18 20:58:51	126401882766840000	noUser	apple	1	2	1	3	2	1	-3	neutral	1	-0.2861785889	4	1.1790792365	1	neutral	-2	1	1	1	1	1	1	1	1	negative
Asked siri is she dreams of electric sleep. Was disappointed that she didn't have a snippy answer.  Missed opportunity @apple	2011-10-18 20:53:55	126400637930979000	noUser	apple	7	1	2	3	0	2	-4	negative	2	-1.3659086227	1	0.5	1	negative	-2	1	1	0	0	1	1	1	1	negative
Interesting times when increasing your revenue from $20B to $28B in a recession is considered a disappointment. @apple	2011-10-18 20:53:20	126400491067417000	noUser	apple	3	2	1	2	4	2	-4	neutral	1	-0.5	3	0.75	2	neutral	-2	0	0	1	0	2	1	0	2	negative
@RIM you made it too easy for me to switch to @Apple iPhone. See ya!	2011-10-18 20:40:10	126397179614069000	noUser	apple	1	2	1	1	3	0	0	positive	1	-0.0625	3	0.2368322611	1	positive	-1	0	0	0	0	0	0	0	0	positive
I just realized that the reason I got into twitter was ios5 thanks @apple	2011-10-18 20:34:00	126395626979197000	noUser	apple	2	2	1	2	2	0	0	positive	2	-0.0625	3	0.3527832031	0	neutral	-1	0	0	0	0	0	0	0	0	positive
I'm a current @Blackberry user, little bit disappointed with it! Should I move to @Android or @Apple @iphone	2011-10-18 20:30:50	126394830791254000	noUser	apple	6	2	0	0	4	1	-2	positive	0	-1.0092773438	1	0.004149437	2	neutral	-2	0	0	0	0	1	1	0	1	negative
People are waiting in line @apple for phones at 1:30 on a Tuesday! Don't you people have Jobs(no pun intended?)???	2011-10-18 20:30:42	126394795802370000	noUser	apple	4	2	0	0	8	0	0	neutral	0	-0.4369192123	3	0.1562500037	0	negative	-1	0	1	0	0	0	0	0	0	positive
@paulens It surprises me that @Apple throws up an error alert about authorizing, and there's no &quot;Authorize this computer&quot; button.	2011-10-18 20:30:14	126394680903614000	noUser	apple	3	1	0	0	4	3	-4	negative	0	-0.341796875	3	0.0693359375	1	negative	-1	0	0	0	0	1	0	0	0	neutral
@Lisa_Marie1987 shhhh. the evil sith lords @apple may hear you ha!	2011-10-18 20:26:25	126393717421646000	noUser	apple	1	3	1	2	3	1	-3	negative	0	-0.3046875	0	0	1	positive	-3	0	0	1	0	1	1	0	1	negative
@Apple Would much rather get outta this having a ( see pic ) and have fun with this &quot; Have your friends choose music&quot; http://t.co/7IiHbr4J	2011-10-18 20:25:21	126393452324856000	noUser	apple	5	2	1	4	2	0	0	neutral	2	-0.5301570892	3	0.2887007007	0	positive	-1	1	1	0	0	0	0	0	0	positive
FUCK YOU @apple DIE IN A FUCKING BLAZE INFERNO.	2011-10-18 20:24:22	126393204550537000	noUser	apple	3	1	0	0	2	3	-11	negative	0	-0.6490478516	2	0.0620117188	0	neutral	-3	0	0	2	0	1	2	0	0	negative
Oh, @apple. Steve obviously had nothing to do with iPhoto, as it's the perfect opposite of 'insanely great'. Get it fixed, please.	2011-10-18 20:21:11	126392402083709000	noUser	apple	4	3	3	7	4	0	0	negative	3	-0.5390281677	5	0.8223304758	1	neutral	-1	1	1	0	2	0	0	0	0	positive
OMG @apple WHY THE FUCK DID YOU DELETE ALL MY MUSIC YOU DICKS	2011-10-18 20:15:56	126391082308207000	noUser	apple	1	2	0	0	2	1	-4	negative	0	-0.0625	2	0.453125	0	negative	-3	1	0	0	0	1	0	0	0	negative
RT @CRMStrategies: Great Tech War of 2012 http://t.co/64jGRoBp @FastCompany profiles @Amazon @Apple @Google @Facebook on @CNBC /ht @philsimon	2011-10-18 20:09:18	126389413054910000	noUser	apple	1	3	1	3	1	1	-2	neutral	1	-0.015625	2	0.09765625	1	positive	-3	0	0	1	0	0	0	0	0	negative
@ryanbaldwin @apple So in iTunes I go Store -&gt; Authoriseâ€¦ why doesn't it just auto-authorise it when I sign into iTunes? Grrrr...	2011-10-18 20:08:32	126389218284016000	noUser	apple	2	2	0	0	6	0	0	negative	1	-0.0625	3	0.1737063509	0	negative	-1	0	1	0	0	0	0	0	0	positive
Seriously - I have absolutely no offing clue what @Apple means by &quot;authorization&quot;, nor how to do it.	2011-10-18 20:04:28	126388194194362000	noUser	apple	5	1	0	0	5	1	-1	negative	0	-0.6791067123	1	0.5	1	neutral	-1	0	1	0	0	0	0	0	0	neutral
Boy, could @apple make it any harder to put my purchased music from the cloud on to my new macbook pro? &quot;You must authorize this computerâ€¦&quot;	2011-10-18 20:03:47	126388023725269000	noUser	apple	1	1	0	0	4	0	0	negative	1	-0.0582275391	7	0.6773681939	1	positive	-1	1	0	0	1	1	0	0	1	neutral
@apple gonna see if anyone stayed logged into their fb or twitter #TroubleMaker	2011-10-18 20:01:33	126387460463788000	noUser	apple	1	1	0	0	2	0	0	neutral	0	-0.5	1	0.001526475	1	neutral	-1	0	0	0	0	0	0	0	0	neutral
@leg3nd @apple the new iPhone?	2011-10-18 19:56:05	126386085164102000	noUser	apple	0	1	0	0	0	0	0	neutral	0	0	1	0.0758056641	0	neutral	-1	0	0	0	0	0	0	0	0	neutral
shit, shit, shit. IOS5 update ate all my apps, data and media just like @apple said it would. This is going to take some time to rebuild.	2011-10-18 19:51:55	126385036441297000	noUser	apple	4	1	1	2	6	3	-12	negative	2	-0.6884765625	6	1.0078134537	0	negative	-2	0	1	0	0	0	3	0	3	negative
If you've been struggling to get hold of me, I'm back online with a new iPhone - thanks @apple	2011-10-18 19:49:53	126384526925640000	noUser	apple	3	2	1	2	3	1	-2	neutral	1	-0.34375	4	0.474065898	0	positive	-2	0	0	0	0	0	0	0	0	negative
Hey @Apple, pretty much all your products are amazing. You blow minds every time you launch a new gizmo. That said, your hold music is crap.	2011-10-18 19:44:19	126383125059211000	noUser	apple	4	3	2	5	4	1	-3	neutral	2	-0.4214324765	8	1.5831319085	1	positive	-3	2	3	0	1	1	0	0	1	negative
. @apple &amp; @AT&amp;T u cannot tell me there isn't at least 1 64GB iPhone 4S in LA or Vegas!! Give me a fucking break!!!!	2011-10-18 19:43:40	126382959711359000	noUser	apple	4	2	0	0	9	1	-4	negative	0	-0.2116316621	2	0.2802734375	2	negative	-1	0	0	0	0	0	0	1	0	positive
Amazing story of @dropbox and @apple http://t.co/r4oDCwvY	2011-10-18 19:42:56	126382776072147000	noUser	apple	1	3	1	4	0	0	0	neutral	1	-0.09375	1	0.5	0	positive	-1	0	0	0	0	0	0	0	0	positive
Love @apple downloads. 4 hours and i-pad now wonky! #ripstevejobs #thenonsensepersists #neednewipadguide #fatfuckingchance	2011-10-18 19:40:03	126382051661328000	noUser	apple	2	3	1	3	1	0	0	negative	1	-0.25390625	2	0.6022949219	0	neutral	-1	1	0	0	0	0	0	0	0	positive
Great Tech War of 2012 http://t.co/64jGRoBp @FastCompany profiles @Amazon @Apple @Google @Facebook on @CNBC /ht @philsimon	2011-10-18 19:38:11	126381578975842000	noUser	apple	1	3	1	3	1	1	-2	neutral	1	-0.015625	2	0.09765625	1	positive	-3	0	0	1	0	0	0	0	0	negative
Dear @apple My new Air is now a notbook since your update killed #wifi #bug #destroying #productivity	2011-10-18 19:37:56	126381519513195000	noUser	apple	4	2	1	2	2	2	-6	negative	1	-0.15625	3	0.5054931641	1	neutral	-4	0	0	2	0	1	1	0	1	negative
I am so done with @Att and @apple 's profitering and lack of customer service, so fucking down with both!!!	2011-10-18 19:34:15	126380588822299000	noUser	apple	3	3	0	0	5	2	-6	negative	0	-0.125	3	0.1374220997	2	neutral	-1	0	0	0	0	0	0	0	0	positive
It would be great If @Apple would send my new phone. #frustrated	2011-10-18 19:34:06	126380553464316000	noUser	apple	2	3	1	3	1	1	-2	negative	1	-0.65625	4	0.2673339844	1	neutral	-3	0	0	0	0	0	1	0	0	negative
@Jake_Gyllenhaal So you've made up with @Apple?	2011-10-18 19:33:11	126380323733910000	noUser	apple	0	1	0	0	1	0	0	neutral	0	0	2	0.1787109375	0	positive	-1	0	0	0	0	0	0	0	0	neutral
@Apple has a pic of Steve Jobs on their home page. #Honor	2011-10-18 19:30:50	126379730827084000	noUser	apple	1	1	1	2	2	0	0	neutral	1	-0.0625	3	0.3515625	0	neutral	-1	0	0	0	1	0	0	0	0	neutral
The 16 strangest things Siri has said so far. I am SOOO glad that @Apple gave Siri a sense of humor! http://t.co/TWAeUDBp via @HappyPlace	2011-10-18 19:30:39	126379685453119000	noUser	apple	4	4	2	5	4	0	0	positive	3	-0.158203125	3	0.4291992188	1	positive	-1	1	1	0	0	0	0	0	0	positive
Great up close &amp; personal event @Apple tonight in Regent St store!	2011-10-18 19:22:35	126377656416612000	noUser	apple	1	3	1	3	4	0	0	positive	1	-0.125	4	0.3083510182	1	neutral	-1	0	1	0	2	0	0	0	0	positive
@apple thank you for ruining my 3GS with #iOS5. You've just turned my phone into an utterly useless pile of shit.	2011-10-18 19:21:10	126377298650862000	noUser	apple	5	2	1	2	3	3	-8	negative	2	-1.0732421875	2	0.6726074219	2	neutral	-3	0	0	0	0	0	1	0	1	negative
@Apple to shut stores!!! C'mon, Only Wednesday for @SteveJobs memorial.	2011-10-18 19:20:28	126377120023843000	noUser	apple	2	2	0	0	2	0	0	neutral	0	-0.03125	1	0.1875	0	neutral	-1	0	0	0	0	0	0	0	0	positive
@Motorola is the Best Android-powered company that is going against @Apple.	2011-10-18 19:12:08	126375024595706000	noUser	apple	1	2	1	3	1	0	0	neutral	1	-0.1875	1	0.13671875	1	positive	-1	0	0	0	0	0	0	0	0	positive
@apple #readyfor5.0.1 http://t.co/M2FqakYr	2011-10-18 19:10:35	126374630377275000	noUser	apple	0	1	0	0	0	0	0	neutral	0	0	0	0	0	neutral	-1	0	0	0	0	0	0	0	0	neutral
From which companies do you experience the best customer service aside from @zappos and @apple?	2011-10-18 19:07:11	126373779483005000	noUser	apple	4	2	1	3	1	0	0	positive	1	-0.2421531677	1	0.13671875	0	neutral	-1	0	0	0	0	0	0	0	0	positive
So apparently @apple put MB cap on your SMS with the new update. 25mb storage before it tells you your inbox is full. What is this 2001?	2011-10-18 19:02:52	126372694118769000	noUser	apple	1	1	0	0	6	0	0	negative	0	-0.009765625	5	0.5640869141	0	neutral	-1	0	1	0	1	0	0	0	0	neutral
You know @apple It's been almost a week since I paid for iTunes Match, I would really like to use it. Any ETA on a fix?	2011-10-18 19:00:17	126372040696541000	noUser	apple	5	3	1	2	6	0	0	negative	1	-0.188659668	7	1.3277301788	0	neutral	-1	0	0	0	0	0	0	0	0	positive
This is what I have been waiting for RT @Apple The last big project Steve Jobs was working on was the new cranial insertion device: iMplant.	2011-10-18 18:55:15	126370776013214000	noUser	apple	3	1	1	1	3	0	0	neutral	0	-0.1635160446	7	0.4060579538	0	neutral	-1	0	0	0	0	0	0	0	0	neutral
Apple Users Get The official Kalifornia Cavi App on your Apple Device now on  - powered by @Apple - Download it free http://t.co/HlGnvlRw	2011-10-18 18:46:55	126368680459252000	noUser	apple	3	1	1	1	5	0	0	neutral	1	-0.26171875	5	0.1316332826	0	neutral	-1	0	0	0	1	0	0	0	0	neutral
The official Kalifornia Cavi Mobil App is now available on the app store - powered by @Apple - Download it free http://t.co/HlGnvlRw	2011-10-18 18:45:21	126368285259350000	noUser	apple	2	1	1	1	4	0	0	neutral	1	-0.25390625	4	0.1803965569	0	neutral	-1	0	1	0	1	0	0	0	0	neutral
#Win an @Apple iPod Touch from @Mommy_gaga, get the @Pampers Hello World Baby Memories App! http://t.co/I6woujUh #PampersHelloApps	2011-10-18 18:44:44	126368127524160000	noUser	apple	3	2	1	4	2	0	0	neutral	0	-0.2124023438	3	0.1826362358	0	positive	-1	1	0	0	0	0	0	0	0	positive
Just apply for a job at @Apple, hope they call me lol	2011-10-18 18:37:41	126366353757180000	noUser	apple	3	3	2	5	2	0	0	positive	2	-0.2567772893	3	0.3674316406	0	neutral	-1	1	1	0	1	0	0	1	0	positive
RT @JamaicanIdler: Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to hide a body lolol	2011-10-18 18:36:46	126366123368268000	noUser	apple	7	3	2	7	1	1	-1	positive	1	-0.456530571	2	0.0386962891	1	neutral	-3	1	1	2	0	1	1	1	1	negative
Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to hide a body lolol	2011-10-18 18:35:43	126365858481189000	noUser	apple	7	3	2	7	1	1	-1	positive	1	-0.456530571	2	0.0386962891	1	neutral	-3	1	1	2	0	1	1	1	1	negative
@Apple #RIPSteve RT @davepeck: Steve Jobs and the Seven Rules of Success http://t.co/4nLRLdWy	2011-10-18 18:29:05	126364189097865000	noUser	apple	0	3	1	2	1	0	0	neutral	1	0	1	0.328125	0	neutral	-1	1	1	0	0	0	0	0	0	positive
removing all @apple shit.	2011-10-18 18:24:58	126363154837021000	noUser	apple	1	1	0	0	0	1	-4	negative	0	-0.1669921875	1	0.34375	0	neutral	-2	0	0	0	0	0	1	0	1	negative
macbreak weekly @TWiT via @apple airplay in full HD on the 42&quot;. finally! @leolaporte @Ihnatko @alexlindsay	2011-10-18 18:23:50	126362867778859000	noUser	apple	1	2	0	0	2	0	0	neutral	0	-0.1875	2	0.03515625	0	positive	-1	1	1	0	1	0	0	1	1	positive
So @PhoenixSwinger 's iPhone 4 is giving her a hella hard time w/ the iOS5 update @apple	2011-10-18 18:18:19	126361483432038000	noUser	apple	2	1	0	0	3	1	-1	negative	0	-0.3081396222	2	0.0686035156	1	neutral	-1	0	1	0	0	0	0	0	0	neutral
RT @PhillipRowntree: Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!	2011-10-18 18:16:09	126360935509135000	noUser	apple	5	3	3	6	6	0	0	positive	2	-0.3575706482	4	0.7351074219	0	positive	-1	0	0	0	0	0	0	0	0	positive
Stay young, stay foolish. But take ownership when u f*ck up, don't complain, and never give up. #resilience @apple	2011-10-18 18:15:42	126360821419885000	noUser	apple	4	1	0	0	4	2	-4	neutral	0	-0.7660178004	7	0.5166788101	2	neutral	-2	1	1	0	0	1	1	1	0	negative
Wow. Great deals on refurbed #iPad (first gen) models. RT: Apple offers great deals on refurbished 1st-gen iPads http://t.co/ukWOKBGd @Apple	2011-10-18 18:14:01	126360398885687000	noUser	apple	0	4	3	10	2	0	0	positive	3	0	6	0.3247261047	0	neutral	-1	0	0	0	0	0	0	0	0	positive
Dear @motorola, I smell a lawsuit coming your way. cc: @apple #motoactv	2011-10-18 18:13:09	126360182308618000	noUser	apple	3	2	1	2	2	1	-2	neutral	1	-0.203125	3	0.4384765625	0	neutral	-1	0	1	1	0	1	2	1	2	positive
What??? I that sucks hello @apple RT @PhoneDog_Aaron Interesting note - DROID RAZR's battery isn't removable.	2011-10-18 18:07:35	126358781633368000	noUser	apple	2	2	1	2	1	1	-3	negative	1	-0.03515625	3	0.8393859863	0	negative	-2	0	0	0	0	0	1	0	0	negative
Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!	2011-10-18 18:05:50	126358340220617000	noUser	apple	5	3	3	6	6	0	0	positive	2	-0.3575706482	4	0.7351074219	0	positive	-1	0	0	0	0	0	0	0	0	positive
@Apple can't send me an iPhone preordered 1hr after launching but they cans send 5 or 10 to all the jackasses who want to shoot or blend 'em	2011-10-18 18:05:41	126358301393957000	noUser	apple	3	1	1	1	10	2	-5	negative	1	-0.4545912147	4	0.6015625	0	neutral	-1	0	0	1	0	0	1	0	0	neutral
Gotta say the @Apple itouch iphone shuffle etc.. sound quality is AWFUL.. painfully crap. Its been a downgrade from @Sony sound quality wise	2011-10-18 18:05:34	126358272084152000	noUser	apple	6	1	0	0	1	2	-6	negative	3	-0.6565425098	5	0.6836547852	3	negative	-5	0	0	1	0	2	1	0	2	negative
RT @hofmania: I just paid someone to wait in line at the @apple store this morning for me on @zaarly #putapriceonconvenience #iphone http://t.co/qmPLbZxx	2011-10-18 18:04:32	126358012343493000	noUser	apple	2	1	0	0	6	0	0	neutral	1	-0.171875	4	0.5788574256	0	neutral	-1	0	2	0	0	0	0	0	0	neutral
ä½ å¥½ ! Currently learning Mandarin for my upcoming trip to Hong Kong. I gotta hand it to @Apple iPhones &amp; their uber useful flashcard apps  î”–î”“	2011-10-18 18:04:25	126357982685569000	noUser	apple	1	2	1	2	6	0	0	positive	2	-0.03125	3	0.2000732422	0	neutral	-1	0	0	0	1	0	0	1	0	positive
@bisquiat @Apple the upgrade just slows down my phone so much, it's stuck half the time. uch. thankfully no other damage. sucks for you :(	2011-10-18 18:02:49	126357580741227000	noUser	apple	5	2	0	0	4	4	-9	negative	3	-1.28515625	5	0.78207542	2	negative	-2	0	1	0	0	1	1	0	1	negative
@apple Or @Microsoft Buying Out @RIM ?	2011-10-18 18:02:36	126357527196742000	noUser	apple	1	1	0	0	2	0	0	neutral	0	-0.0023841858	0	0	0	positive	-1	0	0	0	0	0	0	0	0	neutral
@Mayati I think @Apple didn't do such a thorough job with the step x steps for upgrade and move to iCloud. Now it's cost me mightily.	2011-10-18 18:01:25	126357227727626000	noUser	apple	8	2	0	0	4	0	0	negative	3	-0.5107345581	5	1.3603506088	0	negative	-1	0	0	0	0	0	0	0	0	positive
Hey @apple now I have iOS5 my iPhone doesn't include songs that are on compilation albums under the artist's name. #whaddupwitdat	2011-10-18 17:51:05	126354628999778000	noUser	apple	4	2	0	0	4	0	0	negative	0	-0.1759672165	2	0.0635910034	0	negative	-1	0	0	0	0	0	0	0	0	positive
Oh no! @Apple watch out! @Motorola released another &quot;iPhone Killer&quot;.... Hahahahaha! @Motorola = #wannabe	2011-10-18 17:51:00	126354605130002000	noUser	apple	2	3	0	0	1	0	0	positive	0	-0.1273841858	2	0.4130859375	0	neutral	-2	0	1	1	0	0	0	0	0	positive
@apple Why don't you have a wireless remote for Keynote presentations w a MacBook Air?  Nobody wants to see the pith man navigate w a iPhone	2011-10-18 17:46:03	126353359962776000	noUser	apple	6	1	0	0	7	0	0	neutral	0	-0.4994192123	4	0.0845342875	0	negative	-1	0	1	0	1	0	1	1	0	neutral
Come to the dark side â€œ@gretcheneclark: Hey @apple, if you send me a free iPhone, I will publicly and ceremoniously burn my #BlackBerry.â€	2011-10-18 17:41:43	126352268705538000	noUser	apple	4	2	1	1	2	0	0	positive	2	-0.3302307129	6	0.5065021515	2	positive	-1	0	0	0	0	1	0	0	0	positive
@NickTheFNicon He can send but not rcve txts so he has an apt @apple at 4pm.Then he exclaims: And I waited a whole YEAR for this phone!!LMAO	2011-10-18 17:40:32	126351972948394000	noUser	apple	6	3	0	0	8	0	0	negative	1	-1.1875	2	0.3916015625	0	neutral	-1	0	0	0	0	0	0	0	0	positive
RT @HaendelBalzora: dear @apple please invent &quot;FaceTime Voicemails.&quot; sincerely, haendel balzora jr. #apple	2011-10-18 17:39:20	126351669029126000	noUser	apple	2	2	3	5	1	0	0	neutral	3	-0.1875	3	0.5859375	0	neutral	-1	0	0	0	0	0	0	0	0	positive
@HaendelBalzora @apple #gamechanger	2011-10-18 17:36:28	126350948548354000	noUser	apple	0	1	0	0	0	0	0	positive	0	0	0	0	0	neutral	-1	0	0	0	0	0	0	0	0	neutral
