content	NCRsurprise	SSPOL	OPW	BLNW	ONW	BLPW	NCRanticipation	APO	NRCHASHNEG	S140LEXPOS	ANE	SWP	NCRjoy	SWN	s140	NCRsadness	NCRnegative	NCRpositive	SSN	S140LEXNEG	label	NCRdisgust	NCRanger	NRCHASHPOS	NCRtrust	NCRfear	SSP
[#MLUC09] Customer Innovation Award Winner: Booz Allen Hamilton -- http://ping.fm/c2hPP	2	neutral	2	0	0	3	2	8	-1.086	4.109999999999999	0	0.40625	2	0.0	neutral	0	0	4	-1	-0.686	positive	0	0	3.384	1	0	1
@SoChi2 I current use the Nikon D90 and love it, but not as much as the Canon 40D/50D. I chose the D90 for the  video feature. My mistake.	0	positive	1	1	1	1	0	3	-4.587	3.8400000000000003	-2	0.754730224609375	1	-0.9296875	neutral	1	1	2	-2	-3.285	positive	0	0	4.236999999999999	0	0	3
need suggestions for a good IR filter for my canon 40D ... got some? pls DM	1	positive	2	0	0	1	1	3	-1.892	3.157	0	0.8724386114627123	1	-0.458984375	neutral	0	0	1	-1	-1.064	neutral	0	0	1.8499999999999999	1	0	2
@surfit: I just checked my google for my business- blip shows up as the second entry! Huh. Is that a good or ba... ? http://blip.fm/~6emhv	1	positive	2	0	0	1	1	3	-4.155	5.22	0	1.2276021856814623	1	-0.40625	positive	0	0	1	-1	-1.8729999999999998	neutral	0	0	2.61	1	0	2
@phyreman9 Google is always a good place to look. Should've mentioned I worked on the Mustang w/ my Dad, @KimbleT.	1	positive	1	0	0	2	1	3	-1.1019999999999999	4.228000000000001	0	0.8330375568475574	1	-0.21875	positive	0	0	1	-1	-1.569	positive	0	0	2.4959999999999996	1	0	2
Played with an android google phone. The slide out screen scares me I would break that fucker so fast. Still prefer my iPhone.	1	negative	1	1	1	2	0	0	-4.126	2.82	-4	0.4160614013671875	0	-0.488550186812141	negative	0	0	1	-4	-6.591	negative	0	0	2.137	1	0	1
US planning to resume the military tribunals at Guantanamo Bay... only this time those on trial will be AIG execs and Chrysler debt holders	0	neutral	1	1	1	0	2	0	-13.635000000000002	4.567000000000001	-2	0.0413818359375	0	-0.05859375	neutral	1	1	1	-1	-1.9859999999999998	negative	0	0	2.6300000000000003	1	1	1
omg so bored &amp; my tattoooos are so itchy!!  help! aha =)	0	negative	1	2	0	0	0	2	-1.289	2.625	-4	0.0625	0	-0.57635498046875	negative	0	0	0	-2	-4.7139999999999995	negative	0	0	2.385	0	0	2
I'm itchy and miserable!	0	negative	0	2	1	0	0	0	-0.45499999999999996	0.46900000000000003	-5	0.0	0	-1.421875	neutral	1	1	0	-4	-4.308	negative	1	1	1.145	0	0	1
@sekseemess no. I'm not itchy for now. Maybe later, lol.	0	positive	0	1	0	0	0	3	-2.1649999999999996	1.544	-3	0.0	0	-1.37109375	positive	0	0	0	-1	-4.223	negative	0	0	1.057	0	0	2
RT @jessverr I love the nerdy Stanford human biology videos - makes me miss school. http://bit.ly/13t7NR	0	negative	1	1	1	1	0	3	-2.543	3.788	-2	0.477294921875	1	-0.0859375	positive	0	0	1	-3	-3.8739999999999997	positive	0	0	3.2459999999999996	1	0	3
@spinuzzi: Has been a bit crazy, with steep learning curve, but LyX is really good for long docs. For anything shorter, it would be insane.	1	positive	2	3	4	1	2	3	-2.465	2.6379999999999995	-4	1.3295919317752123	1	-0.5936279296875	positive	1	2	2	-1	-3.9910000000000005	positive	0	2	3.923	1	2	3
I'm listening to P.Y.T by Danny Gokey &lt;3 &lt;3 &lt;3 Aww, he's so amazing. I &lt;3 him so much :)	0	positive	1	0	0	1	0	4	-1.595	2.559	0	0.7734375	0	-0.3125	positive	0	0	0	-1	-3.1710000000000007	positive	0	0	4.404	0	0	3
is going to sleep then on a bike ride:]	0	neutral	0	0	0	0	0	0	-0.092	0.518	0	0.17967605590820312	0	-0.28125	neutral	0	0	0	-1	-0.9970000000000001	positive	0	0	1.879	0	0	1
cant sleep... my tooth is aching.	0	negative	0	1	0	0	0	0	-0.651	0.0	-2	0.015625	0	-0.5390625	negative	1	1	0	-2	-4.965	negative	0	0	1.2019999999999997	0	0	1
Blah, blah, blah same old same old. No plans today, going back to sleep I guess.	1	neutral	1	3	3	0	0	0	-5.131999999999999	0.0	-7	0.33447265438735485	0	-0.484375	negative	0	0	0	-1	-6.482	negative	0	0	1.4180000000000001	0	0	1
glad i didnt do Bay to Breakers today, it's 1000 freaking degrees in San Francisco wtf	0	negative	1	1	0	1	1	3	-3.2670000000000003	2.161	-4	0.1796875	1	-0.16012191772460938	negative	0	0	1	-3	-5.286999999999999	negative	0	0	3.0940000000000003	0	0	2
is in San Francisco at Bay to Breakers.	0	neutral	0	0	0	0	0	0	-0.092	0.41400000000000003	0	0.0	0	-0.00390625	neutral	0	0	0	-1	-1.077	neutral	0	0	1.885	0	0	1
just landed at San Francisco	0	neutral	1	0	0	0	0	0	0.0	0.267	0	0.172607421875	0	0.0	neutral	0	0	1	-1	-0.204	neutral	0	0	1.945	0	0	1
San Francisco today.  Any suggestions?	0	neutral	1	0	0	0	0	0	-0.472	0.661	0	0.078125	0	0.0	neutral	0	0	0	-1	-0.491	neutral	0	0	1.359	0	0	1
?Obama Administration Must Stop Bonuses to AIG Ponzi Schemers ... http://bit.ly/2CUIg	0	neutral	0	0	0	1	0	0	-4.0360000000000005	1.224	-1	0.328125	0	-0.0031728744506835938	neutral	0	0	0	-1	-0.732	negative	0	0	0.0	0	0	1
started to think that Citi is in really deep s&amp;^t. Are they gonna survive the turmoil or are they gonna be the next AIG?	0	negative	1	1	2	0	0	0	-4.914999999999999	1.1569999999999998	0	0.4141618013381958	0	-0.4375	neutral	1	1	1	-3	-2.3949999999999996	negative	0	1	1.8579999999999999	0	1	1
ShaunWoo hate'n on AiG	0	negative	0	1	1	0	0	0	-1.681	0.047	-3	0.03125	0	-0.5	neutral	1	1	0	-4	-1.851	negative	1	1	0.12	0	1	1
@YarnThing you will not regret going to see Star Trek. It was AWESOME!	0	positive	3	1	1	1	1	4	-2.1370000000000005	4.62	-2	0.8502203226089478	1	-1.2734375	positive	1	1	1	-1	-1.949	positive	0	0	3.177	1	0	4
On my way to see Star Trek @ The Esquire.	0	neutral	1	0	0	0	1	0	-0.188	2.108	0	0.12854063510894775	1	-0.0625	neutral	0	0	1	-1	-1.436	neutral	0	0	3.8609999999999998	1	0	1
Going to see star trek soon with my dad.	0	neutral	1	0	0	0	1	0	-0.176	2.2830000000000004	0	0.09631407260894775	1	-0.375	positive	0	0	1	-1	-1.041	neutral	0	0	2.458	1	0	1
annoying new trend on the internets:  people picking apart michael lewis and malcolm gladwell.  nobody wants to read that.	0	negative	0	1	1	0	0	0	-5.044999999999999	3.0379999999999994	-2	0.107421875	0	-0.37890625	negative	0	1	1	-3	-3.9390000000000005	negative	0	1	2.8649999999999998	0	0	1
Bill Simmons in conversation with Malcolm Gladwell http://bit.ly/j9o50	0	neutral	0	0	0	0	0	0	-0.368	3.0500000000000003	0	0.0	0	0.0	neutral	0	0	0	-1	-0.47000000000000003	neutral	0	0	2.029	0	0	1
Highly recommend: http://tinyurl.com/HowDavidBeatsGoliath by Malcolm Gladwell	0	neutral	1	0	0	1	0	2	-0.368	3.201	0	0.8125	0	-0.25	neutral	0	0	1	-1	0.0	positive	0	0	1.885	1	0	1
Blink by malcolm gladwell amazing book and The tipping point!	0	positive	1	0	0	1	0	4	-1.0979999999999999	3.4450000000000003	0	0.6992312669826788	0	-0.25	neutral	0	0	0	-1	-0.125	positive	0	0	4.1209999999999996	0	0	3
Malcolm Gladwell might be my new man crush	0	neutral	1	1	1	0	0	0	-0.716	1.828	-1	0.076904296875	0	-0.30157470703125	neutral	0	0	0	-1	-0.615	positive	0	0	1.733	0	0	1
omg. The commercials alone on ESPN are going to drive me nuts.	0	positive	1	0	0	0	0	0	-2.8009999999999997	0.431	-5	0.031494200171437114	0	-0.56640625	negative	0	0	0	-1	-3.056	negative	0	0	0.751	0	0	2
@robmalon Playing with Twitter API sounds fun.  May need to take a class or find a new friend who like to generate results with API code.	0	positive	3	0	0	2	1	6	-3.048	4.593	0	0.4932870864849406	2	-0.4155149459838867	positive	0	0	2	-1	-2.962	positive	0	0	4.607	1	0	2
playing with cURL and the Twitter API	0	positive	0	0	0	0	0	0	-0.8620000000000001	1.146	0	0.0	0	0.0	neutral	0	0	1	-1	-1.323	neutral	0	0	1.1500000000000001	0	0	2
Hello Twitter API ;)	0	neutral	0	0	0	0	0	0	-0.528	1.835	0	0.0	0	0.0	neutral	0	0	0	-1	-0.55	positive	0	0	0.723	0	0	1
playing with Java and the Twitter API	0	positive	0	0	0	0	0	0	-0.528	1.146	0	0.0	0	0.0	neutral	0	0	0	-1	-0.66	neutral	0	0	3.014	0	0	2
@morind45 Because the twitter api is slow and most client's aren't good.	1	positive	1	1	1	1	1	3	-1.248	1.996	0	0.7083761114627123	1	-0.067138671875	neutral	0	0	1	-1	-1.92	negative	0	0	1.866	1	0	2
yahoo answers can be a butt sometimes	0	neutral	0	0	0	0	0	0	-1.351	0.49000000000000005	0	1.220703125E-4	0	-0.375	neutral	0	1	0	-1	-0.249	negative	0	0	0.14600000000000002	0	0	1
is scrapbooking with Nic =D	0	neutral	0	0	0	0	0	0	0.0	2.9539999999999997	0	0.0	0	0.0	neutral	0	0	0	-1	-0.115	positive	0	0	2.8129999999999997	0	0	1
RT @mashable: Five Things Wolfram Alpha Does Better (And Vastly Different) Than Google - http://bit.ly/6nSnR	0	neutral	2	0	0	1	0	2	-1.409	4.622	0	0.886566162109375	0	-0.0625	neutral	0	0	0	-1	-0.32	positive	0	0	5.0680000000000005	0	0	1
just changed my default pic to a Nike basketball cause bball is awesome!!!!!	0	positive	2	0	0	1	1	4	-3.186	4.315999999999999	0	1.078857421875	1	-0.109375	positive	1	1	1	-1	-2.043	positive	1	0	3.327000000000001	0	1	4
Nike owns NBA Playoffs ads w/ LeBron, Kobe, Carmelo? http://ow.ly/7Uiy  #Adidas #Billups #Howard  #Marketing #Branding	0	neutral	0	0	0	0	0	0	-7.1629999999999985	3.8780000000000006	0	0.0	0	0.0	neutral	0	0	0	-1	-1.815	neutral	0	0	2.148	0	0	1
'Next time, I'll call myself Nike'	0	neutral	0	0	0	0	1	0	-1.522	0.589	0	0.006103515625	0	-0.21866464894173987	neutral	0	0	0	-1	-0.657	neutral	0	0	0.088	0	0	1
New blog post: Nike SB Dunk Low Premium 'White Gum' http://tr.im/lOtT	0	negative	1	0	1	0	0	0	-3.0449999999999995	3.136	0	0.0758056640625	0	-0.35787200927734375	neutral	0	0	0	-2	-0.984	neutral	0	0	2.886	0	0	1
RT @SmartChickPDX: Was just told that Nike layoffs started today :-(	0	positive	1	0	0	0	0	0	-1.202	1.218	0	0.250732421875	0	0.0	neutral	0	0	0	-1	-2.76	negative	0	0	0.927	0	0	2
Back when I worked for Nike we had one fav word : JUST DO IT! :)	0	positive	2	0	0	2	0	0	-1.807	2.189	0	0.34936523251235485	0	-0.15621566772460938	neutral	0	0	1	-1	-1.319	positive	0	0	1.641	1	0	2
By the way, I'm totally inspired by this freaky Nike commercial: http://snurl.com/icgj9	1	positive	0	0	0	0	0	2	-1.5150000000000001	2.158	0	1.3759765625	1	-0.875	neutral	0	0	1	-2	-0.6960000000000001	positive	0	0	2.54	1	0	4
giving weka an app engine interface, using the bird strike data for the tests, the logo is a given.	0	neutral	0	1	1	0	0	0	-2.698	2.365	-1	0.09375	0	-0.33007814548909664	neutral	0	1	1	-1	-2.924	neutral	0	1	3.3759999999999994	0	0	1
Brand New Canon EOS 50D 15MP DSLR Camera Canon 17-85mm IS Lens ...: Web Technology Thread, Brand New Canon EOS 5.. http://u.mavrev.com/5a3t	0	neutral	0	0	0	0	0	0	-1.396	6.24	0	0.278564453125	0	-0.091796875	neutral	0	0	1	-1	-1.4500000000000002	neutral	0	0	7.5139999999999985	0	0	1
Class... The 50d is supposed to come today :)	0	neutral	0	0	1	0	0	0	-0.546	0.975	0	0.14313411712646484	0	0.0	negative	0	0	0	-1	-1.991	positive	0	0	0.815	0	0	1
needs someone to explain lambda calculus to him! :(	0	positive	0	0	0	0	0	0	-2.8390000000000004	5.664	0	0.3125	0	0.0	neutral	0	0	1	-1	-2.31	negative	0	0	0.208	1	0	2
Took the Graduate Field Exam for Computer Science today.  Nothing makes you feel like more of an idiot than lambda calculus.	0	negative	1	1	1	1	0	2	-2.785	6.5760000000000005	-3	0.41173744201660156	0	-0.25	negative	0	1	0	-2	-5.117999999999999	negative	1	0	2.207	0	0	2
SHOUT OUTS TO ALL EAST PALO ALTO FOR BEING IN THE BUILDIN KARIZMAKAZE 50CAL GTA! ALSO THANKS TO PROFITS OF DOOM UNIVERSAL HEMPZ CRACKA......	1	positive	1	1	1	0	0	2	-2.122	7.348999999999999	-2	0.34375	0	-0.2578125	positive	0	1	0	-2	-1.396	positive	0	1	5.723000000000001	0	1	3
@legalgeekery Yeahhhhhhhhh, I wouldn't really have lived in East Palo Alto if I could have avoided it.  I guess it's only for the summer.	1	positive	0	0	0	0	0	0	-2.6580000000000004	1.4440000000000002	-1	0.390625	0	-0.42859458923339844	negative	0	0	0	-1	-4.359999999999999	negative	0	0	2.4520000000000004	0	0	2
@accannis @edog1203 Great Stanford course. Thanks for making it available to the public! Really helpful and informative for starting off!	0	positive	3	0	0	3	1	7	-2.493	7.555	0	0.89453125	1	-0.37744140625	positive	0	0	2	-1	-1.9260000000000002	positive	0	0	5.305000000000001	1	0	3
NVIDIA Names Stanford's Bill Dally Chief Scientist, VP Of Research http://bit.ly/Fvvg9	0	neutral	0	0	0	0	1	0	-2.107	1.131	0	0.046875	0	-0.03125	neutral	0	0	1	-1	-1.323	neutral	0	0	1.105	1	0	1
New blog post: Harvard Versus Stanford - Who Wins? http://bit.ly/MCoCo	0	neutral	0	0	0	1	0	4	-1.8290000000000002	4.576	0	0.0758056640625	0	-2.44140625E-4	neutral	0	1	0	-1	-0.379	neutral	0	1	3.068	0	0	1
@ work til 6pm... lets go lakers!!!	0	positive	0	0	0	1	0	0	-1.584	3.0799999999999996	0	0.008606335395597853	0	0.0	neutral	0	0	0	-1	-1.996	positive	0	0	2.673000000000001	0	0	2
Damn you North Korea. http://bit.ly/KtMeQ	0	neutral	0	1	1	0	0	0	-1.185	0.676	-4	0.0	0	-0.25	neutral	0	1	0	-1	-1.671	negative	1	1	0.221	0	0	1
Can we just go ahead and blow North Korea off the map already?	0	neutral	1	1	1	0	0	0	-0.995	1.407	0	0.36083990150655154	0	-0.462936382740736	neutral	0	0	1	-1	-1.3290000000000002	negative	0	0	2.238	0	0	1
North Korea, please cease this douchebaggery. China doesn't even like you anymore. http://bit.ly/NeHSl	0	positive	3	0	0	1	0	3	-4.928	1.2750000000000001	0	0.3470306396484375	0	0.0	neutral	0	0	0	-1	-3.151	negative	0	0	0.221	0	0	2
Why the hell is Pelosi in freakin China? and on whose dime?	0	negative	0	1	1	0	0	0	-2.6390000000000002	0.978	-4	0.09375	0	-0.4375	neutral	1	1	0	-2	-2.431	negative	1	1	2.285	0	1	1
Are YOU burning more cash $$$ than Chrysler and GM? Stop the financial tsunami. Where bailout means taking a handout!	0	positive	0	1	0	0	1	0	-5.152	3.518	-3	0.5625	1	-0.8957509994506836	neutral	0	0	1	-1	-4.5249999999999995	negative	0	1	1.76	1	1	2
insects have infected my spinach plant :(	0	neutral	0	1	1	0	0	0	-0.878	0.974	-2	0.00146484375	0	-0.7494535446166992	neutral	0	0	0	-1	-2.498	negative	0	0	2.995	0	0	1
wish i could catch every mosquito in the world n burn em slowly.they been bitin the shit outta me 2day.mosquitos are the assholes of insects	1	negative	1	2	1	0	0	1	-4.194	1.922	-4	0.15025663375854492	0	-0.2606811539735645	negative	0	2	0	-3	-8.917	negative	2	2	2.096	0	0	1
just got back from church, and I totally hate insects.	0	negative	2	1	1	0	1	0	-2.627	0.5910000000000001	-3	0.8449707012623549	1	-0.53125	neutral	1	1	1	-5	-3.1239999999999997	negative	1	1	1.2730000000000001	1	1	1
Just got mcdonalds goddam those eggs make me sick. O yeah Laker up date go lakers. Not much of an update? Well it's true so suck it	0	negative	3	2	2	1	0	3	-6.675	2.597	-5	1.1147311628903047	1	-1.009033203125	neutral	1	2	1	-3	-10.697	negative	1	0	2.408	1	0	2
omgg i ohhdee want mcdonalds damn i wonder if its open lol =]	0	positive	3	1	1	1	0	4	-3.6169999999999995	0.9289999999999999	-4	0.1796875	0	-0.5639757107637706	neutral	0	1	0	-1	-3.706	positive	1	1	1.484	0	0	2
History exam studying ugh	0	negative	0	1	1	0	0	0	-0.583	0.0	0	0.0	0	0.0	negative	0	0	0	-3	-3.849	negative	0	0	1.052	0	0	1
I hate revision, it's so boring! I am totally unprepared for my exam tomorrow :( Things are not looking good...	1	negative	1	3	3	1	2	3	-4.019	2.124	-6	1.2083761114627123	1	-1.6875	negative	1	3	1	-4	-8.741999999999999	negative	1	1	3.4990000000000006	1	1	2
Higher physics exam tommorow, not lookin forward to it much :(	0	neutral	0	0	0	0	0	0	-1.4030000000000002	1.205	0	0.40625	0	-0.625	neutral	0	0	2	-1	-2.891	negative	0	0	1.96	0	0	1
It's a bank holiday, yet I'm only out of work now. Exam season sucks:(	0	negative	0	1	0	1	1	0	-2.9139999999999997	0.167	-3	0.07135041826404631	1	-0.4672279357910156	negative	0	0	1	-2	-5.734999999999999	negative	0	0	2.081	1	0	1
Cheney and Bush are the real culprits - http://fwix.com/article/939496	0	neutral	1	0	0	0	0	0	-1.422	2.32	0	0.0045166015625	0	-0.0029296875	neutral	0	0	1	-1	0.0	negative	0	0	0.8019999999999999	1	0	1
Life?s a bitch? and so is Dick Cheney. #p2 #bipart #tlot #tcot #hhrs #GOP #DNC http://is.gd/DjyQ	0	negative	0	2	1	0	0	0	-5.15	2.0060000000000002	-9	0.0	0	-0.46484375	neutral	1	1	0	-2	-2.134	negative	1	1	1.0270000000000001	0	1	1
Dick Cheney's dishonest speech about torture, terror, and Obama. -Fred Kaplan Slate. http://is.gd/DiHg	0	negative	0	4	3	0	1	0	-9.726999999999999	2.543	-13	0.068359375	0	-0.291015625	neutral	2	3	2	-4	-2.021	negative	2	2	1.521	0	2	1
The Republican party is a bunch of anti-abortion zealots who couldn't draw flies to a dump. -- Neal Boortz (just now, on the radio)	0	neutral	1	1	1	0	0	0	-3.3	3.5220000000000007	-3	0.2352294921875	0	-0.3876953125	neutral	0	0	1	-1	-1.507	negative	0	0	2.9230000000000005	0	0	1
is Twitter's connections API broken? Some tweets didn't make it to Twitter...	0	neutral	0	1	0	0	0	0	-3.13	1.724	-1	0.40625002984688807	0	-0.0147705078125	negative	1	1	0	-1	-2.7230000000000003	negative	0	1	0.497	0	1	1
i srsly hate the stupid twitter API timeout thing, soooo annoying!!!!! :(	0	negative	0	3	3	0	0	0	-4.88	2.734	-7	0.0	0	-1.2041015625	negative	1	3	0	-4	-6.297999999999999	negative	1	2	1.307	0	1	2
@psychemedia I really liked @kswedberg's Learning jQuery book. http://bit.ly/pg0lT is worth a look too	0	positive	2	0	1	2	0	4	-1.3399999999999999	5.146999999999999	0	1.288543701171875	0	-0.15625	positive	0	0	2	-1	-1.3039999999999998	positive	0	0	1.0739999999999998	0	0	4
jQuery UI 1.6 Book Review - http://cfbloggers.org/?c=30631	0	neutral	0	0	0	0	0	0	-0.374	2.4450000000000003	0	0.00982666015625	0	0.0	neutral	0	0	0	-1	0.0	neutral	0	0	1.583	0	0	1
Very Interesting Ad from Adobe by Goodby, Silverstein &amp; Partners - YouTube - Adobe CS4: Le Sens Propre http://bit.ly/VprpT	0	positive	1	0	0	1	0	2	-1.756	4.239999999999999	0	0.734375	0	-0.5	neutral	0	0	1	-1	-0.892	positive	0	0	4.363	0	0	3
Goodby Silverstein agency new site! http://www.goodbysilverstein.com/ Great!	0	positive	1	0	0	1	0	3	-0.683	3.897	0	0.1422119140625	0	0.0	neutral	0	0	0	-1	0.0	positive	0	0	2.552	0	0	4
RT @designplay Goodby, Silverstein's new site: http://www.goodbysilverstein.com/ I enjoy it. *nice find!*	0	positive	2	0	0	2	1	5	-0.948	4.809	0	0.8297119140625	1	-0.03465557098388672	positive	0	0	1	-1	-1.039	positive	0	0	2.96	1	0	3
The ever amazing Psyop and Goodby Silverstein &amp; Partners for HP! http://bit.ly/g2rU8 Have to go play with After Effects now!	0	positive	1	0	0	1	0	4	-1.3159999999999998	3.7079999999999997	0	0.5639652590768947	0	-0.2533597946166992	positive	0	0	0	-1	-1.433	positive	0	0	4.184	0	0	3
top ten most watched on Viral-Video Chart.  Love the nike #mostvaluablepuppets campaign from Wieden &amp; Kennedy http://bit.ly/nR1n9	0	positive	2	0	0	2	1	5	-0.9269999999999999	3.809	0	0.383544921875	1	-3.814697265625E-6	neutral	0	0	2	-1	-0.355	positive	0	0	2.342	2	0	3
